100001_out.png: NIQE=46.86328647234763  with dealing time: 53.720640897750854
10091_out.png: NIQE=22.28878370832331  with dealing time: 64.61112308502197
10103_out.png: NIQE=25.593752435766508  with dealing time: 63.80288124084473
10167_out.png: NIQE=25.13435681178186  with dealing time: 66.0661883354187
10226_out.png: NIQE=30.342412295659955  with dealing time: 72.15937399864197
102_out.png: NIQE=31.606752024898  with dealing time: 69.99490070343018
10475_out.png: NIQE=39.630814778080754  with dealing time: 65.08441090583801
10488_out.png: NIQE=39.90210748545457  with dealing time: 62.72079563140869
12191_out.png: NIQE=25.1349823236244  with dealing time: 64.68142557144165
12203_out.png: NIQE=22.405351260195143  with dealing time: 65.72132587432861
12228_out.png: NIQE=39.396340677241206  with dealing time: 60.400758266448975
12565_out.png: NIQE=25.803303369618117  with dealing time: 63.91101622581482
12577_out.png: NIQE=23.987494842744145  with dealing time: 63.777798652648926
12625_out.png: NIQE=38.249040496239616  with dealing time: 70.0486478805542
12709_out.png: NIQE=29.55210440712976  with dealing time: 62.462897300720215
12753_out.png: NIQE=30.908297022611475  with dealing time: 58.83378982543945
12960_out.png: NIQE=50.98346753974928  with dealing time: 67.44085264205933
12972_out.png: NIQE=36.8433179098708  with dealing time: 69.04708957672119
13252_out.png: NIQE=36.177404802841835  with dealing time: 67.45313692092896
13259_out.png: NIQE=24.70650350057286  with dealing time: 63.36256718635559
15603_out.png: NIQE=31.999579089296276  with dealing time: 70.67047166824341
15735_out.png: NIQE=32.21501460703662  with dealing time: 70.373366355896
15738_out.png: NIQE=29.6575457396137  with dealing time: 65.84566950798035
15740_out.png: NIQE=57.66893145793225  with dealing time: 61.98821830749512
15774_out.png: NIQE=45.13763146637496  with dealing time: 58.65442252159119
15775_out.png: NIQE=62.88439594250172  with dealing time: 60.37460279464722
2575_out.png: NIQE=23.489437988987195  with dealing time: 60.63467264175415
2583_out.png: NIQE=29.09554412779563  with dealing time: 58.2040057182312
2856_out.png: NIQE=25.227501306825467  with dealing time: 58.33506727218628
2_out.png: NIQE=21.114503098694914  with dealing time: 57.59545826911926
3027_out.png: NIQE=19.64577612497472  with dealing time: 57.930755853652954
3051_out.png: NIQE=19.94696592206265  with dealing time: 57.84926986694336
3087_out.png: NIQE=20.54357120534481  with dealing time: 56.91301870346069
3175_out.png: NIQE=48.137323299015556  with dealing time: 57.74797201156616
3201_out.png: NIQE=27.897692112107592  with dealing time: 57.48126435279846
3279_out.png: NIQE=30.865286564004524  with dealing time: 57.668970823287964
3494_out.png: NIQE=31.327679992834675  with dealing time: 59.156792640686035
34_out.png: NIQE=22.0578802951693  with dealing time: 59.657045125961304
3519_out.png: NIQE=28.457518995486765  with dealing time: 63.27145576477051
358_img__out.png: NIQE=47.787221933520804  with dealing time: 61.51345443725586
432_out.png: NIQE=64.81305505674729  with dealing time: 63.181650161743164
52_out.png: NIQE=21.561473851332494  with dealing time: 61.097524881362915
579_out.png: NIQE=31.14324120805327  with dealing time: 60.24008655548096
5_out.png: NIQE=28.975499252691122  with dealing time: 63.75527334213257
605_out.png: NIQE=29.40781871345419  with dealing time: 58.931636333465576
616_out.png: NIQE=21.21240388883623  with dealing time: 52.15801382064819
627_out.png: NIQE=21.952904138553606  with dealing time: 55.39063358306885
6333_out.png: NIQE=58.9927926008953  with dealing time: 59.06703281402588
6340_out.png: NIQE=42.25114701709042  with dealing time: 57.94082832336426
643_img__out.png: NIQE=17.372991921004594  with dealing time: 57.94487190246582
6527_out.png: NIQE=35.863885349506376  with dealing time: 57.3182053565979
7277_out.png: NIQE=23.04451511304224  with dealing time: 51.59019064903259
7291_out.png: NIQE=32.503920889199684  with dealing time: 54.26667070388794
770_out.png: NIQE=22.135903925519585  with dealing time: 57.096824169158936
866_out.png: NIQE=31.580851828940183  with dealing time: 57.28310227394104
880_out.png: NIQE=29.63835997810885  with dealing time: 58.03626227378845
9553_out.png: NIQE=27.953062012105786  with dealing time: 56.52711725234985
9602_out.png: NIQE=22.101298535357092  with dealing time: 55.79592227935791
9607_out.png: NIQE=21.246216771979064  with dealing time: 53.57680702209473
9618_out.png: NIQE=24.778803057719507  with dealing time: 54.46775937080383

60 Image Average: NIQE=31.819950342407804, TimePerImage=60.88056647380193, SumTime = 3652.833988428116s

