12433_out.png: uiqm=0.8929739896871981, uciqe=0.5416393825641126
149_out.png: uiqm=0.21052857254362528, uciqe=0.6896539778989337
161_out.png: uiqm=0.5217371323079611, uciqe=0.5628715683110014
264574_00031858_out.png: uiqm=1.3835887947617562, uciqe=0.5397052305083654
264734_00038535_out.png: uiqm=0.5043990517825592, uciqe=0.5410957387797546
265119_00013763_out.png: uiqm=0.24330353322198273, uciqe=0.5607203427112178
265130_00031309_out.png: uiqm=0.5327182730481942, uciqe=0.5262541883671441
265344_00029330_out.png: uiqm=0.6391471663641598, uciqe=0.5512328153324538
306_img__out.png: uiqm=0.5057961258344353, uciqe=0.5388655802853506
332_img__out.png: uiqm=0.3604840257256784, uciqe=0.5695352801791265
3330_out.png: uiqm=0.2548122540711483, uciqe=0.5853280477782318
36_out.png: uiqm=0.552193114606236, uciqe=0.6485709688946879
387_img__out.png: uiqm=1.0705961944137226, uciqe=0.49163870264460086
757_img__out.png: uiqm=1.0350160542491473, uciqe=0.5836995231316103
819_img__out.png: uiqm=0.48559653039003814, uciqe=0.559174149466995
96_out.png: uiqm=0.9191020830416516, uciqe=0.5761795772657073
GI_16_out.png: uiqm=0.4533336110336891, uciqe=0.6214511995770579
GI_1_out.png: uiqm=0.6280014051035003, uciqe=0.3707868640185784
GI_22_out.png: uiqm=0.5181593988570627, uciqe=0.5506583325186971
GI_29_out.png: uiqm=0.032217605464976956, uciqe=0.34433626063358
GI_2_out.png: uiqm=0.36030979767491333, uciqe=0.34235459557948833
GI_33_out.png: uiqm=0.9389173176901146, uciqe=0.5679923901103169
GI_35_out.png: uiqm=0.553089520714896, uciqe=0.6993677229159305
GI_43_out.png: uiqm=0.4281194899904662, uciqe=0.6277578737981621
GI_78_out.png: uiqm=0.39441889372961325, uciqe=0.5273472129805075
GI_7_out.png: uiqm=1.205559077918068, uciqe=0.4831910151169322
GI_8_out.png: uiqm=1.286238361901618, uciqe=0.47084582870160974
GI_95_out.png: uiqm=0.48354365630161955, uciqe=0.529269703698103
gmn_5017up_out.png: uiqm=0.7045005143956167, uciqe=0.4946791393570433
gmn_5029up_out.png: uiqm=0.6713832113305339, uciqe=0.6236697225882184
gmn_5148up_out.png: uiqm=0.39534225495923003, uciqe=0.5606433341621602
gmn_5183up_out.png: uiqm=0.4320965301670133, uciqe=0.5240916681772405
gmn_5185up_out.png: uiqm=0.6374210453888213, uciqe=0.6122879599924
gmn_5228up_out.png: uiqm=0.5762970489307482, uciqe=0.5235909556941425
gmn_7856up_out.png: uiqm=1.083568916761028, uciqe=0.6173238167726853
gmn_7919up_out.png: uiqm=0.5228861820483214, uciqe=0.48928971190129444
