100_out.jpg: NIQE=21.820177561104746  with dealing time: 72.86694931983948
101_out.jpg: NIQE=21.412252809716225  with dealing time: 72.48447132110596
102_out.jpg: NIQE=26.33851765783139  with dealing time: 73.24671339988708
103_out.jpg: NIQE=27.613605204805083  with dealing time: 73.07366228103638
104_out.jpg: NIQE=28.562240954994433  with dealing time: 72.9106433391571
105_out.jpg: NIQE=28.745946144546032  with dealing time: 78.67296576499939
106_out.jpg: NIQE=28.06409476719995  with dealing time: 74.45989489555359
107_out.jpg: NIQE=23.216066533509967  with dealing time: 68.87927269935608
108_out.jpg: NIQE=27.49589178656785  with dealing time: 63.86778163909912
109_out.jpg: NIQE=28.587778388920164  with dealing time: 62.80124306678772
10_out.jpg: NIQE=25.50866312736714  with dealing time: 64.65675854682922
110_out.jpg: NIQE=32.84009020549556  with dealing time: 69.16984415054321
111_out.jpg: NIQE=34.08229565596908  with dealing time: 72.63076162338257
112_out.jpg: NIQE=27.751888800643155  with dealing time: 66.20370173454285
113_out.jpg: NIQE=26.76311966767571  with dealing time: 76.36450386047363
114_out.jpg: NIQE=33.428795380663495  with dealing time: 74.09189438819885
115_out.jpg: NIQE=35.47114718407698  with dealing time: 67.05515551567078
116_out.jpg: NIQE=21.87786191102096  with dealing time: 73.1582338809967
117_out.jpg: NIQE=21.001100473952135  with dealing time: 74.83959770202637
118_out.jpg: NIQE=44.682672964595206  with dealing time: 64.5149576663971
119_out.jpg: NIQE=25.24181006117771  with dealing time: 66.70976781845093
11_out.jpg: NIQE=24.96504785201062  with dealing time: 65.35338973999023
120_out.jpg: NIQE=27.337976945963863  with dealing time: 63.46864056587219
121_out.jpg: NIQE=25.46808212954531  with dealing time: 76.24189686775208
122_out.jpg: NIQE=22.28016664581989  with dealing time: 75.32950758934021
123_out.jpg: NIQE=23.40276964320453  with dealing time: 76.12789607048035
124_out.jpg: NIQE=22.77146169065527  with dealing time: 75.96787428855896
125_out.jpg: NIQE=23.773575483830996  with dealing time: 69.22196984291077
126_out.jpg: NIQE=24.896641670146508  with dealing time: 67.08684635162354
127_out.jpg: NIQE=23.197541170788234  with dealing time: 63.56880164146423
128_out.jpg: NIQE=27.73201075835132  with dealing time: 70.63810729980469
129_out.jpg: NIQE=22.9648503670003  with dealing time: 67.02796769142151
12_out.jpg: NIQE=23.412951179636238  with dealing time: 70.1426203250885
130_out.jpg: NIQE=20.83433685180307  with dealing time: 65.78758025169373
131_out.jpg: NIQE=26.115888172015605  with dealing time: 62.53720307350159
132_out.jpg: NIQE=22.667090321555083  with dealing time: 62.492867946624756
133_out.jpg: NIQE=24.42540701171623  with dealing time: 69.13285756111145
134_out.jpg: NIQE=20.145845500631182  with dealing time: 63.25855112075806
135_out.jpg: NIQE=23.347988427524555  with dealing time: 67.53023886680603
136_out.jpg: NIQE=20.02273999228694  with dealing time: 66.51229858398438
137_out.jpg: NIQE=21.03072137043735  with dealing time: 62.5501549243927
138_out.jpg: NIQE=34.9975625071339  with dealing time: 70.52279448509216
139_out.jpg: NIQE=24.856816421121785  with dealing time: 68.33425259590149
13_out.jpg: NIQE=26.46793864706487  with dealing time: 69.10498976707458
140_out.jpg: NIQE=29.750840519706088  with dealing time: 66.20581030845642
141_out.jpg: NIQE=26.601971965093128  with dealing time: 71.72913360595703
142_out.jpg: NIQE=28.26475602178058  with dealing time: 69.24328184127808
143_out.jpg: NIQE=34.74010901193392  with dealing time: 62.266982316970825
144_out.jpg: NIQE=36.60082514550069  with dealing time: 63.22574710845947
145_out.jpg: NIQE=41.26952788186189  with dealing time: 66.03987431526184
146_out.jpg: NIQE=22.342292580550772  with dealing time: 76.29728603363037
147_out.jpg: NIQE=22.224750052449544  with dealing time: 68.53757190704346
148_out.jpg: NIQE=27.724855983844883  with dealing time: 64.94271039962769
149_out.jpg: NIQE=30.24607006510777  with dealing time: 64.98721194267273
14_out.jpg: NIQE=23.566656949645616  with dealing time: 66.81142687797546
150_out.jpg: NIQE=46.68240043352336  with dealing time: 61.88341426849365
151_out.jpg: NIQE=28.62202218994011  with dealing time: 61.74579691886902
152_out.jpg: NIQE=44.16586765186702  with dealing time: 62.70762491226196
153_out.jpg: NIQE=26.168581360145367  with dealing time: 63.92577791213989
154_out.jpg: NIQE=26.510999254378035  with dealing time: 62.347352266311646
155_out.jpg: NIQE=52.97829836245766  with dealing time: 60.686524629592896
156_out.jpg: NIQE=23.494641920300925  with dealing time: 62.716872215270996
157_out.jpg: NIQE=40.02629378693414  with dealing time: 61.11117935180664
158_out.jpg: NIQE=36.05189895818758  with dealing time: 62.470383405685425
159_out.jpg: NIQE=36.835658438454466  with dealing time: 65.1209328174591
15_out.jpg: NIQE=24.695405547241265  with dealing time: 67.58180499076843
160_out.jpg: NIQE=35.29453626111004  with dealing time: 62.8961226940155
161_out.jpg: NIQE=29.055188051241846  with dealing time: 69.78842687606812
162_out.jpg: NIQE=26.615243751352427  with dealing time: 89.66758608818054
163_out.jpg: NIQE=26.105293106214944  with dealing time: 95.01373052597046
164_out.jpg: NIQE=24.344786002432517  with dealing time: 97.72889423370361
165_out.jpg: NIQE=25.993100706769102  with dealing time: 98.58426141738892
166_out.jpg: NIQE=23.763436322525546  with dealing time: 96.314120054245
167_out.jpg: NIQE=25.66292962482591  with dealing time: 95.4331305027008
168_out.jpg: NIQE=28.29530335106728  with dealing time: 96.27678227424622
169_out.jpg: NIQE=28.449562266968666  with dealing time: 95.08971548080444
16_out.jpg: NIQE=26.986787208628613  with dealing time: 91.64871144294739
170_out.jpg: NIQE=27.109152632106618  with dealing time: 98.04286694526672
171_out.jpg: NIQE=24.347958716083347  with dealing time: 98.47176933288574
172_out.jpg: NIQE=23.934061771939696  with dealing time: 91.97169995307922
173_out.jpg: NIQE=29.334956468448667  with dealing time: 97.68773055076599
174_out.jpg: NIQE=30.917769025905095  with dealing time: 120.9718496799469
175_out.jpg: NIQE=32.63684039542576  with dealing time: 114.34324073791504
176_out.jpg: NIQE=28.525590775203295  with dealing time: 114.27218461036682
177_out.jpg: NIQE=26.939939718182664  with dealing time: 134.53343224525452
178_out.jpg: NIQE=22.43339068411013  with dealing time: 140.4573106765747
179_out.jpg: NIQE=27.974158324693718  with dealing time: 127.89528703689575
17_out.jpg: NIQE=24.830343826771728  with dealing time: 126.71443581581116
180_out.jpg: NIQE=22.67085587048527  with dealing time: 109.33876252174377
181_out.jpg: NIQE=22.040539677908328  with dealing time: 101.84022545814514
182_out.jpg: NIQE=23.349570700196047  with dealing time: 96.16132545471191
183_out.jpg: NIQE=25.028675508620864  with dealing time: 102.59594130516052
18_out.jpg: NIQE=27.44501707523405  with dealing time: 100.57561445236206
19_out.jpg: NIQE=28.617612664794528  with dealing time: 110.21651673316956
1_out.jpg: NIQE=26.858685470580962  with dealing time: 111.11626243591309
20_out.jpg: NIQE=25.881289447065626  with dealing time: 94.94888186454773
21_out.jpg: NIQE=24.15366314902369  with dealing time: 100.77423763275146
22_out.jpg: NIQE=25.589063460674275  with dealing time: 102.24292755126953
23_out.jpg: NIQE=28.858375811674023  with dealing time: 99.38222312927246
24_out.jpg: NIQE=29.561345972113585  with dealing time: 95.72992324829102
25_out.jpg: NIQE=28.577812793239303  with dealing time: 93.97358751296997
26_out.jpg: NIQE=31.31115700108234  with dealing time: 99.12059283256531
27_out.jpg: NIQE=30.370199528160214  with dealing time: 96.46538090705872
28_out.jpg: NIQE=22.888183473618156  with dealing time: 104.86917281150818
29_out.jpg: NIQE=31.844785055808295  with dealing time: 85.04372262954712
2_out.jpg: NIQE=25.62471571683422  with dealing time: 83.0529236793518
30_out.jpg: NIQE=40.84861302395177  with dealing time: 83.90692567825317
31_out.jpg: NIQE=28.96936461652491  with dealing time: 94.1696925163269
32_out.jpg: NIQE=41.82056183786612  with dealing time: 95.46620488166809
33_out.jpg: NIQE=19.563283138377106  with dealing time: 85.8039333820343
34_out.jpg: NIQE=18.23882992188118  with dealing time: 88.95496082305908
35_out.jpg: NIQE=36.04572445854006  with dealing time: 88.36473679542542
36_out.jpg: NIQE=33.423419641194606  with dealing time: 113.50625729560852
37_out.jpg: NIQE=28.50231592741358  with dealing time: 102.62122869491577
38_out.jpg: NIQE=21.205716112773004  with dealing time: 103.93432211875916
39_out.jpg: NIQE=24.429170487845823  with dealing time: 111.01340436935425
3_out.jpg: NIQE=35.630788545669986  with dealing time: 102.75300455093384
40_out.jpg: NIQE=22.739841310093684  with dealing time: 100.76963973045349
41_out.jpg: NIQE=22.319791386522112  with dealing time: 101.44802594184875
42_out.jpg: NIQE=24.83228910524773  with dealing time: 105.22642350196838
43_out.jpg: NIQE=23.49955081863155  with dealing time: 108.87650418281555
44_out.jpg: NIQE=22.611917354417393  with dealing time: 104.06386160850525
45_out.jpg: NIQE=24.306918491281763  with dealing time: 97.34802961349487
46_out.jpg: NIQE=22.316109213476008  with dealing time: 99.074631690979
47_out.jpg: NIQE=22.87223723040046  with dealing time: 99.93039441108704
48_out.jpg: NIQE=30.52334285996085  with dealing time: 104.59802484512329
49_out.jpg: NIQE=38.26337812210222  with dealing time: 105.84085440635681
4_out.jpg: NIQE=21.016716609410967  with dealing time: 95.82606148719788
50_out.jpg: NIQE=26.681360227328298  with dealing time: 93.03436326980591
51_out.jpg: NIQE=29.311842940882144  with dealing time: 85.66969275474548
52_out.jpg: NIQE=22.532030429664783  with dealing time: 89.59509825706482
53_out.jpg: NIQE=28.688105653729615  with dealing time: 92.26990699768066
54_out.jpg: NIQE=21.03784098802255  with dealing time: 97.90944480895996
55_out.jpg: NIQE=21.22716333994552  with dealing time: 97.1788809299469
56_out.jpg: NIQE=21.213203946037588  with dealing time: 95.92543244361877
57_out.jpg: NIQE=24.476887308145034  with dealing time: 92.94625067710876
58_out.jpg: NIQE=27.162688920397272  with dealing time: 90.80402779579163
59_out.jpg: NIQE=24.23916411849062  with dealing time: 92.62526154518127
5_out.jpg: NIQE=20.855676937292802  with dealing time: 89.30844950675964
60_out.jpg: NIQE=22.277207683109204  with dealing time: 87.49223756790161
61_out.jpg: NIQE=21.391893388863846  with dealing time: 87.3053503036499
62_out.jpg: NIQE=24.087822217298708  with dealing time: 94.0207929611206
63_out.jpg: NIQE=33.16226957144529  with dealing time: 85.5227222442627
64_out.jpg: NIQE=23.144760219539968  with dealing time: 81.21977949142456
65_out.jpg: NIQE=21.772082601289913  with dealing time: 80.50115251541138
66_out.jpg: NIQE=20.29462116279427  with dealing time: 81.73518967628479
67_out.jpg: NIQE=26.1025482282964  with dealing time: 74.7137062549591
68_out.jpg: NIQE=23.590266678290618  with dealing time: 77.43829679489136
69_out.jpg: NIQE=23.979792830937892  with dealing time: 81.48794889450073
6_out.jpg: NIQE=21.340626684425875  with dealing time: 94.7516577243805
70_out.jpg: NIQE=23.36105807042718  with dealing time: 85.89137244224548
71_out.jpg: NIQE=21.809248375670613  with dealing time: 82.42322444915771
72_out.jpg: NIQE=23.12293235280148  with dealing time: 92.9437563419342
73_out.jpg: NIQE=22.777442005051473  with dealing time: 91.91996741294861
74_out.jpg: NIQE=21.251844824387348  with dealing time: 93.3069703578949
75_out.jpg: NIQE=24.396158421080443  with dealing time: 90.97738003730774
76_out.jpg: NIQE=23.74570945447238  with dealing time: 85.44692087173462
77_out.jpg: NIQE=19.207737054339706  with dealing time: 80.12177014350891
78_out.jpg: NIQE=20.21587394713554  with dealing time: 98.27442264556885
79_out.jpg: NIQE=28.726851294522582  with dealing time: 87.36735606193542
7_out.jpg: NIQE=21.249005965928635  with dealing time: 79.10392093658447
80_out.jpg: NIQE=21.69189171060794  with dealing time: 78.72426724433899
81_out.jpg: NIQE=21.72864570643225  with dealing time: 80.46479392051697
82_out.jpg: NIQE=19.785782050663936  with dealing time: 78.07013702392578
83_out.jpg: NIQE=24.3834408737842  with dealing time: 80.45844674110413
84_out.jpg: NIQE=21.135522455965507  with dealing time: 77.29690337181091
85_out.jpg: NIQE=19.788853502127477  with dealing time: 78.23746752738953
86_out.jpg: NIQE=39.27571086204505  with dealing time: 69.88160419464111
87_out.jpg: NIQE=23.58020879286075  with dealing time: 69.03393602371216
88_out.jpg: NIQE=25.068849784314256  with dealing time: 68.71926975250244
89_out.jpg: NIQE=23.282629682114997  with dealing time: 64.75237154960632
8_out.jpg: NIQE=22.905596069849764  with dealing time: 69.7903401851654
90_out.jpg: NIQE=19.951521379821745  with dealing time: 69.47945356369019
91_out.jpg: NIQE=21.636864170726863  with dealing time: 61.33615183830261
92_out.jpg: NIQE=22.337681386825132  with dealing time: 58.72126913070679
93_out.jpg: NIQE=23.99237550297917  with dealing time: 59.0036358833313
94_out.jpg: NIQE=25.592825678636856  with dealing time: 60.498268604278564
95_out.jpg: NIQE=25.729540248130515  with dealing time: 66.59733009338379
96_out.jpg: NIQE=27.55189987943259  with dealing time: 66.13993811607361
97_out.jpg: NIQE=27.472609464608162  with dealing time: 70.36331796646118
98_out.jpg: NIQE=22.224599771110245  with dealing time: 63.35185480117798
99_out.jpg: NIQE=25.722577217891946  with dealing time: 82.33414053916931
9_out.jpg: NIQE=24.221510723196083  with dealing time: 93.35645174980164

183 Image Average: NIQE=26.496627127988287, TimePerImage=83.03702443284415, SumTime = 15195.77547121048s

