10_out.png: NIQE=48.79035177991058  with dealing time: 50.70748472213745
11_out.png: NIQE=51.39082686230891  with dealing time: 72.00103759765625
12_out.png: NIQE=38.35073421184975  with dealing time: 58.31997847557068
13_out.png: NIQE=36.10679554361417  with dealing time: 65.75233554840088
14_out.png: NIQE=36.78393417318691  with dealing time: 73.14185285568237
15_out.png: NIQE=39.64626571841164  with dealing time: 62.6080482006073
16_out.png: NIQE=48.911881151633196  with dealing time: 60.53987455368042
17_out.png: NIQE=39.86060053379848  with dealing time: 70.81374192237854
18_out.png: NIQE=37.67324754078308  with dealing time: 70.22874140739441
19_out.png: NIQE=44.65833472105602  with dealing time: 71.13881421089172
1_out.png: NIQE=50.86007772731866  with dealing time: 69.4387035369873
20_out.png: NIQE=41.05282090737726  with dealing time: 65.06410455703735
21_out.png: NIQE=35.845112281227514  with dealing time: 65.343918800354
22_out.png: NIQE=41.27990691768459  with dealing time: 70.4965283870697
23_out.png: NIQE=41.257980937049915  with dealing time: 65.77448678016663
24_out.png: NIQE=39.59655705031919  with dealing time: 69.02978563308716
25_out.png: NIQE=42.893880119307944  with dealing time: 66.46806502342224
26_out.png: NIQE=44.28414985395432  with dealing time: 67.61876845359802
27_out.png: NIQE=39.77544375644357  with dealing time: 68.81465554237366
28_out.png: NIQE=38.08138039173371  with dealing time: 65.21643900871277
29_out.png: NIQE=55.204618740186646  with dealing time: 60.734943151474
2_out.png: NIQE=57.695132533855  with dealing time: 63.002854108810425
30_out.png: NIQE=59.405473660724255  with dealing time: 62.21887254714966
31_out.png: NIQE=40.48332316389243  with dealing time: 56.20167684555054
32_out.png: NIQE=39.828720937872525  with dealing time: 56.751100301742554
33_out.png: NIQE=35.93611418951521  with dealing time: 54.37741470336914
34_out.png: NIQE=40.39542968700429  with dealing time: 55.43314242362976
35_out.png: NIQE=39.77612894459755  with dealing time: 56.388964891433716
36_out.png: NIQE=38.71597582724071  with dealing time: 55.62992453575134
37_out.png: NIQE=36.850081172271025  with dealing time: 56.21103596687317
38_out.png: NIQE=39.453813631770494  with dealing time: 60.34920358657837
39_out.png: NIQE=43.79739837292633  with dealing time: 56.50801873207092
3_out.png: NIQE=48.795357873544916  with dealing time: 57.874478578567505
40_out.png: NIQE=38.23892698203844  with dealing time: 56.37970805168152
41_out.png: NIQE=41.661424586691545  with dealing time: 56.057748794555664
42_out.png: NIQE=42.861603289033845  with dealing time: 56.67838406562805
43_out.png: NIQE=37.08918298449992  with dealing time: 57.689377546310425
44_out.png: NIQE=34.629371281328666  with dealing time: 57.570136070251465
45_out.png: NIQE=33.78078895658279  with dealing time: 57.219006061553955
4_out.png: NIQE=57.35207887431619  with dealing time: 62.40903401374817
5_out.png: NIQE=46.39792380477629  with dealing time: 57.85930252075195
6_out.png: NIQE=61.48587607382966  with dealing time: 56.90878868103027
7_out.png: NIQE=47.67404269746213  with dealing time: 59.36856722831726
8_out.png: NIQE=55.31368177457821  with dealing time: 62.41084432601929
9_out.png: NIQE=50.64064265707891  with dealing time: 57.0014853477478

45 Image Average: NIQE=43.56807544170194, TimePerImage=61.7278084066179, SumTime = 2777.751378297806s

