10_out.png: uiqm=0.7026305039579153, uciqe=0.5111407951852829
11_out.png: uiqm=0.4370905114817034, uciqe=0.48446843754489965
12_out.png: uiqm=0.7605558549853109, uciqe=0.5397362373764407
13_out.png: uiqm=0.7464746764004845, uciqe=0.5819293774630777
14_out.png: uiqm=0.5617851874796611, uciqe=0.5784459069257334
15_out.png: uiqm=0.7877616641577975, uciqe=0.569859714122693
16_out.png: uiqm=0.8375021223809666, uciqe=0.4941018869985731
17_out.png: uiqm=0.6977561395626971, uciqe=0.5973679094193018
18_out.png: uiqm=0.8775549926641124, uciqe=0.6840562707750384
19_out.png: uiqm=0.8319725279914504, uciqe=0.6074974445500555
1_out.png: uiqm=0.3217724558935964, uciqe=0.5668895069177232
20_out.png: uiqm=0.6749076525613811, uciqe=0.605150497372806
21_out.png: uiqm=0.8359203557305225, uciqe=0.6512366621626745
22_out.png: uiqm=0.7501083607333618, uciqe=0.5480438785927454
23_out.png: uiqm=0.7855585007879182, uciqe=0.5382176719557304
24_out.png: uiqm=0.9057540876283946, uciqe=0.6306371571629332
25_out.png: uiqm=0.8797664867090933, uciqe=0.6520030984570652
26_out.png: uiqm=0.5111297675202389, uciqe=0.5335233047488772
27_out.png: uiqm=0.9510619426489402, uciqe=0.6639504746234252
28_out.png: uiqm=0.7097387881885016, uciqe=0.5710632747025632
29_out.png: uiqm=1.1914505003644178, uciqe=0.5133449017307073
2_out.png: uiqm=0.33328046159792624, uciqe=0.5169701127462274
30_out.png: uiqm=-0.10067462042829556, uciqe=0.4944078969039304
31_out.png: uiqm=0.9659974559368316, uciqe=0.6120470179870614
32_out.png: uiqm=0.9078433772987227, uciqe=0.6042070934481372
33_out.png: uiqm=1.1480328808389042, uciqe=0.5769807509486999
34_out.png: uiqm=1.140373824211367, uciqe=0.5585951021840356
35_out.png: uiqm=1.0687126541895562, uciqe=0.5674398743905218
36_out.png: uiqm=1.0787519815401703, uciqe=0.5674667371374175
37_out.png: uiqm=0.9689638792914864, uciqe=0.6036245174966635
38_out.png: uiqm=0.9676267324775139, uciqe=0.6419915678328787
39_out.png: uiqm=0.7210334914202092, uciqe=0.5905768969517948
3_out.png: uiqm=0.7949333815997214, uciqe=0.5779877441795904
40_out.png: uiqm=1.3062814565475613, uciqe=0.5312027558282982
41_out.png: uiqm=1.0406202667680744, uciqe=0.5418851704735903
42_out.png: uiqm=0.9352629413431945, uciqe=0.5893838870020328
43_out.png: uiqm=1.1379419647198086, uciqe=0.626197444183283
44_out.png: uiqm=1.046543490390141, uciqe=0.5884907370621412
45_out.png: uiqm=1.0508368843187177, uciqe=0.6097634804664317
4_out.png: uiqm=0.03907737568927794, uciqe=0.5020681912086704
5_out.png: uiqm=0.5610356745525789, uciqe=0.5136929342890464
6_out.png: uiqm=0.589903542079609, uciqe=0.5109764113350215
7_out.png: uiqm=0.5933794299780807, uciqe=0.5132698612823194
8_out.png: uiqm=0.6980362827849189, uciqe=0.6285400717099431
9_out.png: uiqm=0.7236434106395326, uciqe=0.5807120824065742

Average: uiqm=0.7883486955469793, uciqe=0.5726920610720592

