104_img_.jpg: NIQE=37.427087308881696  with dealing time: 90.29526591300964
10_img_.jpg: NIQE=36.263583900009024  with dealing time: 87.11788558959961
111_img_.jpg: NIQE=60.71744221209505  with dealing time: 80.59240651130676
112_img_.jpg: NIQE=37.43171943440331  with dealing time: 82.97255516052246
11_img_.jpg: NIQE=34.05877435038783  with dealing time: 80.07332444190979
13_img_.jpg: NIQE=36.63426692819943  with dealing time: 84.2761218547821
14_img_.jpg: NIQE=44.136777541380745  with dealing time: 78.74685287475586
15003.jpg: NIQE=32.78996369583688  with dealing time: 85.949702501297
150_img_.jpg: NIQE=37.14883790624628  with dealing time: 93.55455732345581
15544.jpg: NIQE=30.07658928798777  with dealing time: 104.35664057731628
15_img_.jpg: NIQE=33.97040529537112  with dealing time: 90.90515065193176
169_img_.jpg: NIQE=36.15180354949037  with dealing time: 99.03962516784668
16_img_.jpg: NIQE=32.58726664547418  with dealing time: 94.17662358283997
17_img_.jpg: NIQE=36.41657342468961  with dealing time: 92.00425910949707
18_img_.jpg: NIQE=31.56715248533006  with dealing time: 99.59080743789673
19_img_.jpg: NIQE=32.98844291689026  with dealing time: 91.51205801963806
20.jpg: NIQE=34.36026938785925  with dealing time: 89.8253424167633
22_img_.jpg: NIQE=39.789037845501724  with dealing time: 92.55641984939575
23_img_.jpg: NIQE=34.11359676875671  with dealing time: 94.7423083782196
24_img_.jpg: NIQE=42.1398158718762  with dealing time: 99.57009649276733
282_img_.jpg: NIQE=37.531945494398244  with dealing time: 87.11136555671692
284_img_.jpg: NIQE=42.24871991722058  with dealing time: 91.20943331718445
288_img_.jpg: NIQE=40.36879116171314  with dealing time: 89.84285759925842
290_img_.jpg: NIQE=41.60458693756854  with dealing time: 89.64152264595032
292_img_.jpg: NIQE=42.01621268310022  with dealing time: 94.95100498199463
293_img_.jpg: NIQE=36.04412135577585  with dealing time: 89.64843702316284
294_img_.jpg: NIQE=35.6011839476779  with dealing time: 86.56889581680298
295_img_.jpg: NIQE=42.29852352207279  with dealing time: 87.71463751792908
299_img_.jpg: NIQE=47.50925179281612  with dealing time: 95.17187070846558
2_img_.jpg: NIQE=38.35361565807991  with dealing time: 93.45202350616455
300_img_.jpg: NIQE=42.9130944769523  with dealing time: 90.26662945747375
301_img_.jpg: NIQE=47.98009648387836  with dealing time: 91.22445631027222
302_img_.jpg: NIQE=43.33701030288276  with dealing time: 92.12851095199585
303_img_.jpg: NIQE=44.838080304216895  with dealing time: 92.53809356689453
304_img_.jpg: NIQE=38.96925772904151  with dealing time: 89.26468634605408
305_img_.jpg: NIQE=42.187875058559214  with dealing time: 91.27908277511597
306_img_.jpg: NIQE=36.18857014075215  with dealing time: 85.72829174995422
307_img_.jpg: NIQE=40.78490417908183  with dealing time: 87.33223628997803
30_img_.jpg: NIQE=33.646848882000484  with dealing time: 89.0015561580658
311_img_.jpg: NIQE=42.46402042374576  with dealing time: 83.14396238327026
312_img_.jpg: NIQE=39.71224440579983  with dealing time: 89.73058724403381
313_img_.jpg: NIQE=38.0865155430719  with dealing time: 89.02689290046692
314_img_.jpg: NIQE=51.53388110784633  with dealing time: 91.71057343482971
315_img_.jpg: NIQE=38.089281677381095  with dealing time: 90.72202444076538
316_img_.jpg: NIQE=41.43842624585781  with dealing time: 91.12597632408142
317_img_.jpg: NIQE=40.437120637725634  with dealing time: 95.65057110786438
318_img_.jpg: NIQE=41.98200963490148  with dealing time: 91.64323472976685
319_img_.jpg: NIQE=43.85982721120723  with dealing time: 90.85496616363525
320_img_.jpg: NIQE=45.92472416508208  with dealing time: 97.11057639122009
322_img_.jpg: NIQE=40.005642782368014  with dealing time: 95.35108137130737
323_img_.jpg: NIQE=51.25091726713441  with dealing time: 89.2381534576416
324_img_.jpg: NIQE=38.662233933474134  with dealing time: 87.35920572280884
325_img_.jpg: NIQE=38.272905857007544  with dealing time: 92.35202765464783
326_img_.jpg: NIQE=37.99261116898489  with dealing time: 92.72448778152466
327_img_.jpg: NIQE=42.331075679966666  with dealing time: 95.44724822044373
330_img_.jpg: NIQE=48.87744472320708  with dealing time: 97.2712893486023
332_img_.jpg: NIQE=43.49184477528053  with dealing time: 93.46111369132996
334_img_.jpg: NIQE=44.027594860421516  with dealing time: 93.59714198112488
336_img_.jpg: NIQE=40.951239551874345  with dealing time: 95.44053721427917
337_img_.jpg: NIQE=39.114584356219005  with dealing time: 89.88626003265381
338_img_.jpg: NIQE=39.70230367831876  with dealing time: 91.63605046272278
340_img_.jpg: NIQE=47.04036793154177  with dealing time: 91.6899106502533
341_img_.jpg: NIQE=45.57285240462558  with dealing time: 88.48691916465759
342_img_.jpg: NIQE=53.92900926207415  with dealing time: 84.47094559669495
343_img_.jpg: NIQE=45.493473596495846  with dealing time: 90.19893288612366
346_img_.jpg: NIQE=40.521573392880676  with dealing time: 87.55752420425415
347_img_.jpg: NIQE=40.76032911937837  with dealing time: 95.89726328849792
348_img_.jpg: NIQE=44.13771292658664  with dealing time: 94.33288550376892
350_img_.jpg: NIQE=39.446431078714646  with dealing time: 93.20097637176514
351_img_.jpg: NIQE=44.61074627102592  with dealing time: 87.77009081840515
353_img_.jpg: NIQE=49.98048902024459  with dealing time: 89.23689579963684
355_img_.jpg: NIQE=46.66038367436564  with dealing time: 97.55484533309937
356_img_.jpg: NIQE=40.878942688073955  with dealing time: 93.87558484077454
359_img_.jpg: NIQE=51.108672074657555  with dealing time: 92.13197660446167
360_img_.jpg: NIQE=42.96436242063862  with dealing time: 97.81142354011536
361_img_.jpg: NIQE=39.43419322786367  with dealing time: 96.63203859329224
362_img_.jpg: NIQE=64.65123580708591  with dealing time: 92.8645887374878
363_img_.jpg: NIQE=58.73085968589049  with dealing time: 97.69848108291626
364_img_.jpg: NIQE=68.20765537553251  with dealing time: 98.22071957588196
366_img_.jpg: NIQE=42.15353928308899  with dealing time: 88.77620768547058
367_img_.jpg: NIQE=37.51560480099609  with dealing time: 93.60595560073853
3_img_.jpg: NIQE=29.690564357165698  with dealing time: 85.11322402954102
4.jpg: NIQE=34.095998783990005  with dealing time: 95.32048749923706
406_img_.jpg: NIQE=38.64070472383392  with dealing time: 91.43852090835571
419_img_.jpg: NIQE=45.5664039339263  with dealing time: 84.1946918964386
