104_img_: PSNR=27.81766428814872 SSIM=0.9456574976866339 UIQM=0.4373539774912516 UCIQE=0.6354015311401292
10_img_: PSNR=15.094333904654334 SSIM=0.3560109004504919 UIQM=0.5110693892428159 UCIQE=0.6695194516577034
111_img_: PSNR=27.754526936988565 SSIM=0.9540867756002855 UIQM=0.1771423908361499 UCIQE=0.6573447733465189
112_img_: PSNR=24.028566748846266 SSIM=0.8734817417436269 UIQM=0.8932597998056288 UCIQE=0.6243632589653777
11_img_: PSNR=17.642981589728087 SSIM=0.7692280760981662 UIQM=0.971010389238929 UCIQE=0.6756845970919609
13_img_: PSNR=22.479273879367877 SSIM=0.9203548978040083 UIQM=0.7527211696411491 UCIQE=0.6518567332304835
14_img_: PSNR=30.53880909431291 SSIM=0.9546070760646341 UIQM=1.040330018649739 UCIQE=0.6686224085211108
15003: PSNR=24.418490399006476 SSIM=0.8721731045982096 UIQM=0.050791074343670695 UCIQE=0.4633296764851602
150_img_: PSNR=28.32589377403931 SSIM=0.9494602569209049 UIQM=0.7099504820410361 UCIQE=0.6156791249365716
15544: PSNR=25.83503727149391 SSIM=0.8687865300442807 UIQM=0.269684048942439 UCIQE=0.5428894341582944
15_img_: PSNR=20.76760991756926 SSIM=0.8500759122805444 UIQM=1.2167792315807966 UCIQE=0.69502254465058
169_img_: PSNR=24.73404151525547 SSIM=0.8533050452475774 UIQM=1.337231318224695 UCIQE=0.5845204798035817
16_img_: PSNR=22.06104886878082 SSIM=0.7760152614405056 UIQM=0.9845449848435495 UCIQE=0.6054643289458345
17_img_: PSNR=23.039629148397243 SSIM=0.9206294763165637 UIQM=1.3354281972593236 UCIQE=0.6473231783126088
18_img_: PSNR=20.187641204372962 SSIM=0.5794766014745101 UIQM=0.7466043751286897 UCIQE=0.549951170093621
19_img_: PSNR=20.47694369011852 SSIM=0.8007980703024242 UIQM=1.1189604382343705 UCIQE=0.6470611002225455
20: PSNR=24.626801301330218 SSIM=0.8790881585722249 UIQM=1.213287012001973 UCIQE=0.6352084262516707
22_img_: PSNR=23.23459465112416 SSIM=0.9159624860206197 UIQM=0.9025941612465004 UCIQE=0.645981438000624
23_img_: PSNR=23.570806944604175 SSIM=0.8712241713540626 UIQM=1.1054597071185919 UCIQE=0.6335940901690762
24_img_: PSNR=22.352834201848037 SSIM=0.9078937077704952 UIQM=0.9845854799746874 UCIQE=0.6238810624386344
