100001.jpg: NIQE=51.05805393399396  with dealing time: 77.49243330955505
10091.jpg: NIQE=34.19632153133798  with dealing time: 82.82313060760498
10103.jpg: NIQE=39.35717753445555  with dealing time: 78.66421580314636
10167.jpg: NIQE=29.899791538321978  with dealing time: 91.07914638519287
102.jpg: NIQE=36.38506886400939  with dealing time: 81.79165172576904
10226.jpg: NIQE=41.789420082182716  with dealing time: 83.33406519889832
10475.jpg: NIQE=43.84815455056623  with dealing time: 77.40215277671814
10488.jpg: NIQE=46.05801384095495  with dealing time: 77.22913432121277
12191.jpg: NIQE=30.47622332929026  with dealing time: 79.69548273086548
12203.jpg: NIQE=32.28493377696333  with dealing time: 81.04931664466858
12228.jpg: NIQE=37.92375568064529  with dealing time: 76.81258749961853
12565.jpg: NIQE=33.792345614190126  with dealing time: 77.72820281982422
12577.jpg: NIQE=32.10287553806164  with dealing time: 79.36928129196167
12625.jpg: NIQE=34.761414439675896  with dealing time: 88.82473707199097
12709.jpg: NIQE=35.22503052887123  with dealing time: 82.33747673034668
12753.jpg: NIQE=37.8828120938817  with dealing time: 73.9797215461731
12960.jpg: NIQE=53.7444192275932  with dealing time: 80.42990946769714
12972.jpg: NIQE=47.40618074526448  with dealing time: 81.12183928489685
13252.jpg: NIQE=42.980911333159746  with dealing time: 78.8767900466919
13259.jpg: NIQE=36.52690002772011  with dealing time: 77.23921823501587
15603.jpg: NIQE=32.341737711199634  with dealing time: 83.85352349281311
15735.jpg: NIQE=35.628023063667925  with dealing time: 81.06750321388245
15738.jpg: NIQE=30.74499529053971  with dealing time: 86.29178476333618
15740.jpg: NIQE=55.635727128137724  with dealing time: 79.25779223442078
15774.jpg: NIQE=48.44865132153702  with dealing time: 76.51679301261902
15775.jpg: NIQE=45.462470704980106  with dealing time: 80.55428075790405
2.jpg: NIQE=39.12076000551476  with dealing time: 78.2292582988739
2575.jpg: NIQE=33.11991144171868  with dealing time: 79.56283926963806
2583.jpg: NIQE=36.870455079369236  with dealing time: 76.1179552078247
2856.jpg: NIQE=34.30170564547945  with dealing time: 84.59921932220459
3027.jpg: NIQE=27.952749292930402  with dealing time: 76.04990124702454
3051.jpg: NIQE=29.150392200263866  with dealing time: 76.79021835327148
3087.jpg: NIQE=29.95609327534717  with dealing time: 69.47588539123535
3175.jpg: NIQE=48.29257859897739  with dealing time: 71.45702862739563
3201.jpg: NIQE=35.75429412832252  with dealing time: 69.49588656425476
3279.jpg: NIQE=38.45239979339619  with dealing time: 67.21165609359741
34.jpg: NIQE=34.237613294071046  with dealing time: 60.42048120498657
3494.jpg: NIQE=35.038909973008685  with dealing time: 60.63404679298401
3519.jpg: NIQE=38.55914857557957  with dealing time: 67.30835270881653
358_img_.jpg: NIQE=42.838135572250806  with dealing time: 62.86848592758179
432.jpg: NIQE=56.66003435348033  with dealing time: 62.960899353027344
5.jpg: NIQE=48.13616929260815  with dealing time: 64.56132125854492
52.jpg: NIQE=32.860925656403836  with dealing time: 63.570213317871094
579.jpg: NIQE=32.91694739873491  with dealing time: 65.77321147918701
605.jpg: NIQE=34.162837684962895  with dealing time: 59.04247713088989
616.jpg: NIQE=30.501241615300184  with dealing time: 53.27262759208679
627.jpg: NIQE=29.351468249425913  with dealing time: 56.06697654724121
6333.jpg: NIQE=61.42888792040739  with dealing time: 60.487757444381714
6340.jpg: NIQE=48.95688260556124  with dealing time: 58.47809171676636
643_img_.jpg: NIQE=31.50924516296365  with dealing time: 57.92471790313721
6527.jpg: NIQE=46.23243786075169  with dealing time: 58.017603635787964
7277.jpg: NIQE=35.00842954504432  with dealing time: 52.80721688270569
7291.jpg: NIQE=35.49855638869532  with dealing time: 56.39608144760132
770.jpg: NIQE=32.08125413159952  with dealing time: 58.40036129951477
866.jpg: NIQE=37.084043878664865  with dealing time: 57.723522663116455
880.jpg: NIQE=39.42349497476286  with dealing time: 59.10933184623718
9553.jpg: NIQE=38.070629121219326  with dealing time: 56.996999740600586
9602.jpg: NIQE=34.8501308561562  with dealing time: 51.07935690879822
9607.jpg: NIQE=30.664012846359437  with dealing time: 48.08999228477478
9618.jpg: NIQE=34.220627528826135  with dealing time: 46.60089182853699

60 Image Average: NIQE=38.32041355632267, TimePerImage=70.70671730438868, SumTime = 4242.403038263321s

