12433.jpg: uiqm=0.5474629570628538, uciqe=0.5609060143917352
149.jpg: uiqm=-0.007115380139069094, uciqe=0.5346580401696552
161.jpg: uiqm=0.5350595121173618, uciqe=0.5676048514209622
264574_00031858.jpg: uiqm=1.6217280614091685, uciqe=0.582264130835794
264734_00038535.jpg: uiqm=0.6654275839745839, uciqe=0.5902424993582175
265119_00013763.jpg: uiqm=0.3348009486498741, uciqe=0.6183730521230949
265130_00031309.jpg: uiqm=0.6189589871898852, uciqe=0.5386911311947663
265344_00029330.jpg: uiqm=0.6518984165157004, uciqe=0.5559717924390686
306_img_.jpg: uiqm=0.3130848611248218, uciqe=0.6112490567368192
332_img_.jpg: uiqm=0.3573198870727956, uciqe=0.6071234646452648
3330.jpg: uiqm=0.43114895147420085, uciqe=0.6593984181377454
36.jpg: uiqm=0.5120466091054494, uciqe=0.5575514306566887
387_img_.jpg: uiqm=0.7657943659604655, uciqe=0.5759637389463159
757_img_.jpg: uiqm=1.1646021314460349, uciqe=0.6054725044689809
819_img_.jpg: uiqm=0.6243033857427454, uciqe=0.5811715298873581
96.jpg: uiqm=0.8180850524309079, uciqe=0.5735703648081196
GI_1.jpg: uiqm=0.847581463879111, uciqe=0.45434103760850186
GI_16.jpg: uiqm=0.28741407693943544, uciqe=0.5692538429000288
GI_2.jpg: uiqm=0.9624958199000944, uciqe=0.41079483944622974
GI_22.jpg: uiqm=0.17704017324198273, uciqe=0.5551817525374838
GI_29.jpg: uiqm=0.2817271731419292, uciqe=0.4728718430152161
GI_33.jpg: uiqm=0.9638938714030465, uciqe=0.6316027920293591
GI_35.jpg: uiqm=0.6080101681597979, uciqe=0.7007963028704477
GI_43.jpg: uiqm=0.3310636344402199, uciqe=0.6581107975552049
GI_7.jpg: uiqm=1.3090465489452812, uciqe=0.48908387838083256
GI_78.jpg: uiqm=0.9608145808803439, uciqe=0.608606583982048
GI_8.jpg: uiqm=1.4014852237458424, uciqe=0.49112963202908416
GI_95.jpg: uiqm=0.2767149308034942, uciqe=0.5547834176554354
gmn_5017up.jpg: uiqm=1.0413689050845312, uciqe=0.6387681822850702
gmn_5029up.jpg: uiqm=0.7481974801028696, uciqe=0.6528463923553647
gmn_5148up.jpg: uiqm=0.37795390857194155, uciqe=0.6300157418088781
gmn_5183up.jpg: uiqm=0.9101934977847745, uciqe=0.5738749601093809
gmn_5185up.jpg: uiqm=0.9218661102989508, uciqe=0.6411511054319878
gmn_5228up.jpg: uiqm=1.0120018398601913, uciqe=0.5825538307274747
gmn_7856up.jpg: uiqm=1.1756165601920583, uciqe=0.636395866238402
gmn_7919up.jpg: uiqm=0.7670049174028681, uciqe=0.5780137821190814
im_f1582_.jpg: uiqm=1.405530502346167, uciqe=0.5926867993146472
im_f2253_.jpg: uiqm=0.7903403924588495, uciqe=0.5378339282795722
n01496331_1010.jpg: uiqm=0.7541044295984624, uciqe=0.5402391376207507
n01496331_2044.jpg: uiqm=0.846329266847, uciqe=0.5875098732920603
n01914609_1112.jpg: uiqm=0.4024563753438464, uciqe=0.5807199307695718
n01914609_11380.jpg: uiqm=0.90968825278634, uciqe=0.5437049104607785
n01914609_13222.jpg: uiqm=1.065930056838567, uciqe=0.5654320627672763
n01914609_13909.jpg: uiqm=1.5332094139460604, uciqe=0.548194068729124
n01914609_1437.jpg: uiqm=0.3017104805271237, uciqe=0.6081756278151162
n01914609_1980.jpg: uiqm=1.019765805122046, uciqe=0.5963522602754157
n01914609_2054.jpg: uiqm=0.6686799981896268, uciqe=0.5771410264173349
n01914609_7919.jpg: uiqm=0.532948714578208, uciqe=0.5829951387770511
n02607072_2382.jpg: uiqm=0.4240727283683471, uciqe=0.5805856265752758
n02607072_5845.jpg: uiqm=0.6705235587945791, uciqe=0.6657542515468964
n02607072_931.jpg: uiqm=0.6778684850427739, uciqe=0.5900255375310346
NF_1.jpg: uiqm=0.1948663671691252, uciqe=0.5779113880682688
NF_10.jpg: uiqm=0.28775393840419616, uciqe=0.5595508545967663
NF_100.jpg: uiqm=0.22332497424898734, uciqe=0.5637708347617225
NF_110.jpg: uiqm=-0.06066119823188809, uciqe=0.5806499959569973
NF_116.jpg: uiqm=0.35216618207972394, uciqe=0.5136357903427118
NF_123.jpg: uiqm=-0.1284925106647592, uciqe=0.532743573557752
NF_124.jpg: uiqm=0.7423233014322154, uciqe=0.5664654361279331
NF_13.jpg: uiqm=-0.4064419977786303, uciqe=0.3849825375631908
NF_14.jpg: uiqm=-0.33336324353772384, uciqe=0.3502771371934685
NF_141.jpg: uiqm=0.5167474105781267, uciqe=0.5584605289561934
NF_147.jpg: uiqm=0.43580044760100434, uciqe=0.5480868695855097
NF_148.jpg: uiqm=0.33887272306314553, uciqe=0.5700190535567012
NF_166.jpg: uiqm=0.6175332836955398, uciqe=0.5670825670998142
NF_171.jpg: uiqm=0.66036546446901, uciqe=0.573131645980228
NF_172.jpg: uiqm=0.05637639022462515, uciqe=0.4954009225064856
NF_174.jpg: uiqm=0.6225291148296616, uciqe=0.5378521768305402
NF_177.jpg: uiqm=0.411062899167722, uciqe=0.5368244984774704
NF_194.jpg: uiqm=-0.14652345395334143, uciqe=0.5789765135324615
NF_195.jpg: uiqm=0.22954479693337737, uciqe=0.5163619980528137
NF_2.jpg: uiqm=0.06362931806586714, uciqe=0.6355947033880556
NF_201.jpg: uiqm=0.14651548851739293, uciqe=0.5190904605561866
NF_209.jpg: uiqm=0.7690199843609925, uciqe=0.6239655368089553
NF_213.jpg: uiqm=0.45641556193129795, uciqe=0.5632356552102376
NF_215.jpg: uiqm=0.23201037771423616, uciqe=0.5149130534903259
NF_218.jpg: uiqm=0.8071237067436433, uciqe=0.5581494513444747
NF_231.jpg: uiqm=0.8409243478575018, uciqe=0.5177365610443267
NF_241.jpg: uiqm=0.5707929534934665, uciqe=0.598806126009396
NF_242.jpg: uiqm=-0.18038356631396268, uciqe=0.5270573356002116
NF_252.jpg: uiqm=0.42572390220875245, uciqe=0.5607790027662373
NF_26.jpg: uiqm=-0.22935226129720043, uciqe=0.5578680816634299
NF_280.jpg: uiqm=0.272461216960285, uciqe=0.5279618751313244
NF_285.jpg: uiqm=0.7550832661437816, uciqe=0.654484587830288
NF_287.jpg: uiqm=0.16059405421112805, uciqe=0.5317433550879335
NF_313.jpg: uiqm=0.5233334304044889, uciqe=0.5483647088164705
NF_32.jpg: uiqm=0.1316732953424138, uciqe=0.5115310589246507
NF_363.jpg: uiqm=-0.08830340302382556, uciqe=0.44716367569240534
NF_364.jpg: uiqm=0.02848875254431671, uciqe=0.5323462420458205
NF_387.jpg: uiqm=0.04433157121713727, uciqe=0.5166978573117664
NF_410.jpg: uiqm=0.2389406842290187, uciqe=0.5147106370785551
NF_417.jpg: uiqm=-0.2105545595711561, uciqe=0.5130020288225761
NF_466.jpg: uiqm=0.5077159000519073, uciqe=0.5362726229596071
NF_470.jpg: uiqm=0.9005879325789617, uciqe=0.6064293774796731
NF_507.jpg: uiqm=0.10253776564974126, uciqe=0.6315937206637088
NF_512.jpg: uiqm=0.5016765800528777, uciqe=0.5820991659076211
NF_518.jpg: uiqm=0.9927446489311285, uciqe=0.6015911298130135
NF_52.jpg: uiqm=0.5637589523521347, uciqe=0.5572966723284054
NF_56.jpg: uiqm=0.2130027311478505, uciqe=0.5804703105592888
NF_57.jpg: uiqm=0.22531665501470954, uciqe=0.5586446673844072
NF_60.jpg: uiqm=0.2124502437497925, uciqe=0.559741909183008
NF_69.jpg: uiqm=0.8855699878976085, uciqe=0.6530008987763901
NF_7.jpg: uiqm=0.16270105000287405, uciqe=0.4533747033928691
NF_70.jpg: uiqm=0.8380540794033797, uciqe=0.6852456093533377
NF_75.jpg: uiqm=0.7575130674278029, uciqe=0.5907192737961081
NF_78.jpg: uiqm=0.7762202662898698, uciqe=0.6133831201140203
NF_8.jpg: uiqm=0.35212784427904353, uciqe=0.47560043834079363
NF_81.jpg: uiqm=0.39220507205016375, uciqe=0.5526972594689576
NF_85.jpg: uiqm=1.2124645631318978, uciqe=0.6364378557983102
