1.jpg: uiqm=0.42659602316457423, uciqe=0.5550461576261425
10.jpg: uiqm=0.5285905914836659, uciqe=0.563136093609564
100.jpg: uiqm=0.7345434953914698, uciqe=0.5699411892043142
101.jpg: uiqm=0.44705511302390977, uciqe=0.5623440086295945
102.jpg: uiqm=0.6897135565536112, uciqe=0.5788715537852753
103.jpg: uiqm=0.7835341453577808, uciqe=0.5748447736306256
104.jpg: uiqm=0.7833779075314734, uciqe=0.5763668006140026
105.jpg: uiqm=0.6498606567331123, uciqe=0.5846652134177427
106.jpg: uiqm=0.712325449485552, uciqe=0.5762729537017287
107.jpg: uiqm=0.8191464794626562, uciqe=0.5631208614373535
108.jpg: uiqm=0.6658224372669498, uciqe=0.5649113683559028
109.jpg: uiqm=0.6803025519127691, uciqe=0.5654214109797382
11.jpg: uiqm=0.5342025650966846, uciqe=0.5625501583304441
110.jpg: uiqm=0.5789787115743105, uciqe=0.5624654892400442
111.jpg: uiqm=0.49586593203479923, uciqe=0.5757977904591074
112.jpg: uiqm=0.6891292802133352, uciqe=0.5639995861138698
113.jpg: uiqm=0.689706115621035, uciqe=0.5660639905741452
114.jpg: uiqm=0.5062286757680837, uciqe=0.5678602740551292
115.jpg: uiqm=0.562249331888489, uciqe=0.5708573676940825
116.jpg: uiqm=0.8109275413704577, uciqe=0.5316583410679652
117.jpg: uiqm=0.7729117650188867, uciqe=0.5318920022891354
118.jpg: uiqm=0.36881611370395007, uciqe=0.5166074234164382
119.jpg: uiqm=0.584591153200605, uciqe=0.5607260153191226
12.jpg: uiqm=0.5249843164634607, uciqe=0.5638228939476801
120.jpg: uiqm=0.5729833638390728, uciqe=0.5656836241334031
121.jpg: uiqm=0.6762931281353821, uciqe=0.5623607278752876
122.jpg: uiqm=0.7099640544449458, uciqe=0.5712679914417091
123.jpg: uiqm=0.557704586678877, uciqe=0.5586922316607845
124.jpg: uiqm=0.5660963521612256, uciqe=0.5672469079165792
125.jpg: uiqm=0.6028352643995906, uciqe=0.5690171563368958
126.jpg: uiqm=0.5629418113227012, uciqe=0.5653323357860075
127.jpg: uiqm=0.7219602272076625, uciqe=0.5680087668033426
128.jpg: uiqm=0.569160976460604, uciqe=0.5802658489279359
129.jpg: uiqm=0.6731370754005115, uciqe=0.5734753924877376
13.jpg: uiqm=0.4946346616127657, uciqe=0.561838890346481
130.jpg: uiqm=0.650749099295132, uciqe=0.5611645439998714
131.jpg: uiqm=0.6153023653279104, uciqe=0.5652690099594282
132.jpg: uiqm=0.6535365226578047, uciqe=0.5622690299592887
133.jpg: uiqm=0.11707205708587043, uciqe=0.5539847516526393
134.jpg: uiqm=0.6849583465838626, uciqe=0.5550168522130878
135.jpg: uiqm=0.691747640455714, uciqe=0.5639946119658188
136.jpg: uiqm=0.714899777106504, uciqe=0.5707883866457512
137.jpg: uiqm=0.6809259492683968, uciqe=0.5718269312933402
138.jpg: uiqm=0.5053081754027703, uciqe=0.5640887353232645
139.jpg: uiqm=0.05070020896867078, uciqe=0.5558961106595648
14.jpg: uiqm=0.3065032183962494, uciqe=0.5579814614465202
140.jpg: uiqm=0.48407643363025554, uciqe=0.5680643119431097
141.jpg: uiqm=0.4680447213279295, uciqe=0.5388772094253348
142.jpg: uiqm=0.32458766143649287, uciqe=0.574536272479651
143.jpg: uiqm=0.5251703714724931, uciqe=0.5568534315991984
144.jpg: uiqm=0.5744414577725505, uciqe=0.5681013179520532
145.jpg: uiqm=0.6055502133359547, uciqe=0.5741075973926618
146.jpg: uiqm=0.5880668480991798, uciqe=0.5756476071002025
147.jpg: uiqm=0.5725409601983176, uciqe=0.569651700248377
148.jpg: uiqm=0.4382160443857631, uciqe=0.5312950369815128
149.jpg: uiqm=-0.006347775037402026, uciqe=0.5346951240139262
15.jpg: uiqm=0.2273320410115225, uciqe=0.5510770666000167
150.jpg: uiqm=-0.03862878478639631, uciqe=0.5448421680918923
151.jpg: uiqm=0.44343272499453457, uciqe=0.5353984560225988
152.jpg: uiqm=-0.024691522064007043, uciqe=0.5418022500611326
153.jpg: uiqm=0.442194313742839, uciqe=0.5520478915395723
154.jpg: uiqm=0.44502886738193514, uciqe=0.5324952075634718
155.jpg: uiqm=0.12911890838849382, uciqe=0.5127165596092865
156.jpg: uiqm=0.7733676677899826, uciqe=0.5692279467717017
157.jpg: uiqm=0.02591058253208578, uciqe=0.5207628164770566
158.jpg: uiqm=0.006026240021100304, uciqe=0.5212908878749452
159.jpg: uiqm=0.022828583856050022, uciqe=0.5210743968467995
16.jpg: uiqm=0.451049034202078, uciqe=0.5420810472127768
160.jpg: uiqm=-0.001171404522087638, uciqe=0.5286626116797752
161.jpg: uiqm=0.5350595121173618, uciqe=0.5676048514209622
162.jpg: uiqm=0.5282943638326844, uciqe=0.5681193428651445
163.jpg: uiqm=0.7402653888792673, uciqe=0.5607446189857406
164.jpg: uiqm=0.5418822941301623, uciqe=0.5627056395576303
165.jpg: uiqm=0.5506348586052149, uciqe=0.5613938874562198
166.jpg: uiqm=0.6356727991717341, uciqe=0.5611993613876428
167.jpg: uiqm=0.5703629614959155, uciqe=0.5610963092906185
168.jpg: uiqm=0.5629530847878541, uciqe=0.5615611212194251
169.jpg: uiqm=0.5557379865224018, uciqe=0.5595439805520922
17.jpg: uiqm=0.5013632060790681, uciqe=0.5372066670100697
170.jpg: uiqm=0.5348558367895889, uciqe=0.5650860143351666
171.jpg: uiqm=0.5329941865114641, uciqe=0.5652671549245015
172.jpg: uiqm=0.46053538286964124, uciqe=0.539099411401817
173.jpg: uiqm=0.5362843272574089, uciqe=0.5654282240883499
174.jpg: uiqm=0.529496580178467, uciqe=0.566031735130174
175.jpg: uiqm=0.5261463222416213, uciqe=0.5660497203505618
176.jpg: uiqm=0.5758529906548268, uciqe=0.5534803088018195
177.jpg: uiqm=0.5106113189193086, uciqe=0.5664396295874892
178.jpg: uiqm=0.5626333395771468, uciqe=0.5623932494777981
