1.jpg: NIQE=52.638082136052624  with dealing time: 90.00017738342285
10.jpg: NIQE=42.09496457917675  with dealing time: 72.4883725643158
11.jpg: NIQE=52.16940212680322  with dealing time: 92.20471739768982
12.jpg: NIQE=36.90351058600566  with dealing time: 77.12642669677734
13.jpg: NIQE=34.885855823099114  with dealing time: 76.7953188419342
14.jpg: NIQE=40.78257046409233  with dealing time: 82.30393481254578
15.jpg: NIQE=37.61542571440339  with dealing time: 73.53076362609863
16.jpg: NIQE=45.97551928426393  with dealing time: 71.43730807304382
17.jpg: NIQE=35.15833965078386  with dealing time: 86.90622806549072
18.jpg: NIQE=34.15329762901408  with dealing time: 81.41179537773132
19.jpg: NIQE=41.338127886612185  with dealing time: 84.86535859107971
2.jpg: NIQE=47.515457745997665  with dealing time: 81.79353713989258
20.jpg: NIQE=38.280788390206396  with dealing time: 79.18853712081909
21.jpg: NIQE=34.95164983719574  with dealing time: 84.54780840873718
22.jpg: NIQE=39.70468103787944  with dealing time: 87.47155261039734
23.jpg: NIQE=35.764921915213854  with dealing time: 80.30850768089294
24.jpg: NIQE=34.95435524338637  with dealing time: 78.76913380622864
25.jpg: NIQE=39.38680089328982  with dealing time: 78.63917088508606
26.jpg: NIQE=39.913248140201745  with dealing time: 79.86537981033325
27.jpg: NIQE=38.0867950081853  with dealing time: 80.23246788978577
28.jpg: NIQE=35.07523343506456  with dealing time: 80.25262784957886
29.jpg: NIQE=51.92113623821314  with dealing time: 73.34965920448303
3.jpg: NIQE=48.430266100931526  with dealing time: 75.65513706207275
30.jpg: NIQE=48.633854615472245  with dealing time: 76.03366041183472
31.jpg: NIQE=39.24915265357646  with dealing time: 72.99390268325806
32.jpg: NIQE=39.03017599839529  with dealing time: 74.76881551742554
33.jpg: NIQE=37.26050761748772  with dealing time: 71.99986505508423
34.jpg: NIQE=39.923748741837066  with dealing time: 72.71689033508301
35.jpg: NIQE=43.291589420972976  with dealing time: 72.22928166389465
36.jpg: NIQE=41.47839250470192  with dealing time: 80.25697731971741
37.jpg: NIQE=34.409454022663844  with dealing time: 76.32925796508789
38.jpg: NIQE=35.70121028666427  with dealing time: 78.63965129852295
39.jpg: NIQE=42.46206675183867  with dealing time: 69.70357871055603
4.jpg: NIQE=54.33407178903424  with dealing time: 74.12302565574646
40.jpg: NIQE=32.28606706759653  with dealing time: 67.96522545814514
41.jpg: NIQE=38.366698004030624  with dealing time: 64.05888724327087
42.jpg: NIQE=37.95289612662539  with dealing time: 59.80060410499573
43.jpg: NIQE=36.695668933193204  with dealing time: 58.998916149139404
44.jpg: NIQE=34.15811139817004  with dealing time: 60.41310477256775
45.jpg: NIQE=32.73694028660135  with dealing time: 60.271363496780396
5.jpg: NIQE=43.33888475657889  with dealing time: 58.46669912338257
6.jpg: NIQE=52.56190551672715  with dealing time: 58.725454807281494
7.jpg: NIQE=43.598881106910795  with dealing time: 60.007442474365234
8.jpg: NIQE=58.24812672471196  with dealing time: 66.34008264541626
9.jpg: NIQE=50.09798278832372  with dealing time: 59.2041552066803

45 Image Average: NIQE=41.18926259951526, TimePerImage=74.29312806659274, SumTime = 3343.1907629966736s

