100001.jpg: NIQE=48.58716220903107  with dealing time: 96.21026968955994
10091.jpg: NIQE=32.26315673712256  with dealing time: 86.61889004707336
10103.jpg: NIQE=36.10172971228007  with dealing time: 90.10850858688354
10167.jpg: NIQE=29.166330024307456  with dealing time: 92.30516290664673
102.jpg: NIQE=33.10043558490799  with dealing time: 93.93383574485779
10226.jpg: NIQE=39.28755995763521  with dealing time: 97.60160112380981
10475.jpg: NIQE=44.79441195998519  with dealing time: 89.33212876319885
10488.jpg: NIQE=44.22846071402954  with dealing time: 88.9716911315918
12191.jpg: NIQE=29.669394109520084  with dealing time: 90.4974467754364
12203.jpg: NIQE=31.815928492193404  with dealing time: 90.4537422657013
12228.jpg: NIQE=37.36728289053669  with dealing time: 87.44358992576599
12565.jpg: NIQE=32.07105275930515  with dealing time: 88.9404661655426
12577.jpg: NIQE=31.113205842983007  with dealing time: 87.87281250953674
12625.jpg: NIQE=34.11708236060358  with dealing time: 98.65783095359802
12709.jpg: NIQE=34.93203979700431  with dealing time: 88.66857647895813
12753.jpg: NIQE=35.4782021102805  with dealing time: 83.41252541542053
12960.jpg: NIQE=50.82597262903295  with dealing time: 92.26141119003296
12972.jpg: NIQE=45.312194158356675  with dealing time: 95.22335052490234
13252.jpg: NIQE=42.15943596477647  with dealing time: 89.75730490684509
13259.jpg: NIQE=34.7994763864161  with dealing time: 88.70330858230591
15603.jpg: NIQE=31.734987330995615  with dealing time: 96.59956216812134
15735.jpg: NIQE=35.41871837533928  with dealing time: 91.30169439315796
15738.jpg: NIQE=30.629704732221256  with dealing time: 96.99227595329285
15740.jpg: NIQE=51.08176325843945  with dealing time: 94.10564303398132
15774.jpg: NIQE=49.33026828279989  with dealing time: 88.96309971809387
15775.jpg: NIQE=43.18885728016414  with dealing time: 94.69784212112427
2.jpg: NIQE=38.726785760442134  with dealing time: 90.79907536506653
2575.jpg: NIQE=31.621489852348372  with dealing time: 93.8130452632904
2583.jpg: NIQE=35.09587053281964  with dealing time: 90.33925247192383
2856.jpg: NIQE=32.77873964433563  with dealing time: 88.98945689201355
3027.jpg: NIQE=27.894040713193828  with dealing time: 86.98078083992004
3051.jpg: NIQE=28.721981825093486  with dealing time: 89.85467028617859
3087.jpg: NIQE=29.355873779803648  with dealing time: 86.08693885803223
3175.jpg: NIQE=46.48300788178378  with dealing time: 91.02331233024597
3201.jpg: NIQE=33.700821025612434  with dealing time: 88.70099711418152
3279.jpg: NIQE=36.23873844932671  with dealing time: 90.81341600418091
34.jpg: NIQE=30.915850343030037  with dealing time: 91.65117883682251
3494.jpg: NIQE=32.87585097400109  with dealing time: 91.77727484703064
3519.jpg: NIQE=36.1675517789783  with dealing time: 96.69410371780396
358_img_.jpg: NIQE=52.480854268940945  with dealing time: 92.79703879356384
432.jpg: NIQE=53.198107615133495  with dealing time: 96.76582074165344
5.jpg: NIQE=46.7642454454191  with dealing time: 97.67767834663391
52.jpg: NIQE=29.94199251020465  with dealing time: 93.75825572013855
579.jpg: NIQE=32.3281841910042  with dealing time: 96.92851328849792
605.jpg: NIQE=33.63894572156899  with dealing time: 94.18033599853516
616.jpg: NIQE=28.694296287099707  with dealing time: 92.99193620681763
627.jpg: NIQE=28.574221226979223  with dealing time: 90.86457371711731
6333.jpg: NIQE=59.1099180282904  with dealing time: 97.24745726585388
6340.jpg: NIQE=47.1943253668895  with dealing time: 92.41732716560364
643_img_.jpg: NIQE=29.7345108494891  with dealing time: 92.64472556114197
6527.jpg: NIQE=41.38059533916158  with dealing time: 91.5027494430542
7277.jpg: NIQE=33.44245100043699  with dealing time: 85.2039315700531
7291.jpg: NIQE=34.18553865311141  with dealing time: 90.1305205821991
770.jpg: NIQE=31.798674568312382  with dealing time: 91.47483587265015
866.jpg: NIQE=36.20557627315183  with dealing time: 90.47905421257019
880.jpg: NIQE=38.00492372299704  with dealing time: 93.50678253173828
9553.jpg: NIQE=36.824124691834584  with dealing time: 93.91068625450134
9602.jpg: NIQE=33.721535699188685  with dealing time: 91.54684472084045
9607.jpg: NIQE=29.597096343927085  with dealing time: 92.41765451431274
9618.jpg: NIQE=33.05064885299373  with dealing time: 94.41561841964722

60 Image Average: NIQE=36.983703047952865, TimePerImage=91.83367358048757, SumTime = 5510.020414829254s

