100001.jpg: uiqm=-0.05262272167108489, uciqe=0.47557571960511613
10091.jpg: uiqm=0.6347783244142192, uciqe=0.5738084404359866
10103.jpg: uiqm=0.9386677439428782, uciqe=0.5626357581034069
10167.jpg: uiqm=0.37082357326497073, uciqe=0.5901837958059696
102.jpg: uiqm=0.29275756759528027, uciqe=0.5632646120208257
10226.jpg: uiqm=0.37199688039154655, uciqe=0.5568324508492926
10475.jpg: uiqm=0.46137591189127636, uciqe=0.5061004805358256
10488.jpg: uiqm=0.39920352861530783, uciqe=0.5112077463642672
12191.jpg: uiqm=0.7625974030609042, uciqe=0.5079763626108611
12203.jpg: uiqm=0.4533596471432443, uciqe=0.6061373633348971
12228.jpg: uiqm=0.3538875666569958, uciqe=0.3963042464017794
12565.jpg: uiqm=0.645724460156924, uciqe=0.48884425020504196
12577.jpg: uiqm=0.5806486570630427, uciqe=0.5543073020465903
12625.jpg: uiqm=0.02847867079340713, uciqe=0.4379707663771217
12709.jpg: uiqm=-0.001747990372318875, uciqe=0.5942473420707609
12753.jpg: uiqm=-0.05758811114835741, uciqe=0.47487002442368037
12960.jpg: uiqm=0.2403588025208312, uciqe=0.49821581148182037
12972.jpg: uiqm=0.4195806629813761, uciqe=0.6412672958355066
13252.jpg: uiqm=0.14190572521873562, uciqe=0.575924521993773
13259.jpg: uiqm=0.8499060327583168, uciqe=0.5529920309346303
15603.jpg: uiqm=-0.1435483742451687, uciqe=0.4782129498186035
15735.jpg: uiqm=-0.1867190105119591, uciqe=0.43170735451548303
15738.jpg: uiqm=-0.1029863855494341, uciqe=0.5154178196183594
15740.jpg: uiqm=0.29389585659966644, uciqe=0.5353907543227236
15774.jpg: uiqm=0.6774452701217779, uciqe=0.5379917372032145
15775.jpg: uiqm=0.04298058571383981, uciqe=0.4248951578656984
2.jpg: uiqm=0.9026008733203835, uciqe=0.5718910330006592
2575.jpg: uiqm=0.6405237470135697, uciqe=0.6041358972043417
2583.jpg: uiqm=0.4074082479963679, uciqe=0.6149965420933409
2856.jpg: uiqm=0.33469377510871723, uciqe=0.5860918118113587
3027.jpg: uiqm=0.8877191140135091, uciqe=0.58965030447047
3051.jpg: uiqm=0.4346913300818029, uciqe=0.575055463999264
3087.jpg: uiqm=0.9224958334709186, uciqe=0.5994636005873726
3175.jpg: uiqm=-0.2235986982201325, uciqe=0.43035007220260013
3201.jpg: uiqm=0.6707220874110977, uciqe=0.5284511868830948
3279.jpg: uiqm=0.5639565745644581, uciqe=0.4839630526527068
34.jpg: uiqm=0.46703020858526645, uciqe=0.6604403391596123
3494.jpg: uiqm=0.2825229387746186, uciqe=0.578963075046132
3519.jpg: uiqm=0.3320928275269928, uciqe=0.609667934605181
358_img_.jpg: uiqm=0.5133529625868284, uciqe=0.5983179029035861
432.jpg: uiqm=-0.004161520232488086, uciqe=0.4312526146185992
5.jpg: uiqm=0.07770531658279661, uciqe=0.5867151373417366
52.jpg: uiqm=0.57153365347406, uciqe=0.6607948341422889
579.jpg: uiqm=0.34555995963983727, uciqe=0.5582920539720989
605.jpg: uiqm=0.5914195787899694, uciqe=0.6216753222594616
616.jpg: uiqm=0.646725299095426, uciqe=0.6329581225354701
627.jpg: uiqm=0.6455515508022271, uciqe=0.5889392028338813
6333.jpg: uiqm=0.15770859393045017, uciqe=0.5325085278397625
6340.jpg: uiqm=0.3913855339748322, uciqe=0.5512199771071731
643_img_.jpg: uiqm=0.6406567583686256, uciqe=0.6344486302943446
6527.jpg: uiqm=0.36970494761110745, uciqe=0.4577054025777376
7277.jpg: uiqm=0.9663944831284796, uciqe=0.5335379302298112
7291.jpg: uiqm=0.9436702221960318, uciqe=0.5708013353086032
770.jpg: uiqm=0.872157689748385, uciqe=0.5352492467603146
866.jpg: uiqm=0.6741518112204836, uciqe=0.48758220006444014
880.jpg: uiqm=0.7035560694183097, uciqe=0.5535212573825282
9553.jpg: uiqm=0.7110401227996144, uciqe=0.6037646919356727
9602.jpg: uiqm=0.5706018118796994, uciqe=0.5619352171750527
9607.jpg: uiqm=0.6643922433548299, uciqe=0.6037299369318574
9618.jpg: uiqm=0.5362285562869533, uciqe=0.5950717931673206

Average: uiqm=0.4437892463618374, uciqe=0.5487570624313187

