12433.jpg: NIQE=28.820690029700092  with dealing time: 87.6153552532196
149.jpg: NIQE=33.484106968118425  with dealing time: 93.5259063243866
161.jpg: NIQE=35.85067248519884  with dealing time: 86.48588633537292
264574_00031858.jpg: NIQE=35.63835761888891  with dealing time: 76.60344958305359
264734_00038535.jpg: NIQE=36.294349220339086  with dealing time: 72.27675437927246
265119_00013763.jpg: NIQE=41.29629717878048  with dealing time: 78.74192142486572
265130_00031309.jpg: NIQE=35.699398377382025  with dealing time: 78.72760128974915
265344_00029330.jpg: NIQE=39.12871669156156  with dealing time: 76.68503642082214
306_img_.jpg: NIQE=40.84269122992734  with dealing time: 87.03006505966187
332_img_.jpg: NIQE=44.87495126386277  with dealing time: 106.0744309425354
3330.jpg: NIQE=48.18134203771535  with dealing time: 97.57548880577087
36.jpg: NIQE=32.2078603604438  with dealing time: 101.01654028892517
387_img_.jpg: NIQE=29.694274449748907  with dealing time: 91.37242412567139
757_img_.jpg: NIQE=31.15886708193993  with dealing time: 93.36668634414673
819_img_.jpg: NIQE=31.324592322234864  with dealing time: 103.25697326660156
96.jpg: NIQE=36.973104435409795  with dealing time: 96.10268807411194
GI_1.jpg: NIQE=36.612706435698556  with dealing time: 83.92753648757935
GI_16.jpg: NIQE=41.474956184223515  with dealing time: 90.41011571884155
GI_2.jpg: NIQE=52.72992367902481  with dealing time: 90.64491605758667
GI_22.jpg: NIQE=36.08165395542969  with dealing time: 102.7124764919281
GI_29.jpg: NIQE=72.96105333304591  with dealing time: 83.85290789604187
GI_33.jpg: NIQE=32.88861212231773  with dealing time: 92.76901388168335
GI_35.jpg: NIQE=32.231165584325325  with dealing time: 96.35519623756409
GI_43.jpg: NIQE=35.02011759183015  with dealing time: 94.32165217399597
GI_7.jpg: NIQE=35.212683571707785  with dealing time: 87.14896082878113
GI_78.jpg: NIQE=28.959820325919697  with dealing time: 92.03312993049622
GI_8.jpg: NIQE=32.15472836254442  with dealing time: 82.49042320251465
GI_95.jpg: NIQE=29.673181517492623  with dealing time: 87.6833131313324
gmn_5017up.jpg: NIQE=28.308109793155367  with dealing time: 91.94016742706299
