12433.jpg: uiqm=0.6216871541953444, uciqe=0.5585851555726877
149.jpg: uiqm=0.10510332542777395, uciqe=0.5339965363924286
161.jpg: uiqm=0.5732265780418124, uciqe=0.5676201650099265
264574_00031858.jpg: uiqm=1.6172550102021295, uciqe=0.5803551540606653
264734_00038535.jpg: uiqm=0.6645318984363726, uciqe=0.5899957841992933
265119_00013763.jpg: uiqm=0.33462281187703624, uciqe=0.6166488090144217
265130_00031309.jpg: uiqm=0.6193156007031138, uciqe=0.538271425182647
265344_00029330.jpg: uiqm=0.6485748998968437, uciqe=0.5545756690146928
306_img_.jpg: uiqm=0.29355852619207523, uciqe=0.6051252912963925
332_img_.jpg: uiqm=0.3393038156319701, uciqe=0.603684992773927
3330.jpg: uiqm=0.3076080828012599, uciqe=0.6561225382961136
36.jpg: uiqm=0.5192622194048727, uciqe=0.5496357195959409
387_img_.jpg: uiqm=0.8626855506787965, uciqe=0.5630369994879364
757_img_.jpg: uiqm=0.7496288389161438, uciqe=0.6020021573257615
819_img_.jpg: uiqm=0.39219856182440394, uciqe=0.5793981549287129
96.jpg: uiqm=0.7565089363107557, uciqe=0.5714380721942943
GI_1.jpg: uiqm=0.92061492842893, uciqe=0.4529317400792383
GI_16.jpg: uiqm=0.4727991258988355, uciqe=0.569157835366697
GI_2.jpg: uiqm=1.077974173367664, uciqe=0.40868128727726616
GI_22.jpg: uiqm=0.42518324011468217, uciqe=0.5546230492049022
GI_29.jpg: uiqm=0.36505566248641363, uciqe=0.47178983960555176
GI_33.jpg: uiqm=0.8989839929906709, uciqe=0.6202176222403584
GI_35.jpg: uiqm=0.47357392818375793, uciqe=0.6982581066537277
GI_43.jpg: uiqm=0.1929236231166654, uciqe=0.6509327111424226
GI_7.jpg: uiqm=1.0189829368673908, uciqe=0.4826867026802344
GI_78.jpg: uiqm=0.7113660422943261, uciqe=0.6076843565995119
GI_8.jpg: uiqm=1.1971257338610952, uciqe=0.48479518433731217
GI_95.jpg: uiqm=0.42065499606118717, uciqe=0.5524959033980521
gmn_5017up.jpg: uiqm=0.833113301955767, uciqe=0.628572224615644
gmn_5029up.jpg: uiqm=0.6797476283145094, uciqe=0.6496007899825936
gmn_5148up.jpg: uiqm=0.3934483236172279, uciqe=0.6320810939617709
gmn_5183up.jpg: uiqm=0.7219573088928725, uciqe=0.5712660837793452
gmn_5185up.jpg: uiqm=0.6735860029896977, uciqe=0.6366113144524832
gmn_5228up.jpg: uiqm=0.7226288849735522, uciqe=0.5747208596297949
gmn_7856up.jpg: uiqm=0.9792579818353456, uciqe=0.6325533259644947
gmn_7919up.jpg: uiqm=0.658263292712566, uciqe=0.5701188912305848
im_f1582_.jpg: uiqm=1.1464698120197885, uciqe=0.5908705824805106
im_f2253_.jpg: uiqm=0.6854513317045119, uciqe=0.5366730531130166
n01496331_1010.jpg: uiqm=0.7558798657474171, uciqe=0.5397843419153114
n01496331_2044.jpg: uiqm=0.8459160069271744, uciqe=0.5871018740230175
n01914609_1112.jpg: uiqm=0.3923028464558336, uciqe=0.5792871096794217
n01914609_11380.jpg: uiqm=0.78440940514176, uciqe=0.5412708093638936
n01914609_13222.jpg: uiqm=0.797580772746626, uciqe=0.5624393587544139
n01914609_13909.jpg: uiqm=1.3571225564565326, uciqe=0.5366481039647975
n01914609_1437.jpg: uiqm=0.2991374193210311, uciqe=0.6065048968634998
n01914609_1980.jpg: uiqm=1.0179920660609663, uciqe=0.5938099171005644
n01914609_2054.jpg: uiqm=0.6658930359051238, uciqe=0.5749363432061418
n01914609_7919.jpg: uiqm=0.525920823990272, uciqe=0.5823402277267227
n02607072_2382.jpg: uiqm=0.41438193341615104, uciqe=0.5800171523461322
n02607072_5845.jpg: uiqm=0.4765843657084117, uciqe=0.6555339126388072
n02607072_931.jpg: uiqm=0.6684945716515609, uciqe=0.5896216042287259
NF_1.jpg: uiqm=0.40994326629013755, uciqe=0.5776741364766245
NF_10.jpg: uiqm=0.32179404570379466, uciqe=0.5600140274395256
NF_100.jpg: uiqm=0.19992517971644647, uciqe=0.5613451880889809
NF_110.jpg: uiqm=0.03424375406453661, uciqe=0.5800256837912148
NF_116.jpg: uiqm=0.5516636072292782, uciqe=0.5113323053496257
NF_123.jpg: uiqm=0.010631377202083903, uciqe=0.532706141100322
NF_124.jpg: uiqm=0.667599371090621, uciqe=0.5597135210619142
NF_13.jpg: uiqm=-0.29901872527220696, uciqe=0.3850141936548076
NF_14.jpg: uiqm=-0.3096100323915661, uciqe=0.3501879905422394
NF_141.jpg: uiqm=0.35134203322258867, uciqe=0.5534783531438998
NF_147.jpg: uiqm=0.5600833794345221, uciqe=0.5468854851276336
NF_148.jpg: uiqm=0.5881194646124595, uciqe=0.56789301779497
NF_166.jpg: uiqm=0.791931502483231, uciqe=0.5646388454060098
NF_171.jpg: uiqm=0.5738430147337827, uciqe=0.5641066943963147
NF_172.jpg: uiqm=0.24227884849501097, uciqe=0.493284928606563
NF_174.jpg: uiqm=0.6280383462747874, uciqe=0.5367759796641017
NF_177.jpg: uiqm=0.47400240192722315, uciqe=0.5368492623220663
NF_194.jpg: uiqm=0.09723843598360177, uciqe=0.5787504968606668
NF_195.jpg: uiqm=0.3228227107648145, uciqe=0.5157830040340163
NF_2.jpg: uiqm=0.28505805247354965, uciqe=0.6347068450602149
