1.jpg: uiqm=0.3577161077635753, uciqe=0.5537210270864524
10.jpg: uiqm=0.44616494694121306, uciqe=0.563199658064541
100.jpg: uiqm=0.7405619859424022, uciqe=0.5700707923036376
101.jpg: uiqm=0.38286087125642393, uciqe=0.5614135951180755
102.jpg: uiqm=0.677215295218384, uciqe=0.5764142186046136
103.jpg: uiqm=0.7612973011087574, uciqe=0.5725114555763542
104.jpg: uiqm=0.7881908939850251, uciqe=0.5739250222256641
105.jpg: uiqm=0.7113054934122743, uciqe=0.5807037075931292
106.jpg: uiqm=0.7516371055981192, uciqe=0.5740986550841931
107.jpg: uiqm=0.859290098157916, uciqe=0.5645310002659613
108.jpg: uiqm=0.7017482985860302, uciqe=0.5608119459504779
109.jpg: uiqm=0.7219530198766015, uciqe=0.5595213603098523
11.jpg: uiqm=0.4459121569127573, uciqe=0.5636203100972113
110.jpg: uiqm=0.5916596349072503, uciqe=0.5604230540868474
111.jpg: uiqm=0.5146400766540686, uciqe=0.5737789073206634
112.jpg: uiqm=0.7391238397951785, uciqe=0.5590040964577396
113.jpg: uiqm=0.7372498819250211, uciqe=0.5597432165600538
114.jpg: uiqm=0.5493491076982275, uciqe=0.5680731820421935
115.jpg: uiqm=0.6022609422097718, uciqe=0.5709687168678753
116.jpg: uiqm=0.8535386366464776, uciqe=0.5270682324355359
117.jpg: uiqm=0.7820018449277513, uciqe=0.52833261117317
118.jpg: uiqm=0.4386945978418108, uciqe=0.5136608220393032
119.jpg: uiqm=0.5742017348374606, uciqe=0.5532339322532258
12.jpg: uiqm=0.44227090566417604, uciqe=0.5638538613939298
120.jpg: uiqm=0.6328730433832083, uciqe=0.5593689860280905
121.jpg: uiqm=0.6767103260463082, uciqe=0.5565649734904108
122.jpg: uiqm=0.7372688260950855, uciqe=0.5659116326380819
123.jpg: uiqm=0.558888550796333, uciqe=0.5550992053254709
124.jpg: uiqm=0.5675788245986086, uciqe=0.5610665527689893
125.jpg: uiqm=0.6337201266206356, uciqe=0.5622576479592792
126.jpg: uiqm=0.5886416033191602, uciqe=0.5591176493399641
127.jpg: uiqm=0.7612946032796135, uciqe=0.5672834006156899
128.jpg: uiqm=0.6153374578632151, uciqe=0.5740430815162213
129.jpg: uiqm=0.6517251476600205, uciqe=0.5688422157097641
13.jpg: uiqm=0.4249155470153171, uciqe=0.5619587495061863
130.jpg: uiqm=0.6606015761398314, uciqe=0.5549882477425042
131.jpg: uiqm=0.6674477417162772, uciqe=0.5610164501858567
132.jpg: uiqm=0.6831355008381326, uciqe=0.5573585656462637
133.jpg: uiqm=0.14486590441798658, uciqe=0.5542795476213481
134.jpg: uiqm=0.7032987831487671, uciqe=0.5510081723314819
135.jpg: uiqm=0.6781792703432377, uciqe=0.5625438704875456
136.jpg: uiqm=0.7739773438256216, uciqe=0.5687620892383952
137.jpg: uiqm=0.7417624995691949, uciqe=0.5651789615275298
138.jpg: uiqm=0.5476499574197091, uciqe=0.5610974808722345
139.jpg: uiqm=0.023006744958013636, uciqe=0.5568071668797654
14.jpg: uiqm=0.2961564734445319, uciqe=0.5576874025069215
140.jpg: uiqm=0.5387162079344039, uciqe=0.5661652012349083
141.jpg: uiqm=0.6628704384587052, uciqe=0.5328832582854219
142.jpg: uiqm=0.3686287219870806, uciqe=0.5751338304354962
143.jpg: uiqm=0.5765849799434233, uciqe=0.5563125975500098
144.jpg: uiqm=0.6281582767918164, uciqe=0.5682715487108266
145.jpg: uiqm=0.6334857391759585, uciqe=0.5718264754242215
146.jpg: uiqm=0.6025952741308978, uciqe=0.5751593252048561
147.jpg: uiqm=0.5639519903683905, uciqe=0.5690745388188029
148.jpg: uiqm=0.6549475275301141, uciqe=0.5281263757254668
149.jpg: uiqm=0.10614575413406135, uciqe=0.534054098138657
15.jpg: uiqm=0.23509338079598968, uciqe=0.5509669400679623
150.jpg: uiqm=0.11206026825144982, uciqe=0.5436250606563808
151.jpg: uiqm=0.633981385705992, uciqe=0.5311227631322382
152.jpg: uiqm=0.11045239410160945, uciqe=0.5410069141068936
153.jpg: uiqm=0.4298120395510051, uciqe=0.5512931067603128
154.jpg: uiqm=0.6292300113103593, uciqe=0.5291252497706759
155.jpg: uiqm=0.27950835657165457, uciqe=0.5127309076896412
156.jpg: uiqm=0.8366669077536613, uciqe=0.5698212605475188
157.jpg: uiqm=0.21635521077957526, uciqe=0.5208249993193208
158.jpg: uiqm=0.19408919904028665, uciqe=0.5213075216142561
159.jpg: uiqm=0.19851033751590086, uciqe=0.5211023889124934
16.jpg: uiqm=0.4715466685614419, uciqe=0.5395720444571344
160.jpg: uiqm=0.1913142577193817, uciqe=0.528287726140866
161.jpg: uiqm=0.5732265780418124, uciqe=0.5676201650099265
162.jpg: uiqm=0.5685763067726834, uciqe=0.5691443016083506
163.jpg: uiqm=0.8095883425509052, uciqe=0.5489890959256712
164.jpg: uiqm=0.5823736237376422, uciqe=0.5624389486100922
165.jpg: uiqm=0.5885132844912901, uciqe=0.5611776515862932
166.jpg: uiqm=0.48531671690699435, uciqe=0.5606350928869125
167.jpg: uiqm=0.5924218405005022, uciqe=0.5609839122103235
168.jpg: uiqm=0.5950648984141076, uciqe=0.5614716421547017
169.jpg: uiqm=0.5860815368404573, uciqe=0.5594709503246951
17.jpg: uiqm=0.654924879707788, uciqe=0.5302001001508214
170.jpg: uiqm=0.5617387791229176, uciqe=0.5650902834531224
171.jpg: uiqm=0.5621887157308538, uciqe=0.565185729468811
172.jpg: uiqm=0.4385645577525431, uciqe=0.5361185617692613
173.jpg: uiqm=0.5644593341100009, uciqe=0.5653310796964809
174.jpg: uiqm=0.5505823007930358, uciqe=0.5660143881586839
175.jpg: uiqm=0.546782392484289, uciqe=0.5660513868878734
176.jpg: uiqm=0.7702619123569057, uciqe=0.5509151366869187
177.jpg: uiqm=0.539841619393852, uciqe=0.5664007911510532
178.jpg: uiqm=0.45471903807867314, uciqe=0.5627089213373185
179.jpg: uiqm=0.8004115656048318, uciqe=0.5497662930731987
18.jpg: uiqm=0.6337057719384798, uciqe=0.5512109705589514
180.jpg: uiqm=0.4560697694368322, uciqe=0.5646096503228644
181.jpg: uiqm=0.5403853082477625, uciqe=0.5734473011991196
182.jpg: uiqm=0.5740819435545473, uciqe=0.5713437149798892
183.jpg: uiqm=0.37522936875911805, uciqe=0.6619271678826438
19.jpg: uiqm=0.6104427659132217, uciqe=0.5648211253462057
2.jpg: uiqm=0.837054905267427, uciqe=0.5518607099452781
20.jpg: uiqm=0.6029921833995013, uciqe=0.5512521354876093
21.jpg: uiqm=0.5118344278628887, uciqe=0.5719531258729702
22.jpg: uiqm=0.8137445008391199, uciqe=0.5496413534086815
23.jpg: uiqm=0.8216637197581129, uciqe=0.5457845334336121
24.jpg: uiqm=0.7477251069820198, uciqe=0.5556335059246857
25.jpg: uiqm=0.47788042994242663, uciqe=0.54065124275183
26.jpg: uiqm=0.7153273799572522, uciqe=0.5746400731169068
27.jpg: uiqm=0.6547572825688763, uciqe=0.5647854684850996
28.jpg: uiqm=0.5925522541943, uciqe=0.5450984838977599
29.jpg: uiqm=0.451505289414259, uciqe=0.5501554908755034
3.jpg: uiqm=0.25979018310531743, uciqe=0.48895361640024537
30.jpg: uiqm=0.6628858953714549, uciqe=0.5833344530102756
