1.jpg: uiqm=0.3226315183953633, uciqe=0.5794343062218407
10.jpg: uiqm=0.9105446226881962, uciqe=0.5489849598463818
11.jpg: uiqm=0.4807912792684319, uciqe=0.4987711034690558
12.jpg: uiqm=1.0120991963862762, uciqe=0.5925459240980412
13.jpg: uiqm=1.2677713522083705, uciqe=0.6018852476096335
14.jpg: uiqm=0.5670016423907233, uciqe=0.5792646715625243
15.jpg: uiqm=0.9439569646213141, uciqe=0.6192916840590621
16.jpg: uiqm=0.9852531379391214, uciqe=0.5594625226938312
17.jpg: uiqm=0.7423480429874417, uciqe=0.6406127286478974
18.jpg: uiqm=0.8969805416562555, uciqe=0.6841034023341372
19.jpg: uiqm=0.797423264268014, uciqe=0.6638258480015214
2.jpg: uiqm=0.45024960832800076, uciqe=0.5824221005689932
20.jpg: uiqm=0.5894145813872451, uciqe=0.630342814814542
21.jpg: uiqm=0.9364648372984097, uciqe=0.6937920140338446
22.jpg: uiqm=0.6577431513662364, uciqe=0.5612944447581147
23.jpg: uiqm=0.6546755450729717, uciqe=0.6098659983297234
24.jpg: uiqm=0.923382134848154, uciqe=0.6614893190357047
25.jpg: uiqm=0.8281416849171461, uciqe=0.6618817102628486
26.jpg: uiqm=0.5001166444947632, uciqe=0.5967894176512549
27.jpg: uiqm=0.8655358574284217, uciqe=0.705396145819058
28.jpg: uiqm=0.8995896815313641, uciqe=0.6136251646718031
29.jpg: uiqm=0.9908271053057782, uciqe=0.5586658888445775
3.jpg: uiqm=0.7515644446629338, uciqe=0.5976637956143196
30.jpg: uiqm=0.22064276321886578, uciqe=0.588781609027692
31.jpg: uiqm=0.7731850024516014, uciqe=0.6085493398127308
32.jpg: uiqm=0.7002176806483978, uciqe=0.5963365285681105
33.jpg: uiqm=1.2151632498980942, uciqe=0.6023436164074689
34.jpg: uiqm=1.2238909748255369, uciqe=0.603900469267596
35.jpg: uiqm=1.0956641717960842, uciqe=0.6021161343398205
36.jpg: uiqm=1.1204653742321447, uciqe=0.6029208752195017
37.jpg: uiqm=0.7884864497209731, uciqe=0.6338817463243112
38.jpg: uiqm=0.9176836442097042, uciqe=0.6096474011473889
39.jpg: uiqm=0.647485329131992, uciqe=0.5762363061554111
4.jpg: uiqm=0.276392251009147, uciqe=0.5266560268798814
40.jpg: uiqm=1.2310646906734797, uciqe=0.5498816295376633
41.jpg: uiqm=0.9069881779734535, uciqe=0.5758832662177364
42.jpg: uiqm=0.9174208729739426, uciqe=0.5876000113096821
43.jpg: uiqm=0.9739656422981737, uciqe=0.6333486522825749
44.jpg: uiqm=1.023716651234289, uciqe=0.6329179721897217
45.jpg: uiqm=1.0235871741598863, uciqe=0.6300666687199121
5.jpg: uiqm=0.5996654323514717, uciqe=0.5630713762948565
6.jpg: uiqm=0.6581318012410399, uciqe=0.5755949129718941
7.jpg: uiqm=0.7579955070042499, uciqe=0.5320069886337728
8.jpg: uiqm=0.4927269912241825, uciqe=0.6065553702180582
9.jpg: uiqm=0.8251464180353931, uciqe=0.5812691081612249

Average: uiqm=0.8080931797725118, uciqe=0.601355049391905

