12433.png: NIQE=32.619575015559874  with dealing time: 69.77671217918396
149.png: NIQE=36.95366531947869  with dealing time: 76.51407432556152
161.png: NIQE=31.697476724019186  with dealing time: 76.49193239212036
264574_00031858.png: NIQE=35.469714143430615  with dealing time: 69.59222221374512
264734_00038535.png: NIQE=35.933759705465256  with dealing time: 65.45458459854126
265119_00013763.png: NIQE=39.700478708545454  with dealing time: 70.55909395217896
265130_00031309.png: NIQE=33.662036046859  with dealing time: 68.00186729431152
265344_00029330.png: NIQE=38.4047066088801  with dealing time: 68.18621397018433
306_img_.png: NIQE=38.344553882042824  with dealing time: 67.31320786476135
332_img_.png: NIQE=41.88492548322143  with dealing time: 73.21874809265137
3330.png: NIQE=42.430136931897806  with dealing time: 76.64530348777771
36.png: NIQE=32.58850340884728  with dealing time: 70.74721145629883
387_img_.png: NIQE=32.160994935969505  with dealing time: 68.26380944252014
757_img_.png: NIQE=34.124224358169954  with dealing time: 75.30380368232727
819_img_.png: NIQE=36.88871784222844  with dealing time: 72.30965662002563
96.png: NIQE=36.2071493253141  with dealing time: 74.69295406341553
GI_1.png: NIQE=39.40149955242044  with dealing time: 64.51230692863464
GI_16.png: NIQE=42.64606707615042  with dealing time: 73.87816548347473
GI_2.png: NIQE=49.16513195613068  with dealing time: 66.87164402008057
GI_22.png: NIQE=38.50273790799378  with dealing time: 73.57681822776794
GI_29.png: NIQE=74.12122361446718  with dealing time: 71.08879661560059
GI_33.png: NIQE=36.61257573319448  with dealing time: 70.82900357246399
GI_35.png: NIQE=34.61070280879405  with dealing time: 80.32879710197449
GI_43.png: NIQE=35.12490319906409  with dealing time: 101.63695430755615
GI_7.png: NIQE=34.41936504047492  with dealing time: 78.12820291519165
GI_78.png: NIQE=32.69637488897169  with dealing time: 78.99700975418091
GI_8.png: NIQE=33.923501208241596  with dealing time: 76.04863953590393
GI_95.png: NIQE=32.24851804543429  with dealing time: 78.7190489768982
gmn_5017up.png: NIQE=33.727864500949366  with dealing time: 81.9145302772522
gmn_5029up.png: NIQE=37.92205336337536  with dealing time: 79.1007616519928
gmn_5148up.png: NIQE=36.6154890406716  with dealing time: 82.3832654953003
gmn_5183up.png: NIQE=32.98953985537791  with dealing time: 78.72403955459595
gmn_5185up.png: NIQE=33.93667244927509  with dealing time: 81.75369143486023
gmn_5228up.png: NIQE=31.452543903541486  with dealing time: 79.10267090797424
gmn_7856up.png: NIQE=33.55566969723913  with dealing time: 84.8653736114502
gmn_7919up.png: NIQE=38.727662465189766  with dealing time: 84.54109311103821
im_f1582_.png: NIQE=35.15849158034981  with dealing time: 80.66314601898193
im_f2253_.png: NIQE=51.11952626774256  with dealing time: 68.53951382637024
n01496331_1010.png: NIQE=46.37310921386863  with dealing time: 70.26016426086426
n01496331_2044.png: NIQE=53.44775301993298  with dealing time: 66.16910767555237
n01914609_1112.png: NIQE=49.466767413954194  with dealing time: 69.51964902877808
n01914609_11380.png: NIQE=32.9692432020205  with dealing time: 75.25626182556152
n01914609_13222.png: NIQE=34.538019972809906  with dealing time: 72.34085392951965
n01914609_13909.png: NIQE=35.32438967562146  with dealing time: 71.15837979316711
n01914609_1437.png: NIQE=56.711993310568126  with dealing time: 68.1564314365387
n01914609_1980.png: NIQE=49.29192157236478  with dealing time: 72.082115650177
n01914609_2054.png: NIQE=46.775213680138776  with dealing time: 65.64672613143921
n01914609_7919.png: NIQE=48.3607610863227  with dealing time: 66.30596375465393
n02607072_2382.png: NIQE=52.42704040044285  with dealing time: 70.57822179794312
n02607072_5845.png: NIQE=37.441726163030985  with dealing time: 68.52937626838684
n02607072_931.png: NIQE=48.47012014496773  with dealing time: 66.78941917419434
NF_1.png: NIQE=41.03559553886695  with dealing time: 69.31416893005371
NF_10.png: NIQE=62.881840618499176  with dealing time: 72.51371026039124
NF_100.png: NIQE=35.35189764327898  with dealing time: 64.04445505142212
NF_110.png: NIQE=39.23183011691777  with dealing time: 71.05075812339783
NF_116.png: NIQE=46.14934932607266  with dealing time: 65.8339478969574
NF_123.png: NIQE=37.11003075043081  with dealing time: 69.26769518852234
NF_124.png: NIQE=32.485851983475236  with dealing time: 68.19970154762268
NF_13.png: NIQE=62.71787434136382  with dealing time: 57.842321157455444
NF_14.png: NIQE=56.52415050256678  with dealing time: 62.27009987831116
NF_141.png: NIQE=37.876003530916094  with dealing time: 64.14048194885254
NF_147.png: NIQE=38.328530649147204  with dealing time: 61.212085485458374
NF_148.png: NIQE=39.052872469935274  with dealing time: 58.7346978187561
NF_166.png: NIQE=43.06654881082842  with dealing time: 57.10254740715027
NF_171.png: NIQE=35.868051435487004  with dealing time: 58.30146145820618
NF_172.png: NIQE=35.83133213488983  with dealing time: 55.42823839187622
NF_174.png: NIQE=34.628436262129874  with dealing time: 57.10756230354309
NF_177.png: NIQE=38.65869195918  with dealing time: 62.64161038398743
NF_194.png: NIQE=81.58856896982918  with dealing time: 63.73901677131653
NF_195.png: NIQE=41.12028992136736  with dealing time: 59.85343861579895
NF_2.png: NIQE=49.50868118016696  with dealing time: 62.009692907333374
NF_201.png: NIQE=38.535989854085045  with dealing time: 55.36019468307495
NF_209.png: NIQE=32.89344856960694  with dealing time: 55.99483275413513
NF_213.png: NIQE=37.12172470022699  with dealing time: 55.16580820083618
NF_215.png: NIQE=40.67988188909983  with dealing time: 54.38276243209839
NF_218.png: NIQE=43.69683049191537  with dealing time: 55.87275004386902
NF_231.png: NIQE=41.068847888486374  with dealing time: 60.5211296081543
NF_241.png: NIQE=32.17200405186226  with dealing time: 58.27072477340698
NF_242.png: NIQE=31.929721644491217  with dealing time: 58.12259030342102
NF_252.png: NIQE=36.00078027315926  with dealing time: 60.38768696784973
NF_26.png: NIQE=43.95870504524374  with dealing time: 54.418055057525635
NF_280.png: NIQE=46.55421901841755  with dealing time: 61.09203004837036
NF_285.png: NIQE=35.61012652606622  with dealing time: 57.558443784713745
NF_287.png: NIQE=42.051484302542974  with dealing time: 60.202836751937866
NF_313.png: NIQE=41.37405887346444  with dealing time: 58.791502475738525
NF_32.png: NIQE=44.1755236935576  with dealing time: 55.710731744766235
NF_363.png: NIQE=40.082929898271836  with dealing time: 54.36264896392822
NF_364.png: NIQE=37.40901209349053  with dealing time: 54.33566617965698
NF_387.png: NIQE=38.6804575968742  with dealing time: 56.46338963508606
NF_410.png: NIQE=40.40448939727765  with dealing time: 56.8111355304718
NF_417.png: NIQE=45.35818653962536  with dealing time: 57.87611436843872
NF_466.png: NIQE=43.840623958389024  with dealing time: 58.204145669937134
NF_470.png: NIQE=37.827459451837456  with dealing time: 58.38351368904114
NF_507.png: NIQE=46.177129205011624  with dealing time: 59.43319320678711
NF_512.png: NIQE=38.25361868851364  with dealing time: 59.66199445724487
NF_518.png: NIQE=34.65442468282111  with dealing time: 59.24757957458496
NF_52.png: NIQE=46.45338496572982  with dealing time: 56.231377363204956
NF_56.png: NIQE=37.074318295601934  with dealing time: 55.194374084472656
NF_57.png: NIQE=35.9732726884862  with dealing time: 56.02708172798157
NF_60.png: NIQE=39.056103429790774  with dealing time: 58.01278352737427
NF_69.png: NIQE=37.2708539390253  with dealing time: 60.67661714553833
NF_7.png: NIQE=45.12681795279733  with dealing time: 57.58414435386658
NF_70.png: NIQE=39.93181014550556  with dealing time: 59.16393232345581
NF_75.png: NIQE=35.56495958182744  with dealing time: 55.74170708656311
NF_78.png: NIQE=39.19291386049856  with dealing time: 58.04798626899719
NF_8.png: NIQE=43.21139766927449  with dealing time: 60.745848417282104
NF_81.png: NIQE=35.68332312208912  with dealing time: 61.08917760848999
NF_85.png: NIQE=37.321361342820865  with dealing time: 58.790061950683594
NF_94.png: NIQE=33.97411586313248  with dealing time: 56.38710260391235
NF_95.png: NIQE=35.58400111196501  with dealing time: 56.72439670562744

110 Image Average: NIQE=40.36630483544777, TimePerImage=66.08839348446239, SumTime = 7269.723283290863s

