104_img_.png: NIQE=27.11514685910678  with dealing time: 53.31721639633179
10_img_.png: NIQE=22.681318371925688  with dealing time: 61.36133027076721
111_img_.png: NIQE=40.17076499054072  with dealing time: 78.68822860717773
112_img_.png: NIQE=25.756525765700914  with dealing time: 82.1359760761261
11_img_.png: NIQE=18.52656572500385  with dealing time: 74.18094682693481
13_img_.png: NIQE=20.568389270114576  with dealing time: 81.6052975654602
14_img_.png: NIQE=39.34834583734849  with dealing time: 89.83917093276978
15003.png: NIQE=23.52483747901937  with dealing time: 75.06508183479309
150_img_.png: NIQE=20.780890554580164  with dealing time: 71.53538680076599
15544.png: NIQE=24.37613561772978  with dealing time: 77.77130484580994
15_img_.png: NIQE=21.87047251680974  with dealing time: 76.79212188720703
169_img_.png: NIQE=24.866963137236187  with dealing time: 68.562424659729
16_img_.png: NIQE=21.397093900355845  with dealing time: 76.56760358810425
17_img_.png: NIQE=22.954912435312078  with dealing time: 68.87185287475586
18_img_.png: NIQE=20.085976504127185  with dealing time: 72.0186173915863
19_img_.png: NIQE=16.827548206233626  with dealing time: 74.11235737800598
20.png: NIQE=20.22051635691248  with dealing time: 67.84688186645508
22_img_.png: NIQE=28.440270342283345  with dealing time: 69.08579516410828
23_img_.png: NIQE=20.967948701625502  with dealing time: 70.1914496421814
24_img_.png: NIQE=38.738041268421405  with dealing time: 71.16581082344055
282_img_.png: NIQE=40.309153932914946  with dealing time: 68.75672483444214
284_img_.png: NIQE=38.94030565657841  with dealing time: 66.77437448501587
288_img_.png: NIQE=40.64866486156265  with dealing time: 66.21930646896362
290_img_.png: NIQE=40.16216694018233  with dealing time: 64.81697034835815
292_img_.png: NIQE=41.82859504097513  with dealing time: 70.12623476982117
293_img_.png: NIQE=38.028533180184326  with dealing time: 63.75227761268616
294_img_.png: NIQE=35.09295917511593  with dealing time: 71.44387030601501
295_img_.png: NIQE=39.99902564846828  with dealing time: 68.76110291481018
299_img_.png: NIQE=47.01136082104648  with dealing time: 74.01314997673035
2_img_.png: NIQE=18.4377458437418  with dealing time: 69.24563789367676
