100001.png: NIQE=43.0926073087046  with dealing time: 69.78251934051514
10091.png: NIQE=22.618894204150788  with dealing time: 58.83078122138977
10103.png: NIQE=27.22554860548815  with dealing time: 61.18246054649353
10167.png: NIQE=23.694969583805253  with dealing time: 56.657907247543335
102.png: NIQE=32.18035714613841  with dealing time: 60.954766035079956
10226.png: NIQE=27.978063264248394  with dealing time: 62.34442925453186
10475.png: NIQE=41.39634016746513  with dealing time: 56.430442810058594
10488.png: NIQE=34.88430336739319  with dealing time: 55.158828258514404
12191.png: NIQE=25.46258619029883  with dealing time: 55.32558727264404
12203.png: NIQE=23.898012961517484  with dealing time: 56.2937753200531
12228.png: NIQE=38.13159339108717  with dealing time: 50.344714403152466
12565.png: NIQE=23.511719326390192  with dealing time: 55.061864376068115
12577.png: NIQE=26.508119245313257  with dealing time: 64.84787178039551
12625.png: NIQE=33.12463062363896  with dealing time: 65.75963068008423
12709.png: NIQE=24.573118090976703  with dealing time: 54.83114671707153
12753.png: NIQE=30.090228305075804  with dealing time: 57.19073510169983
12960.png: NIQE=47.31226482224913  with dealing time: 62.89184379577637
12972.png: NIQE=37.5443149773389  with dealing time: 71.43203496932983
13252.png: NIQE=35.34876309874962  with dealing time: 63.60616874694824
13259.png: NIQE=27.113204130914472  with dealing time: 55.863285541534424
15603.png: NIQE=23.508975888517373  with dealing time: 60.93608498573303
15735.png: NIQE=27.560215677046692  with dealing time: 55.1955189704895
15738.png: NIQE=26.207153642758403  with dealing time: 60.10038661956787
15740.png: NIQE=46.49782623364144  with dealing time: 57.80919909477234
15774.png: NIQE=42.72569227995683  with dealing time: 60.29270792007446
15775.png: NIQE=44.816560376154214  with dealing time: 84.7038938999176
2.png: NIQE=23.054031435404976  with dealing time: 79.26090049743652
2575.png: NIQE=26.42440663233403  with dealing time: 72.56343603134155
2583.png: NIQE=30.023816382136637  with dealing time: 62.94621157646179
2856.png: NIQE=22.570818819116962  with dealing time: 68.21271777153015
3027.png: NIQE=19.731785147506077  with dealing time: 67.84592127799988
3051.png: NIQE=18.918896727309914  with dealing time: 71.4663097858429
3087.png: NIQE=20.685312889712595  with dealing time: 67.61407709121704
3175.png: NIQE=42.5464567217864  with dealing time: 75.46410536766052
3201.png: NIQE=25.15113611243563  with dealing time: 92.22098183631897
3279.png: NIQE=26.538021409552247  with dealing time: 66.0935685634613
34.png: NIQE=24.601871028166137  with dealing time: 88.59090542793274
3494.png: NIQE=28.74662203010862  with dealing time: 88.42766332626343
3519.png: NIQE=24.7572199609132  with dealing time: 93.3787293434143
358_img_.png: NIQE=43.907026713173146  with dealing time: 72.74772381782532
432.png: NIQE=51.65969219243612  with dealing time: 74.87099814414978
5.png: NIQE=31.05963901886255  with dealing time: 83.7370810508728
52.png: NIQE=24.022667321143675  with dealing time: 92.22945284843445
579.png: NIQE=28.103538221185516  with dealing time: 75.50144600868225
605.png: NIQE=24.462409559714583  with dealing time: 79.83819150924683
616.png: NIQE=19.841557210192246  with dealing time: 63.671486139297485
627.png: NIQE=22.347625669795377  with dealing time: 74.02785873413086
6333.png: NIQE=60.35381243508526  with dealing time: 55.939701080322266
6340.png: NIQE=45.49241350624421  with dealing time: 54.503724575042725
643_img_.png: NIQE=18.097541336124316  with dealing time: 55.61225485801697
6527.png: NIQE=36.3149232619422  with dealing time: 50.55884504318237
7277.png: NIQE=21.706910890209322  with dealing time: 53.60056400299072
7291.png: NIQE=28.841188519499305  with dealing time: 49.588787317276
770.png: NIQE=19.904815726246415  with dealing time: 50.77904653549194
866.png: NIQE=29.857969965245026  with dealing time: 58.169819593429565
880.png: NIQE=30.646930658550414  with dealing time: 53.623377561569214
9553.png: NIQE=31.175557096681533  with dealing time: 55.6715247631073
9602.png: NIQE=25.561153929464407  with dealing time: 51.67304563522339
9607.png: NIQE=23.41504993424352  with dealing time: 49.692147970199585
9618.png: NIQE=24.200250279920507  with dealing time: 48.63325834274292

60 Image Average: NIQE=30.195485527524387, TimePerImage=64.54307413895926, SumTime = 3872.584448337555s

