12433.png: NIQE=23.372731405863682  with dealing time: 67.82754254341125
149.png: NIQE=26.68771503176465  with dealing time: 67.71179795265198
161.png: NIQE=30.63812552177492  with dealing time: 77.41188788414001
264574_00031858.png: NIQE=35.45705735174612  with dealing time: 76.30081605911255
264734_00038535.png: NIQE=35.93376408213804  with dealing time: 70.08815670013428
265119_00013763.png: NIQE=39.669507219624  with dealing time: 70.3156111240387
265130_00031309.png: NIQE=33.675765209321135  with dealing time: 85.03599739074707
265344_00029330.png: NIQE=38.41128254052546  with dealing time: 68.74734163284302
306_img_.png: NIQE=35.41120449316775  with dealing time: 73.64793491363525
332_img_.png: NIQE=36.26529909177673  with dealing time: 81.17730689048767
3330.png: NIQE=32.01725335005414  with dealing time: 78.2228639125824
36.png: NIQE=20.452973874184643  with dealing time: 77.01212501525879
387_img_.png: NIQE=23.744912817797573  with dealing time: 73.359858751297
757_img_.png: NIQE=17.813981602186345  with dealing time: 75.68429231643677
819_img_.png: NIQE=20.08428046303576  with dealing time: 81.53335356712341
96.png: NIQE=27.621485077949014  with dealing time: 80.51850819587708
GI_1.png: NIQE=23.493108480381466  with dealing time: 70.23401832580566
GI_16.png: NIQE=36.87758058679224  with dealing time: 76.15150570869446
GI_2.png: NIQE=28.1825632991571  with dealing time: 68.30883622169495
GI_22.png: NIQE=28.168496217212677  with dealing time: 77.89704537391663
GI_29.png: NIQE=63.28185704806982  with dealing time: 70.86540818214417
GI_33.png: NIQE=22.63765354621764  with dealing time: 75.27098798751831
GI_35.png: NIQE=23.534366030499044  with dealing time: 77.48352146148682
GI_43.png: NIQE=23.39204267295236  with dealing time: 70.31931161880493
GI_7.png: NIQE=16.81437266456629  with dealing time: 69.03986644744873
GI_78.png: NIQE=19.023149823717443  with dealing time: 73.92019009590149
GI_8.png: NIQE=16.66865861428779  with dealing time: 62.629414796829224
GI_95.png: NIQE=19.98243577239093  with dealing time: 68.40622425079346
gmn_5017up.png: NIQE=20.786009361872406  with dealing time: 68.62411284446716
gmn_5029up.png: NIQE=24.79705600660807  with dealing time: 69.1747317314148
gmn_5148up.png: NIQE=19.988011058664462  with dealing time: 72.15871667861938
gmn_5183up.png: NIQE=16.29065555444096  with dealing time: 72.71037578582764
gmn_5185up.png: NIQE=20.193435165157016  with dealing time: 75.99410104751587
