12433.png: uiqm=0.4609500424433243, uciqe=0.5348288092216118
149.png: uiqm=0.549706181648433, uciqe=0.48372751296189376
161.png: uiqm=0.6075096161274351, uciqe=0.5416250618952899
264574_00031858.png: uiqm=1.437791713869353, uciqe=0.5339349060104113
264734_00038535.png: uiqm=0.6626696823203754, uciqe=0.554306764902704
265119_00013763.png: uiqm=0.21984633720076807, uciqe=0.5614193791541504
265130_00031309.png: uiqm=0.2826018437859361, uciqe=0.512991154172272
265344_00029330.png: uiqm=0.5032751189835076, uciqe=0.5335016669003699
306_img_.png: uiqm=0.30507158646852384, uciqe=0.5387864038314694
332_img_.png: uiqm=0.6564224543515689, uciqe=0.579841218736354
3330.png: uiqm=0.4572125595637372, uciqe=0.6217074193739615
36.png: uiqm=0.4792306266367035, uciqe=0.4969957341324561
387_img_.png: uiqm=0.9791573973772688, uciqe=0.5523961778798946
757_img_.png: uiqm=1.2474736167158018, uciqe=0.556797841007049
819_img_.png: uiqm=0.553983547239104, uciqe=0.5398121464780061
96.png: uiqm=0.859400910443995, uciqe=0.5013149149067284
GI_1.png: uiqm=1.3188980379646322, uciqe=0.43063320743057554
GI_16.png: uiqm=0.507056378118595, uciqe=0.48948957157071643
GI_2.png: uiqm=1.3347918914562384, uciqe=0.44001801662393597
GI_22.png: uiqm=0.4119473972475768, uciqe=0.47748201978777294
GI_29.png: uiqm=0.794701772315392, uciqe=0.4637225386126089
GI_33.png: uiqm=1.2375259355650616, uciqe=0.5993822453798773
GI_35.png: uiqm=0.5140848024918485, uciqe=0.6762282944213277
GI_43.png: uiqm=0.281562199217498, uciqe=0.6104565333376275
GI_7.png: uiqm=1.2939322192724207, uciqe=0.4748888663139444
GI_78.png: uiqm=0.7942220629501398, uciqe=0.5438141965028911
GI_8.png: uiqm=1.5031991440331032, uciqe=0.48251912351751614
GI_95.png: uiqm=0.5666719192989751, uciqe=0.5199651231978053
gmn_5017up.png: uiqm=1.183037552209719, uciqe=0.5747286156977394
gmn_5029up.png: uiqm=0.7128587106073138, uciqe=0.5821328730317608
gmn_5148up.png: uiqm=0.5474135075054885, uciqe=0.614900856749122
gmn_5183up.png: uiqm=0.8376739657588075, uciqe=0.5401611397123108
gmn_5185up.png: uiqm=0.7979547899499647, uciqe=0.5962921854615602
gmn_5228up.png: uiqm=0.8055242764929237, uciqe=0.5088944109804653
gmn_7856up.png: uiqm=1.1380371269086615, uciqe=0.5931869979267034
gmn_7919up.png: uiqm=0.6748217761879126, uciqe=0.5116914176894565
im_f1582_.png: uiqm=1.3083805647630244, uciqe=0.5604045294612436
im_f2253_.png: uiqm=0.6279962362433152, uciqe=0.531239467047534
n01496331_1010.png: uiqm=0.8493653275049063, uciqe=0.5399975531494997
n01496331_2044.png: uiqm=0.8999687922814451, uciqe=0.5688912361993799
n01914609_1112.png: uiqm=0.5799113212607135, uciqe=0.5610813342189229
n01914609_11380.png: uiqm=1.0765677201071817, uciqe=0.5381380527343401
n01914609_13222.png: uiqm=0.6601869566835541, uciqe=0.5165694272721248
n01914609_13909.png: uiqm=1.7326931884381045, uciqe=0.5372666990051779
