104_img_.png: NIQE=39.47724060020625  with dealing time: 89.06224179267883
10_img_.png: NIQE=39.2180870298964  with dealing time: 90.9435818195343
111_img_.png: NIQE=56.11982874679957  with dealing time: 86.86974692344666
112_img_.png: NIQE=32.77598827991124  with dealing time: 95.22893929481506
11_img_.png: NIQE=39.90101662136467  with dealing time: 90.72141528129578
13_img_.png: NIQE=37.49658847462047  with dealing time: 85.91196703910828
14_img_.png: NIQE=54.8027930265794  with dealing time: 92.22731184959412
15003.png: NIQE=42.901122030563926  with dealing time: 93.09482836723328
150_img_.png: NIQE=40.81728070218885  with dealing time: 84.27620530128479
15544.png: NIQE=37.8517359260261  with dealing time: 91.4254093170166
15_img_.png: NIQE=33.891417512099174  with dealing time: 90.61326789855957
169_img_.png: NIQE=39.878534957666055  with dealing time: 89.94575905799866
16_img_.png: NIQE=43.00775558038564  with dealing time: 82.33904552459717
17_img_.png: NIQE=45.18202093740568  with dealing time: 76.90258979797363
18_img_.png: NIQE=37.53008936640106  with dealing time: 90.06550455093384
19_img_.png: NIQE=36.21323856224782  with dealing time: 99.49570751190186
20.png: NIQE=45.12134216372676  with dealing time: 88.45659613609314
22_img_.png: NIQE=37.85145634701684  with dealing time: 99.07938647270203
23_img_.png: NIQE=34.237096133690855  with dealing time: 91.26772689819336
24_img_.png: NIQE=44.094252200689766  with dealing time: 91.5448260307312
282_img_.png: NIQE=47.20481527590193  with dealing time: 91.91359686851501
284_img_.png: NIQE=42.765433534778566  with dealing time: 87.30910348892212
288_img_.png: NIQE=43.24904502827734  with dealing time: 89.82789659500122
290_img_.png: NIQE=48.70427364404561  with dealing time: 86.43010306358337
292_img_.png: NIQE=39.90154593214307  with dealing time: 93.02430009841919
293_img_.png: NIQE=47.37662006494901  with dealing time: 87.81585168838501
294_img_.png: NIQE=111.77030747133456  with dealing time: 79.78405928611755
295_img_.png: NIQE=44.34724084198674  with dealing time: 92.94179725646973
299_img_.png: NIQE=46.94355426156399  with dealing time: 95.44179391860962
2_img_.png: NIQE=43.9024411408589  with dealing time: 93.11673784255981
300_img_.png: NIQE=45.313407075841646  with dealing time: 92.25725293159485
301_img_.png: NIQE=42.50528374151288  with dealing time: 77.4387276172638
302_img_.png: NIQE=44.456074907558815  with dealing time: 81.72493147850037
303_img_.png: NIQE=42.64154137013938  with dealing time: 87.10831332206726
304_img_.png: NIQE=46.01351406951058  with dealing time: 80.11981868743896
305_img_.png: NIQE=45.04697163688809  with dealing time: 80.02451658248901
306_img_.png: NIQE=38.8548782028386  with dealing time: 79.17981553077698
307_img_.png: NIQE=39.894204345449324  with dealing time: 78.0638952255249
30_img_.png: NIQE=38.38441226558061  with dealing time: 88.2203414440155
311_img_.png: NIQE=47.596370708930976  with dealing time: 79.46053194999695
312_img_.png: NIQE=41.793821273990815  with dealing time: 80.86267304420471
313_img_.png: NIQE=42.34416647162761  with dealing time: 79.20258569717407
314_img_.png: NIQE=46.49955895341928  with dealing time: 81.97804856300354
315_img_.png: NIQE=46.419252286851425  with dealing time: 81.26427555084229
316_img_.png: NIQE=45.206819850035934  with dealing time: 87.22687077522278
317_img_.png: NIQE=40.84479063979001  with dealing time: 83.93324875831604
318_img_.png: NIQE=45.604907994539445  with dealing time: 89.22443127632141
319_img_.png: NIQE=44.82514885308105  with dealing time: 89.71043634414673
320_img_.png: NIQE=51.133241343322624  with dealing time: 86.58061718940735
322_img_.png: NIQE=43.974406261988925  with dealing time: 82.20733857154846
323_img_.png: NIQE=43.13681995625161  with dealing time: 77.54721140861511
324_img_.png: NIQE=41.92505450987364  with dealing time: 73.8266065120697
325_img_.png: NIQE=44.31086962623721  with dealing time: 82.51467037200928
326_img_.png: NIQE=38.04892594684001  with dealing time: 83.45148372650146
327_img_.png: NIQE=39.501894066059485  with dealing time: 78.61490297317505
330_img_.png: NIQE=49.3470568886076  with dealing time: 74.89789915084839
332_img_.png: NIQE=70.50582079454936  with dealing time: 72.15234184265137
334_img_.png: NIQE=44.15907379303719  with dealing time: 83.78063249588013
336_img_.png: NIQE=43.24625796219056  with dealing time: 73.5346052646637
337_img_.png: NIQE=55.167306456976405  with dealing time: 60.99804759025574
338_img_.png: NIQE=95.11146893838327  with dealing time: 61.02142024040222
340_img_.png: NIQE=44.94626036393858  with dealing time: 59.9152295589447
341_img_.png: NIQE=48.95852615886906  with dealing time: 61.58144760131836
342_img_.png: NIQE=48.499383908827966  with dealing time: 57.68357872962952
343_img_.png: NIQE=45.76516994176224  with dealing time: 60.89914321899414
346_img_.png: NIQE=40.453128935092735  with dealing time: 60.11664295196533
347_img_.png: NIQE=42.83759753821236  with dealing time: 60.06630849838257
348_img_.png: NIQE=45.46451429430511  with dealing time: 62.21288323402405
350_img_.png: NIQE=40.38701152765049  with dealing time: 61.209125995635986
351_img_.png: NIQE=48.11685323896325  with dealing time: 60.76679015159607
353_img_.png: NIQE=51.06065391709299  with dealing time: 61.715362548828125
355_img_.png: NIQE=42.72507737373586  with dealing time: 63.94636869430542
356_img_.png: NIQE=45.929113987032515  with dealing time: 63.834961891174316
359_img_.png: NIQE=45.29993932665842  with dealing time: 61.79903602600098
360_img_.png: NIQE=36.787098999294784  with dealing time: 63.610310077667236
361_img_.png: NIQE=90.03964858811123  with dealing time: 61.058075189590454
362_img_.png: NIQE=43.327578762704064  with dealing time: 63.690593242645264
363_img_.png: NIQE=43.96587458604737  with dealing time: 60.89354658126831
364_img_.png: NIQE=65.64464671415314  with dealing time: 63.42819356918335
366_img_.png: NIQE=55.94209623310304  with dealing time: 58.19800853729248
367_img_.png: NIQE=43.15291985595436  with dealing time: 65.89914274215698
3_img_.png: NIQE=35.16525829621973  with dealing time: 64.70012545585632
4.png: NIQE=40.72129325153445  with dealing time: 68.75633835792542
406_img_.png: NIQE=37.009337109497245  with dealing time: 65.73189806938171
419_img_.png: NIQE=42.46136998581336  with dealing time: 61.64265537261963
41_img_.png: NIQE=47.520213467646066  with dealing time: 58.128764390945435
421_img_.png: NIQE=47.289855207651456  with dealing time: 58.172476291656494
460_img_.png: NIQE=40.40134089214438  with dealing time: 59.284160137176514
466_img_.png: NIQE=46.686592783434754  with dealing time: 58.82833766937256
471_img_.png: NIQE=43.61775652224717  with dealing time: 56.39172625541687
472_img_.png: NIQE=46.62291812598626  with dealing time: 54.517362117767334
476_img_.png: NIQE=44.642116268483505  with dealing time: 57.291067123413086
48_img_.png: NIQE=40.06607566498472  with dealing time: 62.478299617767334
495_img_.png: NIQE=49.448308242519005  with dealing time: 56.43002247810364
4_img_.png: NIQE=38.53926938913221  with dealing time: 61.518288373947144
550_img_.png: NIQE=40.31170949350257  with dealing time: 61.898749351501465
557.png: NIQE=50.97348038457501  with dealing time: 60.464932918548584
