104_img_: PSNR=15.862227800978774 SSIM=0.2552231694638358 UIQM=0.7159841026206463 UCIQE=0.49385061339143366
10_img_: PSNR=16.63713869828404 SSIM=0.7173697876014081 UIQM=0.7966270120877882 UCIQE=0.545705939073821
111_img_: PSNR=15.727297032413643 SSIM=0.4465343025405257 UIQM=0.3984401500703091 UCIQE=0.5940814226359907
112_img_: PSNR=17.289380783732057 SSIM=0.6169382535601033 UIQM=0.9469294254734266 UCIQE=0.5151850457109491
11_img_: PSNR=14.621489180425641 SSIM=0.47516427432721825 UIQM=1.21961996763293 UCIQE=0.6208336169942472
13_img_: PSNR=14.36845748366033 SSIM=0.4088017982681117 UIQM=1.18707004524016 UCIQE=0.5046557031018524
14_img_: PSNR=16.724464922417607 SSIM=0.5945057758663458 UIQM=1.4090585709420946 UCIQE=0.6443285852212873
15003: PSNR=16.097139211610465 SSIM=-0.012243112270974937 UIQM=0.48118024594211317 UCIQE=0.4993082070094915
150_img_: PSNR=12.14127646122106 SSIM=0.34796416150868825 UIQM=1.1250371116192857 UCIQE=0.4955584304146443
15544: PSNR=20.50418316785782 SSIM=0.6548285825879798 UIQM=0.5118486689288609 UCIQE=0.5504526791826234
15_img_: PSNR=17.765863635156478 SSIM=0.7021311573879743 UIQM=1.6090029156734582 UCIQE=0.6673973012879963
169_img_: PSNR=17.512687809813873 SSIM=0.7170478454294535 UIQM=2.4876668148186933 UCIQE=0.5584935153049086
16_img_: PSNR=13.125487157235057 SSIM=0.5791002704156883 UIQM=1.0642028095823595 UCIQE=0.5120479739000675
17_img_: PSNR=18.106516558341987 SSIM=0.8359436301641319 UIQM=1.6864475661292055 UCIQE=0.6240425365207684
18_img_: PSNR=14.429585260631086 SSIM=0.488030891414103 UIQM=1.3967614983699983 UCIQE=0.44546407656421094
19_img_: PSNR=15.609722675338913 SSIM=0.6179182060220856 UIQM=1.3499422628224826 UCIQE=0.6125722234766241
20: PSNR=15.510081119221287 SSIM=0.6706546897617243 UIQM=1.6426640495460303 UCIQE=0.5990342151305911
22_img_: PSNR=13.928757458523718 SSIM=0.5452992234262339 UIQM=1.1077861906559106 UCIQE=0.5139203038511555
23_img_: PSNR=18.198632627558553 SSIM=0.5968944511333043 UIQM=1.2492475215707732 UCIQE=0.5643290704942372
24_img_: PSNR=17.273078849334777 SSIM=0.46829571963907735 UIQM=1.1907228341965648 UCIQE=0.542437960634888
282_img_: PSNR=16.20453308630625 SSIM=0.40073784899722537 UIQM=1.3671684386733798 UCIQE=0.6019762198116705
284_img_: PSNR=17.336765681691688 SSIM=0.3412773628789222 UIQM=1.2631340110596296 UCIQE=0.6119597049281604
288_img_: PSNR=19.113880606191792 SSIM=0.601536652203337 UIQM=1.2554880430754953 UCIQE=0.5349149848513853
290_img_: PSNR=17.95200473847968 SSIM=0.8371724114950112 UIQM=0.8662361286576848 UCIQE=0.5553715846500531
292_img_: PSNR=18.439071556112324 SSIM=0.630373324256763 UIQM=1.0827986880674307 UCIQE=0.652126813801918
293_img_: PSNR=14.797153936914412 SSIM=0.5684949984655959 UIQM=0.9887923143322483 UCIQE=0.5677536306615535
294_img_: PSNR=10.0469422338944 SSIM=0.17595050643320295 UIQM=-0.39509278658340813 UCIQE=0.711511174702872
295_img_: PSNR=13.61949530245695 SSIM=0.5133609885052558 UIQM=1.3957515041478925 UCIQE=0.5849478445466488
299_img_: PSNR=11.771964906573773 SSIM=-0.0009054106072243148 UIQM=0.7511856925652697 UCIQE=0.5303623436008675
2_img_: PSNR=16.339243686837207 SSIM=0.7453405427658034 UIQM=1.060082456595297 UCIQE=0.6413933055958662
300_img_: PSNR=17.403861576737537 SSIM=0.6014484880222062 UIQM=0.7954819023692286 UCIQE=0.5815022234107248
301_img_: PSNR=15.39330310437695 SSIM=0.3318342996531016 UIQM=0.7465942489622858 UCIQE=0.48579288402315557
302_img_: PSNR=16.10607319547686 SSIM=0.38839082872973896 UIQM=0.6333311848510245 UCIQE=0.5086881650520874
303_img_: PSNR=15.816938092189329 SSIM=0.36782043387399666 UIQM=1.1088774344897767 UCIQE=0.5500646899904958
304_img_: PSNR=15.228547932957401 SSIM=0.6525779994175954 UIQM=1.503544187261788 UCIQE=0.5206827188032248
305_img_: PSNR=15.065682336166837 SSIM=0.45837525744897745 UIQM=1.0082217574936427 UCIQE=0.5139030225031725
306_img_: PSNR=19.628910455585032 SSIM=0.6013221472507174 UIQM=0.6261755540188131 UCIQE=0.5421909072739921
307_img_: PSNR=18.833585891005388 SSIM=0.374749189888094 UIQM=1.0195186250198613 UCIQE=0.5658335096310656
30_img_: PSNR=15.67354629443887 SSIM=0.613552080486611 UIQM=1.6483905408042938 UCIQE=0.5887693968032046
311_img_: PSNR=18.83873266593097 SSIM=0.632175987778488 UIQM=1.3908925788413566 UCIQE=0.5691908474101142
