100001.png: uiqm=0.7999876589677037, uciqe=0.5353616054444341
10091.png: uiqm=1.586619025471599, uciqe=0.6446699278303375
10103.png: uiqm=1.2881834098086915, uciqe=0.5075020184932107
10167.png: uiqm=0.4739581613543159, uciqe=0.6128782292273709
102.png: uiqm=0.8096885483752272, uciqe=0.454450010853742
10226.png: uiqm=0.7928110734315721, uciqe=0.6550826222054695
10475.png: uiqm=-0.16418431081900636, uciqe=0.3178806995551543
10488.png: uiqm=-0.45751140497932397, uciqe=0.6042639811974087
12191.png: uiqm=-0.16015802242195254, uciqe=0.26740151098531373
12203.png: uiqm=0.7724941331084522, uciqe=0.45066572424958645
12228.png: uiqm=-0.08402232195736303, uciqe=0.2722804935405478
12565.png: uiqm=0.7722546184780883, uciqe=0.42213362890526995
12577.png: uiqm=0.6259813452232879, uciqe=0.44124045159433645
12625.png: uiqm=0.047460649840352476, uciqe=0.3184053739077728
12709.png: uiqm=-0.530223517339816, uciqe=0.6972869577759071
12753.png: uiqm=-0.07182561298380952, uciqe=0.4835328944240226
12960.png: uiqm=0.7726861088155065, uciqe=0.46521301153459166
12972.png: uiqm=0.793904353589616, uciqe=0.5054689159152381
13252.png: uiqm=0.5672510809866118, uciqe=0.5778660485036122
13259.png: uiqm=1.0706448932115575, uciqe=0.460563810131596
15603.png: uiqm=0.33908686534540833, uciqe=0.4540185473612416
15735.png: uiqm=0.4203426443972875, uciqe=0.40519429415492764
15738.png: uiqm=0.630658456633395, uciqe=0.5076423026592083
15740.png: uiqm=0.5450917250368548, uciqe=0.45003064782983015
15774.png: uiqm=0.8386055575958083, uciqe=0.4994132548290619
15775.png: uiqm=-0.26267858764465246, uciqe=0.2567533362975895
2.png: uiqm=1.3718879790876382, uciqe=0.5039653361683567
2575.png: uiqm=0.9584525378139765, uciqe=0.549492102427088
2583.png: uiqm=0.6598752847114817, uciqe=0.5228440797831787
2856.png: uiqm=1.0038693280472546, uciqe=0.5397243886376042
3027.png: uiqm=1.5465950004152855, uciqe=0.6462660159592718
3051.png: uiqm=1.2139843297298771, uciqe=0.6072355948140138
3087.png: uiqm=2.044216337416646, uciqe=0.6082218494314415
3175.png: uiqm=0.2788811347378295, uciqe=0.48673732372415135
3201.png: uiqm=1.3328956316605052, uciqe=0.620568527768598
3279.png: uiqm=0.8477803324112562, uciqe=0.4403453638886786
34.png: uiqm=1.1132401220135324, uciqe=0.5455331199227231
3494.png: uiqm=0.2842520850166672, uciqe=0.6028091457372091
3519.png: uiqm=0.05666053961761197, uciqe=0.3784883594022629
358_img_.png: uiqm=0.6888591339889587, uciqe=0.5694618852075921
432.png: uiqm=0.5236433202699879, uciqe=0.4560675589324318
5.png: uiqm=0.8637761338556214, uciqe=0.5915244626606717
52.png: uiqm=1.180870460109506, uciqe=0.5499692482639578
579.png: uiqm=0.5161691432376933, uciqe=0.5331624431788466
605.png: uiqm=1.006420196975419, uciqe=0.6267413143759826
616.png: uiqm=1.0625879785838133, uciqe=0.5347149211723591
627.png: uiqm=1.158685826063467, uciqe=0.5880991867756845
6333.png: uiqm=0.4900656844235012, uciqe=0.5094071794242582
6340.png: uiqm=-0.006965557975338932, uciqe=0.36644133513859833
643_img_.png: uiqm=1.50567295736247, uciqe=0.6040380541329298
6527.png: uiqm=0.8915958070021615, uciqe=0.4976686183493754
7277.png: uiqm=1.475845639822718, uciqe=0.5662044008489754
7291.png: uiqm=1.2813629267344337, uciqe=0.5504295005232331
770.png: uiqm=1.1794441604023664, uciqe=0.612597521142262
866.png: uiqm=-0.11072276845245865, uciqe=0.444518240526757
880.png: uiqm=1.2638274089967387, uciqe=0.5786374863772217
9553.png: uiqm=1.2462512531033316, uciqe=0.532920391013435
9602.png: uiqm=1.2006922568261107, uciqe=0.6191497454754904
9607.png: uiqm=1.1986936690637098, uciqe=0.5296322021011046
9618.png: uiqm=0.8737415513569238, uciqe=0.5984922545931701

Average: uiqm=0.7403369059326016, uciqe=0.5129884909547615

