12433.png: NIQE=42.233231969250454  with dealing time: 78.51191425323486
149.png: NIQE=93.05381218983325  with dealing time: 85.45142841339111
161.png: NIQE=55.42465769075693  with dealing time: 89.29162859916687
264574_00031858.png: NIQE=53.66194692807881  with dealing time: 88.62136006355286
264734_00038535.png: NIQE=41.339036838809456  with dealing time: 83.11514568328857
265119_00013763.png: NIQE=53.35995999171618  with dealing time: 86.01537322998047
265130_00031309.png: NIQE=35.23153300455202  with dealing time: 86.45804190635681
265344_00029330.png: NIQE=41.95463119578593  with dealing time: 86.85807991027832
306_img_.png: NIQE=38.8548782028386  with dealing time: 86.2728500366211
332_img_.png: NIQE=70.50582079454936  with dealing time: 81.65097427368164
3330.png: NIQE=46.58311382644638  with dealing time: 93.08474397659302
36.png: NIQE=41.265501293468205  with dealing time: 86.76533031463623
387_img_.png: NIQE=37.70928336864138  with dealing time: 85.63806200027466
757_img_.png: NIQE=42.18557346262341  with dealing time: 78.10572361946106
819_img_.png: NIQE=45.47614431589296  with dealing time: 80.78596615791321
96.png: NIQE=67.33206566244417  with dealing time: 92.61365699768066
GI_1.png: NIQE=37.30252071776477  with dealing time: 92.92205739021301
GI_16.png: NIQE=84.01296162362432  with dealing time: 80.84247756004333
GI_2.png: NIQE=47.045677709456875  with dealing time: 94.38811469078064
GI_22.png: NIQE=56.18495781933103  with dealing time: 89.37518048286438
GI_29.png: NIQE=86.04259607352884  with dealing time: 78.9881362915039
GI_33.png: NIQE=42.57833101398092  with dealing time: 91.8644278049469
GI_35.png: NIQE=43.9294590629702  with dealing time: 94.36075687408447
GI_43.png: NIQE=47.55237835401553  with dealing time: 92.92932462692261
GI_7.png: NIQE=45.112421315210504  with dealing time: 88.5542962551117
GI_78.png: NIQE=53.29632700456187  with dealing time: 92.85842609405518
GI_8.png: NIQE=43.593836942282955  with dealing time: 86.05194020271301
GI_95.png: NIQE=33.92666528657448  with dealing time: 86.02045798301697
gmn_5017up.png: NIQE=40.5124701480108  with dealing time: 97.70975017547607
gmn_5029up.png: NIQE=53.54401398446725  with dealing time: 91.95514607429504
gmn_5148up.png: NIQE=44.31078007017076  with dealing time: 90.31687259674072
gmn_5183up.png: NIQE=40.02403524835567  with dealing time: 94.18549656867981
gmn_5185up.png: NIQE=48.083898943218436  with dealing time: 84.60528349876404
gmn_5228up.png: NIQE=44.27635528004449  with dealing time: 80.67392873764038
gmn_7856up.png: NIQE=41.2450891239847  with dealing time: 81.97934746742249
gmn_7919up.png: NIQE=63.6031920635462  with dealing time: 82.43140125274658
im_f1582_.png: NIQE=56.88495906051255  with dealing time: 83.52529239654541
im_f2253_.png: NIQE=60.034776679889205  with dealing time: 74.6481192111969
n01496331_1010.png: NIQE=49.830057789719525  with dealing time: 77.20316886901855
n01496331_2044.png: NIQE=64.40196075391364  with dealing time: 86.11935591697693
n01914609_1112.png: NIQE=65.39530643862219  with dealing time: 77.11895322799683
n01914609_11380.png: NIQE=51.670757946251165  with dealing time: 80.32608890533447
n01914609_13222.png: NIQE=37.52250665914176  with dealing time: 83.49813342094421
n01914609_13909.png: NIQE=51.512037921697754  with dealing time: 81.38352704048157
n01914609_1437.png: NIQE=53.052041137385956  with dealing time: 77.29201126098633
n01914609_1980.png: NIQE=52.835951650516456  with dealing time: 87.68840146064758
n01914609_2054.png: NIQE=62.097092957070835  with dealing time: 78.27338910102844
n01914609_7919.png: NIQE=57.27860130330447  with dealing time: 91.96400856971741
n02607072_2382.png: NIQE=52.514602749801014  with dealing time: 89.33783555030823
n02607072_5845.png: NIQE=89.2470850857272  with dealing time: 83.3102798461914
n02607072_931.png: NIQE=54.62746493747339  with dealing time: 77.62559461593628
NF_1.png: NIQE=71.61344233595229  with dealing time: 76.99789714813232
NF_10.png: NIQE=54.32814091340976  with dealing time: 80.8265151977539
NF_100.png: NIQE=93.96238498476501  with dealing time: 70.89229345321655
NF_110.png: NIQE=63.05979859662879  with dealing time: 83.74250769615173
NF_116.png: NIQE=57.63721876036869  with dealing time: 74.65055251121521
NF_123.png: NIQE=56.33369914246711  with dealing time: 76.01516652107239
NF_124.png: NIQE=44.3224339187463  with dealing time: 75.12947034835815
NF_13.png: NIQE=83.01781625977713  with dealing time: 70.32582449913025
NF_14.png: NIQE=91.32370469451368  with dealing time: 72.87896728515625
NF_141.png: NIQE=38.158961830092224  with dealing time: 64.41509413719177
NF_147.png: NIQE=55.65994304458283  with dealing time: 60.64290976524353
NF_148.png: NIQE=70.23095168707849  with dealing time: 58.15497088432312
NF_166.png: NIQE=55.48551307475088  with dealing time: 61.08028817176819
NF_171.png: NIQE=63.58086223645897  with dealing time: 58.48138904571533
NF_172.png: NIQE=52.82837187309095  with dealing time: 56.92065215110779
NF_174.png: NIQE=76.28464606212042  with dealing time: 62.129406213760376
NF_177.png: NIQE=58.65331407773194  with dealing time: 62.44856572151184
NF_194.png: NIQE=75.59032856017573  with dealing time: 65.02738189697266
NF_195.png: NIQE=66.79876802079353  with dealing time: 56.94738221168518
NF_2.png: NIQE=58.03867419642461  with dealing time: 63.565269947052
NF_201.png: NIQE=56.4712660734755  with dealing time: 61.51840305328369
NF_209.png: NIQE=61.676831993112394  with dealing time: 57.228548526763916
NF_213.png: NIQE=49.593909653235414  with dealing time: 56.38052034378052
NF_215.png: NIQE=36.70748371617634  with dealing time: 58.185277462005615
NF_218.png: NIQE=74.77515243527183  with dealing time: 56.035571575164795
NF_231.png: NIQE=52.000036582201325  with dealing time: 64.71658897399902
NF_241.png: NIQE=52.43437828544531  with dealing time: 63.738189458847046
NF_242.png: NIQE=48.12675329212441  with dealing time: 63.201000690460205
NF_252.png: NIQE=49.03378384256303  with dealing time: 66.68072462081909
NF_26.png: NIQE=115.9758753180022  with dealing time: 55.67198610305786
NF_280.png: NIQE=62.08882008259642  with dealing time: 63.2340726852417
NF_285.png: NIQE=46.59103314332842  with dealing time: 64.015132188797
NF_287.png: NIQE=87.5705823139743  with dealing time: 59.286189556121826
NF_313.png: NIQE=53.23908036456708  with dealing time: 59.62458515167236
NF_32.png: NIQE=67.19559340454082  with dealing time: 58.768160820007324
NF_363.png: NIQE=42.51561312157655  with dealing time: 58.94003415107727
NF_364.png: NIQE=43.03758904069333  with dealing time: 54.614455461502075
NF_387.png: NIQE=48.317193732763414  with dealing time: 56.989917278289795
NF_410.png: NIQE=55.637352307454655  with dealing time: 57.74246573448181
NF_417.png: NIQE=72.92535250933277  with dealing time: 55.53146004676819
NF_466.png: NIQE=85.68891025422344  with dealing time: 54.870609521865845
NF_470.png: NIQE=52.09355179982681  with dealing time: 59.70860838890076
NF_507.png: NIQE=79.52096919324752  with dealing time: 58.287739753723145
NF_512.png: NIQE=63.221760432198806  with dealing time: 57.02149248123169
NF_518.png: NIQE=40.924346623044705  with dealing time: 61.24815535545349
NF_52.png: NIQE=47.042400946897494  with dealing time: 60.12765645980835
NF_56.png: NIQE=66.43929636519088  with dealing time: 55.81276345252991
NF_57.png: NIQE=84.27645048885849  with dealing time: 60.18967533111572
NF_60.png: NIQE=57.632063475240955  with dealing time: 61.382996797561646
NF_69.png: NIQE=44.12230542061921  with dealing time: 66.64479637145996
NF_7.png: NIQE=47.85799409114342  with dealing time: 60.2909722328186
NF_70.png: NIQE=48.46286340267722  with dealing time: 59.93741035461426
NF_75.png: NIQE=54.21393038859613  with dealing time: 63.003501653671265
NF_78.png: NIQE=51.63033748396363  with dealing time: 62.55348348617554
NF_8.png: NIQE=41.206430677235716  with dealing time: 64.74877119064331
NF_81.png: NIQE=44.87849513245454  with dealing time: 59.633906841278076
NF_85.png: NIQE=47.18935797652626  with dealing time: 58.07607841491699
NF_94.png: NIQE=52.32817445975627  with dealing time: 55.00617718696594
NF_95.png: NIQE=61.65443162251323  with dealing time: 56.19536590576172

110 Image Average: NIQE=56.3132826118945, TimePerImage=73.17893828478726, SumTime = 8049.683211326599s

