12433.png: uiqm=0.20003906561575513, uciqe=0.4675196642096239
149.png: uiqm=-0.2471761984752135, uciqe=0.3897156506793237
161.png: uiqm=0.4564941726970464, uciqe=0.36523023414856404
264574_00031858.png: uiqm=1.7790010490184334, uciqe=0.6542914311519562
264734_00038535.png: uiqm=1.048341840886304, uciqe=0.6216973794005332
265119_00013763.png: uiqm=0.6180412074475853, uciqe=0.6240788520957112
265130_00031309.png: uiqm=0.9694140692461719, uciqe=0.5682993566532647
265344_00029330.png: uiqm=0.5325396573609167, uciqe=0.45132882551195064
306_img_.png: uiqm=0.6261755540188131, uciqe=0.5421909072739921
332_img_.png: uiqm=-0.14262752491229758, uciqe=0.4137200848586933
3330.png: uiqm=0.7642994589560875, uciqe=0.576063163855606
36.png: uiqm=0.5709199445294278, uciqe=0.5863960571019128
387_img_.png: uiqm=1.2296262829083084, uciqe=0.4954441750194117
757_img_.png: uiqm=0.9530424320990121, uciqe=0.5490842943701054
819_img_.png: uiqm=1.0538734336706002, uciqe=0.6286545352869212
96.png: uiqm=-0.3076447415197241, uciqe=0.2658681076615911
GI_1.png: uiqm=1.5509097613254443, uciqe=0.4479864970116736
GI_16.png: uiqm=-0.46514005159988137, uciqe=0.6763836133107821
GI_2.png: uiqm=1.7724042910610769, uciqe=0.4498539444655434
GI_22.png: uiqm=-0.05515400690893224, uciqe=0.30037318093588083
GI_29.png: uiqm=-0.271383753582158, uciqe=0.24692964755566732
GI_33.png: uiqm=1.1921917210977808, uciqe=0.5765403318310499
GI_35.png: uiqm=0.7043100866855856, uciqe=0.6313937803696238
GI_43.png: uiqm=0.782631791051205, uciqe=0.6505946192422387
GI_7.png: uiqm=1.6547868712905378, uciqe=0.4999800246530163
GI_78.png: uiqm=1.254366130518178, uciqe=0.6495523936738609
GI_8.png: uiqm=1.8013377643940514, uciqe=0.46609452667022133
GI_95.png: uiqm=0.4756258451857567, uciqe=0.5016458435234277
gmn_5017up.png: uiqm=1.0798748073633504, uciqe=0.5508626166013896
gmn_5029up.png: uiqm=1.062799257895259, uciqe=0.5980958366519263
gmn_5148up.png: uiqm=0.4796382469530509, uciqe=0.5456343416582604
gmn_5183up.png: uiqm=1.2569526336496302, uciqe=0.6582205957573802
gmn_5185up.png: uiqm=1.1513680467644467, uciqe=0.6086697709282639
gmn_5228up.png: uiqm=1.2439612526168498, uciqe=0.5662646906289505
gmn_7856up.png: uiqm=1.375847224651241, uciqe=0.6700621605609157
gmn_7919up.png: uiqm=0.9502916372980357, uciqe=0.5825273031272069
im_f1582_.png: uiqm=1.850878647135326, uciqe=0.6486977442163744
im_f2253_.png: uiqm=0.18519349654076744, uciqe=0.3533616133318743
n01496331_1010.png: uiqm=1.1466607597402905, uciqe=0.655614526580815
n01496331_2044.png: uiqm=1.362027411380752, uciqe=0.6706074608401554
n01914609_1112.png: uiqm=-0.23257143024902194, uciqe=0.5695503864138715
n01914609_11380.png: uiqm=1.1923991701965868, uciqe=0.7231676770655415
n01914609_13222.png: uiqm=1.6101813381254217, uciqe=0.5809683029445323
n01914609_13909.png: uiqm=1.5556267834175344, uciqe=0.5785400128363218
n01914609_1437.png: uiqm=0.5031679996082263, uciqe=0.5730068030116211
n01914609_1980.png: uiqm=1.319728316101149, uciqe=0.6607158418623159
n01914609_2054.png: uiqm=0.25841412025543986, uciqe=0.5440448651092826
n01914609_7919.png: uiqm=1.088936484195885, uciqe=0.626687228589207
n02607072_2382.png: uiqm=0.8437708974856792, uciqe=0.623933057875597
n02607072_5845.png: uiqm=-0.4055526443979144, uciqe=0.5550527177888425
n02607072_931.png: uiqm=0.9991606368482575, uciqe=0.6133036270361438
NF_1.png: uiqm=-0.36792386730442594, uciqe=0.6034970507459725
NF_10.png: uiqm=0.3777053364472954, uciqe=0.5052520444632764
NF_100.png: uiqm=-0.4227364367856853, uciqe=0.6475096959638104
NF_110.png: uiqm=-0.04946825821307543, uciqe=0.2995723951604699
NF_116.png: uiqm=-0.16099653518562385, uciqe=0.40745605013459696
NF_123.png: uiqm=-0.26032296924826226, uciqe=0.3800991914567382
NF_124.png: uiqm=0.9087407775517764, uciqe=0.56280805379736
NF_13.png: uiqm=-0.41122921232764215, uciqe=0.45651073662910013
NF_14.png: uiqm=0.24764941746424424, uciqe=0.4590973311428079
NF_141.png: uiqm=0.7533131355405073, uciqe=0.49481630824056366
NF_147.png: uiqm=0.44278773411299427, uciqe=0.6627624763929756
NF_148.png: uiqm=-0.4279607766840807, uciqe=0.6553648124797833
NF_166.png: uiqm=0.9292208540409833, uciqe=0.5930141677730079
NF_171.png: uiqm=-0.2173383035344678, uciqe=0.5866547772256141
NF_172.png: uiqm=0.07576496466094146, uciqe=0.361662124994271
NF_174.png: uiqm=0.3504273170526164, uciqe=0.3111546679603572
NF_177.png: uiqm=-0.26706877030085063, uciqe=0.7134664698193047
NF_194.png: uiqm=-0.13671352291729832, uciqe=0.5083299233845294
NF_195.png: uiqm=0.0461867546843609, uciqe=0.3200337749676938
NF_2.png: uiqm=0.17731441802447712, uciqe=0.4316656509009944
NF_201.png: uiqm=-0.09404689191049298, uciqe=0.5675396532761582
NF_209.png: uiqm=-0.06764236269738066, uciqe=0.4278864931778601
NF_213.png: uiqm=-0.06807546538849674, uciqe=0.3566524062261131
NF_215.png: uiqm=0.3517681806244485, uciqe=0.39647876779020164
NF_218.png: uiqm=-0.4429849052800853, uciqe=0.31736900390879885
NF_231.png: uiqm=0.7689303009259052, uciqe=0.6265899974437659
NF_241.png: uiqm=1.0659440217089644, uciqe=0.6187774963760249
NF_242.png: uiqm=-0.08079560445563916, uciqe=0.33287581349619344
NF_252.png: uiqm=0.6003971232222166, uciqe=0.634567395737429
NF_26.png: uiqm=-0.6885311579624044, uciqe=0.735432168336036
NF_280.png: uiqm=0.1101863977968428, uciqe=0.34537710150791723
NF_285.png: uiqm=0.9769700694642596, uciqe=0.5931016897935918
NF_287.png: uiqm=-0.2404463592663189, uciqe=0.3872943662422129
NF_313.png: uiqm=0.4788505353919461, uciqe=0.5016126055137053
NF_32.png: uiqm=-0.1657844093450509, uciqe=0.2588756949657406
NF_363.png: uiqm=0.16307217358574533, uciqe=0.4458510850495351
NF_364.png: uiqm=0.3070533392738738, uciqe=0.36831810668685205
NF_387.png: uiqm=0.8404802219400084, uciqe=0.5752823643988768
NF_410.png: uiqm=-0.16992183823053575, uciqe=0.3380785858286258
NF_417.png: uiqm=-0.41837886330480883, uciqe=0.253539711920729
NF_466.png: uiqm=-0.496106361688691, uciqe=0.6747984659981513
NF_470.png: uiqm=1.0329268444647002, uciqe=0.6319270018677274
NF_507.png: uiqm=-0.11996116737755746, uciqe=0.4232408845745089
NF_512.png: uiqm=-0.3354573694907398, uciqe=0.45039888925977245
NF_518.png: uiqm=1.3273507878165882, uciqe=0.6244386151685236
NF_52.png: uiqm=0.683096678878873, uciqe=0.5015216057821518
NF_56.png: uiqm=-0.17182133891272922, uciqe=0.33873375404406747
NF_57.png: uiqm=0.06860109869525843, uciqe=0.3494263901333379
NF_60.png: uiqm=0.41098024968279945, uciqe=0.5906083050253674
NF_69.png: uiqm=0.794364399243774, uciqe=0.6415978148066978
NF_7.png: uiqm=0.1065031464130407, uciqe=0.3835263628720143
NF_70.png: uiqm=0.8155239517692444, uciqe=0.6832902824481584
NF_75.png: uiqm=1.225380741520463, uciqe=0.6770074680478845
NF_78.png: uiqm=0.9448499380496244, uciqe=0.6924155593447354
NF_8.png: uiqm=0.6764979889455153, uciqe=0.47491321352460425
NF_81.png: uiqm=0.36889233431034985, uciqe=0.5385001499237134
NF_85.png: uiqm=1.2870287871905282, uciqe=0.5988319229161638
