1.jpg: NIQE=41.05459929153959  with dealing time: 77.15254235267639
10.jpg: NIQE=38.7368524429034  with dealing time: 85.9011857509613
100.jpg: NIQE=56.289349211294656  with dealing time: 86.21328377723694
101.jpg: NIQE=53.2171828689189  with dealing time: 81.47326874732971
102.jpg: NIQE=41.48507771712269  with dealing time: 90.5768370628357
103.jpg: NIQE=55.77622478606015  with dealing time: 83.78528881072998
104.jpg: NIQE=51.086861984936576  with dealing time: 82.99297380447388
105.jpg: NIQE=49.55272982887131  with dealing time: 87.84903454780579
106.jpg: NIQE=39.96860934392057  with dealing time: 95.18354201316833
107.jpg: NIQE=37.953139537621105  with dealing time: 86.61427760124207
108.jpg: NIQE=65.26099957683323  with dealing time: 81.06177639961243
109.jpg: NIQE=62.68132778102461  with dealing time: 81.31633281707764
11.jpg: NIQE=37.702659268641476  with dealing time: 87.59423470497131
110.jpg: NIQE=73.4582609178164  with dealing time: 77.43477392196655
111.jpg: NIQE=49.56173584902588  with dealing time: 80.21421813964844
112.jpg: NIQE=97.20090036843736  with dealing time: 74.81988215446472
113.jpg: NIQE=61.28599949482821  with dealing time: 91.44910740852356
114.jpg: NIQE=78.66664856574013  with dealing time: 83.97747015953064
115.jpg: NIQE=57.552100759019766  with dealing time: 88.11015605926514
116.jpg: NIQE=59.743380963634365  with dealing time: 89.76002097129822
117.jpg: NIQE=38.429284519005314  with dealing time: 88.00266718864441
118.jpg: NIQE=91.00916295092127  with dealing time: 86.46209168434143
119.jpg: NIQE=65.4236078715017  with dealing time: 84.13536310195923
12.jpg: NIQE=61.3593757277491  with dealing time: 80.11587977409363
120.jpg: NIQE=70.1212946329803  with dealing time: 84.82544016838074
121.jpg: NIQE=46.38512426398204  with dealing time: 85.96461796760559
122.jpg: NIQE=63.10442780544152  with dealing time: 84.24246406555176
123.jpg: NIQE=53.467411218508985  with dealing time: 83.93349123001099
124.jpg: NIQE=55.75861603670199  with dealing time: 84.16650080680847
125.jpg: NIQE=64.50355838314286  with dealing time: 88.46674633026123
126.jpg: NIQE=81.08204193213318  with dealing time: 86.31168866157532
127.jpg: NIQE=38.227698128228596  with dealing time: 92.44019794464111
128.jpg: NIQE=61.73844852973175  with dealing time: 90.69137978553772
129.jpg: NIQE=48.69336702187912  with dealing time: 78.02745652198792
13.jpg: NIQE=39.82889553860882  with dealing time: 83.15288376808167
130.jpg: NIQE=105.88122445704383  with dealing time: 75.4410240650177
131.jpg: NIQE=84.54755377550215  with dealing time: 72.85409498214722
132.jpg: NIQE=88.973265739708  with dealing time: 76.37697124481201
133.jpg: NIQE=87.52925973149674  with dealing time: 74.03417921066284
134.jpg: NIQE=54.592547210907135  with dealing time: 77.49923825263977
135.jpg: NIQE=65.98399109402357  with dealing time: 78.66640782356262
136.jpg: NIQE=81.51794969052796  with dealing time: 76.55211782455444
137.jpg: NIQE=77.06465335244128  with dealing time: 75.29526782035828
138.jpg: NIQE=82.81694612454581  with dealing time: 76.75001382827759
139.jpg: NIQE=46.13298185601949  with dealing time: 80.85878992080688
14.jpg: NIQE=40.311906832097534  with dealing time: 82.72130513191223
140.jpg: NIQE=49.12343167548277  with dealing time: 83.43912720680237
141.jpg: NIQE=68.19726425953048  with dealing time: 76.94004106521606
142.jpg: NIQE=83.20034967735081  with dealing time: 80.44141101837158
143.jpg: NIQE=71.69397976375309  with dealing time: 85.62472081184387
144.jpg: NIQE=107.926808126583  with dealing time: 75.56513261795044
145.jpg: NIQE=75.6408749378369  with dealing time: 84.2181932926178
146.jpg: NIQE=39.24502954646619  with dealing time: 79.52020454406738
147.jpg: NIQE=86.03162828998767  with dealing time: 73.45808124542236
148.jpg: NIQE=43.54479988370955  with dealing time: 76.55539417266846
149.jpg: NIQE=57.219585235174485  with dealing time: 77.99844026565552
15.jpg: NIQE=40.7761458070329  with dealing time: 82.71764516830444
150.jpg: NIQE=45.5786851993967  with dealing time: 79.09758496284485
151.jpg: NIQE=42.74561300692538  with dealing time: 76.10127711296082
152.jpg: NIQE=60.470614078878015  with dealing time: 75.49748015403748
153.jpg: NIQE=109.87860647187382  with dealing time: 72.9262375831604
154.jpg: NIQE=42.58055593925028  with dealing time: 75.56692433357239
155.jpg: NIQE=53.96759942351434  with dealing time: 65.36580777168274
156.jpg: NIQE=39.48446328592866  with dealing time: 63.68389391899109
