1.jpg: uiqm=0.8796565259588827, uciqe=0.48813939065259776
10.jpg: uiqm=0.22231167106236172, uciqe=0.3976078432704443
100.jpg: uiqm=-0.15820015373040186, uciqe=0.30318662817023156
101.jpg: uiqm=-0.14273999115479996, uciqe=0.3955273211562174
102.jpg: uiqm=0.9103595748482187, uciqe=0.5274638475932663
103.jpg: uiqm=0.1808087804965396, uciqe=0.3180321792600289
104.jpg: uiqm=-0.022697287091389184, uciqe=0.3153844076125
105.jpg: uiqm=0.5281143888775477, uciqe=0.4218146707270706
106.jpg: uiqm=0.9571690893714176, uciqe=0.5090947519933738
107.jpg: uiqm=0.8602993413089383, uciqe=0.41685297951139144
108.jpg: uiqm=-0.08100372616556129, uciqe=0.2846796556216975
109.jpg: uiqm=-0.043198680264465716, uciqe=0.2918319995791052
11.jpg: uiqm=0.46674249562896075, uciqe=0.4115958993670312
110.jpg: uiqm=-0.14388578218389492, uciqe=0.27995448980179266
111.jpg: uiqm=0.8333948383165426, uciqe=0.5274879318649657
112.jpg: uiqm=-0.049421467688893106, uciqe=0.23939634891092576
113.jpg: uiqm=-0.015656390350309413, uciqe=0.2785492431185599
114.jpg: uiqm=0.16859259760273054, uciqe=0.3193765767885104
115.jpg: uiqm=-0.027031746408235913, uciqe=0.34386816364139206
116.jpg: uiqm=-0.31388027084662207, uciqe=0.35425217303054823
117.jpg: uiqm=0.7324694346590105, uciqe=0.42525089184731385
118.jpg: uiqm=-0.11306734849265698, uciqe=0.3465711762573568
119.jpg: uiqm=-0.1934993928766202, uciqe=0.2903794076601262
12.jpg: uiqm=-0.2102729584002333, uciqe=0.38314866899187683
120.jpg: uiqm=0.027040870273065676, uciqe=0.31210758565787033
121.jpg: uiqm=0.44515888743568854, uciqe=0.4100937549347172
122.jpg: uiqm=-0.036038603807932446, uciqe=0.3043677246708004
123.jpg: uiqm=0.03780325829520992, uciqe=0.35276229108547624
124.jpg: uiqm=-0.22222919179881206, uciqe=0.33603412273722233
125.jpg: uiqm=-0.013393965938232277, uciqe=0.31512669183677905
126.jpg: uiqm=-0.12922467488985395, uciqe=0.28714484213519087
127.jpg: uiqm=0.8156598443339392, uciqe=0.4313579889975215
128.jpg: uiqm=-0.10049193937288381, uciqe=0.24532977514777926
129.jpg: uiqm=0.5462706919027978, uciqe=0.4060326729871244
13.jpg: uiqm=0.5123834085032809, uciqe=0.45162833327778057
130.jpg: uiqm=-0.34949605377379384, uciqe=0.6156032856479854
131.jpg: uiqm=0.2601873490987068, uciqe=0.3089787695432449
132.jpg: uiqm=-0.29896720344037786, uciqe=0.34598265585658766
133.jpg: uiqm=0.270082115781569, uciqe=0.29695428722714956
134.jpg: uiqm=0.17887922552549973, uciqe=0.3397325961801545
135.jpg: uiqm=-0.4168855395128331, uciqe=0.30210618851959103
136.jpg: uiqm=-0.015608365326904516, uciqe=0.2723445486295913
137.jpg: uiqm=-0.2229072247260796, uciqe=0.2782240961594472
138.jpg: uiqm=-0.13027191440403685, uciqe=0.3107053978576949
139.jpg: uiqm=0.6393225240832147, uciqe=0.41000618082796036
14.jpg: uiqm=0.4471594253005118, uciqe=0.45828644257884005
140.jpg: uiqm=0.0718007104265117, uciqe=0.3548537065947528
141.jpg: uiqm=0.13231984944698738, uciqe=0.3693252290880277
142.jpg: uiqm=-0.19144757514737415, uciqe=0.2963411454400994
143.jpg: uiqm=0.14735803127370162, uciqe=0.3362550119933489
144.jpg: uiqm=-0.19594643110826604, uciqe=0.6496111045931652
145.jpg: uiqm=-0.047423482439966635, uciqe=0.31647718341252995
146.jpg: uiqm=0.7981324946835723, uciqe=0.45736286942208726
147.jpg: uiqm=-0.28073842890270884, uciqe=0.6084804880777634
148.jpg: uiqm=0.93533314354612, uciqe=0.5395370981326948
149.jpg: uiqm=-0.1212590174870466, uciqe=0.3900409825713452
