1.png: NIQE=124.8606416485316  with dealing time: 81.19228792190552
10.png: NIQE=44.29693343885501  with dealing time: 85.03393888473511
11.png: NIQE=45.86549141474959  with dealing time: 93.48100352287292
12.png: NIQE=39.031881539814485  with dealing time: 87.46645188331604
13.png: NIQE=38.90423555120272  with dealing time: 89.44348216056824
14.png: NIQE=42.122769018178914  with dealing time: 94.12643623352051
15.png: NIQE=39.272455191981834  with dealing time: 84.73315477371216
16.png: NIQE=46.38927488718948  with dealing time: 89.03811645507812
17.png: NIQE=35.91889149800518  with dealing time: 91.3237235546112
18.png: NIQE=38.04159256077841  with dealing time: 95.03264379501343
19.png: NIQE=40.41087424471636  with dealing time: 98.28590726852417
2.png: NIQE=47.814522354705275  with dealing time: 93.41354513168335
20.png: NIQE=41.499267833364875  with dealing time: 82.6115140914917
21.png: NIQE=35.46109692545924  with dealing time: 80.80969023704529
22.png: NIQE=35.753695106554304  with dealing time: 93.06495547294617
23.png: NIQE=39.23232637683926  with dealing time: 99.66400480270386
24.png: NIQE=45.09728996400348  with dealing time: 90.13163042068481
25.png: NIQE=40.30585684799044  with dealing time: 102.15065813064575
26.png: NIQE=40.71982045609486  with dealing time: 89.1813235282898
27.png: NIQE=41.84840638659429  with dealing time: 94.60105657577515
28.png: NIQE=55.016178073979276  with dealing time: 89.21973705291748
29.png: NIQE=57.995027168145974  with dealing time: 83.57598996162415
3.png: NIQE=45.40340839618205  with dealing time: 88.3656165599823
30.png: NIQE=41.75956981174283  with dealing time: 89.70820236206055
31.png: NIQE=42.39884150178906  with dealing time: 87.40479516983032
32.png: NIQE=37.96830878940098  with dealing time: 88.30731201171875
33.png: NIQE=37.10708632088493  with dealing time: 84.11917209625244
34.png: NIQE=37.125535956475005  with dealing time: 93.22044324874878
35.png: NIQE=38.5257183637817  with dealing time: 92.44271779060364
36.png: NIQE=37.108527011009514  with dealing time: 89.26839232444763
37.png: NIQE=35.5398013072441  with dealing time: 95.29522609710693
38.png: NIQE=35.356807016162925  with dealing time: 86.08779191970825
39.png: NIQE=38.383856693863486  with dealing time: 80.50550699234009
4.png: NIQE=51.1196445571676  with dealing time: 85.89961767196655
40.png: NIQE=35.77055325752712  with dealing time: 82.4338710308075
41.png: NIQE=35.99196862633669  with dealing time: 80.67010021209717
42.png: NIQE=36.54314287040665  with dealing time: 82.06259274482727
43.png: NIQE=35.42262482229985  with dealing time: 80.78842115402222
44.png: NIQE=34.144499147372656  with dealing time: 88.52772998809814
45.png: NIQE=36.2276587528362  with dealing time: 84.78506684303284
5.png: NIQE=42.88696680817941  with dealing time: 83.18164491653442
6.png: NIQE=45.77074283115688  with dealing time: 80.94481682777405
7.png: NIQE=47.88728061644286  with dealing time: 83.43194890022278
8.png: NIQE=46.50745391521651  with dealing time: 92.86899209022522
9.png: NIQE=43.33168361817968  with dealing time: 82.63101363182068

45 Image Average: NIQE=42.98089354398653, TimePerImage=88.23404987653096, SumTime = 3970.5322444438934s

