1.png: uiqm=-0.32783796747596994, uciqe=0.5338606126437483
10.png: uiqm=1.4280554493769997, uciqe=0.5091868349742129
11.png: uiqm=0.5046364769336905, uciqe=0.48151013012073685
12.png: uiqm=1.294697114054713, uciqe=0.5085692923341162
13.png: uiqm=1.659663248642405, uciqe=0.5914133362027262
14.png: uiqm=0.916871756905627, uciqe=0.6211179645810051
15.png: uiqm=1.025371171974944, uciqe=0.5146376316750625
16.png: uiqm=1.2066567196021718, uciqe=0.4674989720852915
17.png: uiqm=1.158679862531801, uciqe=0.6091000108521583
18.png: uiqm=1.2233845495633, uciqe=0.676718078829957
19.png: uiqm=1.2159162801446346, uciqe=0.6098486818625164
2.png: uiqm=0.8386933792264308, uciqe=0.533319357848193
20.png: uiqm=0.927042450599644, uciqe=0.5421475253443863
21.png: uiqm=1.2864468559405984, uciqe=0.6028870815956939
22.png: uiqm=1.115704546016877, uciqe=0.6082165522510665
23.png: uiqm=1.097815294557094, uciqe=0.538793664180306
24.png: uiqm=1.2829962091923965, uciqe=0.598871564866262
25.png: uiqm=1.1451949599250715, uciqe=0.6130037052165168
26.png: uiqm=0.9438969439130025, uciqe=0.49279517544945795
27.png: uiqm=1.1927092116595297, uciqe=0.6112318335395153
28.png: uiqm=1.1448660954552516, uciqe=0.6078282312451613
29.png: uiqm=1.7370032252982848, uciqe=0.5350644158663338
3.png: uiqm=0.9875349091147576, uciqe=0.5283636115608494
30.png: uiqm=0.6478126250306787, uciqe=0.5598734114823107
31.png: uiqm=1.1796351232603302, uciqe=0.5297636477486215
32.png: uiqm=1.1025326724221807, uciqe=0.5111504174402601
33.png: uiqm=1.6492104313407463, uciqe=0.5265825249485835
34.png: uiqm=1.4732499450153878, uciqe=0.4737507171536526
35.png: uiqm=1.3219142033175788, uciqe=0.4616403009169868
36.png: uiqm=1.414720033278428, uciqe=0.4764041952699947
37.png: uiqm=1.280214327595784, uciqe=0.5421145539253869
38.png: uiqm=1.1476673602751337, uciqe=0.5791225907909905
39.png: uiqm=1.0738009437992724, uciqe=0.4870594936586438
4.png: uiqm=0.8712361753704441, uciqe=0.49417394045757235
40.png: uiqm=1.5433911747056301, uciqe=0.47139504802064797
41.png: uiqm=1.2644176060624654, uciqe=0.47521849666941074
42.png: uiqm=1.0986878409850198, uciqe=0.5266501031864312
43.png: uiqm=1.292238284146548, uciqe=0.5053324682527209
44.png: uiqm=1.246943626231709, uciqe=0.5074023008687101
45.png: uiqm=1.3609971348169114, uciqe=0.5222793854901764
5.png: uiqm=1.0769290728790268, uciqe=0.5357619602919286
6.png: uiqm=1.0596009059734797, uciqe=0.5380232488126618
7.png: uiqm=1.0779504652206588, uciqe=0.5654367364673287
8.png: uiqm=0.8651264903535336, uciqe=0.5359751467099996
9.png: uiqm=1.3409407240787257, uciqe=0.5847538055084316

Average: uiqm=1.1421159090958433, uciqe=0.5410188613154827

