bg_00.jpg: NIQE=59.32189464451446  with dealing time: 87.2273313999176
bg_07.jpg: NIQE=47.43546739175719  with dealing time: 88.25408411026001
bg_17.jpg: NIQE=60.12028100309678  with dealing time: 87.3479356765747
bg_23.jpg: NIQE=47.290112092773164  with dealing time: 83.67774724960327
bg_34.jpg: NIQE=48.99697024262784  with dealing time: 82.52958130836487
bg_58.jpg: NIQE=55.40499408207579  with dealing time: 84.77418994903564
bg_60.jpg: NIQE=44.74476026988229  with dealing time: 85.42831349372864
bg_63.jpg: NIQE=64.80462147837548  with dealing time: 89.53164100646973
bg_66.jpg: NIQE=62.071142440493226  with dealing time: 84.04874539375305
bg_72.jpg: NIQE=47.17893462665833  with dealing time: 85.72626328468323
bg_74.jpg: NIQE=72.79265650266271  with dealing time: 86.06283807754517
bg_77.jpg: NIQE=60.843662559655286  with dealing time: 88.44234991073608
bg_81.jpg: NIQE=62.17821581197202  with dealing time: 79.44828963279724
bg_84.jpg: NIQE=76.86661026494518  with dealing time: 77.38762879371643
bg_86.jpg: NIQE=69.63834648767723  with dealing time: 82.90104031562805
bg_88.jpg: NIQE=65.75635355770827  with dealing time: 97.53300738334656
bg_90.jpg: NIQE=48.02764031700029  with dealing time: 84.17925596237183
bg_92.jpg: NIQE=65.33280763659369  with dealing time: 88.83199620246887
bg_93.jpg: NIQE=52.77440481582342  with dealing time: 96.77622985839844
bg_99.jpg: NIQE=68.38221823800401  with dealing time: 87.34421849250793
blue_07.jpg: NIQE=42.157042739257285  with dealing time: 86.07409286499023
blue_35.jpg: NIQE=39.58635189912605  with dealing time: 87.61244177818298
blue_36.jpg: NIQE=39.29885425134507  with dealing time: 86.81415009498596
blue_40.jpg: NIQE=43.03705954177303  with dealing time: 88.29319977760315
blue_49.jpg: NIQE=39.94480605036494  with dealing time: 85.66558051109314
blue_50.jpg: NIQE=43.44020399141596  with dealing time: 87.14906072616577
blue_51.jpg: NIQE=50.154728141474266  with dealing time: 86.24288988113403
blue_56.jpg: NIQE=48.47931916155146  with dealing time: 82.8736891746521
blue_63.jpg: NIQE=47.85431856442262  with dealing time: 89.53838729858398
blue_72.jpg: NIQE=50.25223973838231  with dealing time: 95.4459137916565
blue_77.jpg: NIQE=44.61117899661681  with dealing time: 92.76517844200134
blue_84.jpg: NIQE=47.699674546307286  with dealing time: 89.95281100273132
blue_85.jpg: NIQE=47.4188898140769  with dealing time: 78.13803672790527
blue_86.jpg: NIQE=45.18623595894895  with dealing time: 79.80555963516235
blue_9.jpg: NIQE=43.248272873053025  with dealing time: 79.14940690994263
blue_91.jpg: NIQE=46.82091655990125  with dealing time: 80.76859450340271
blue_92.jpg: NIQE=44.21130342222918  with dealing time: 81.49275040626526
blue_93.jpg: NIQE=46.732989795562794  with dealing time: 82.91952419281006
blue_98.jpg: NIQE=40.42997369669434  with dealing time: 78.85684895515442
blue_99.jpg: NIQE=41.85883221458848  with dealing time: 87.42393445968628
green_00.jpg: NIQE=51.0057344623106  with dealing time: 82.3593680858612
green_21.jpg: NIQE=62.47983256716423  with dealing time: 77.60482048988342
green_28.jpg: NIQE=63.695627373929554  with dealing time: 79.05526208877563
green_30.jpg: NIQE=60.554902582762374  with dealing time: 78.40917921066284
green_35.jpg: NIQE=70.154972065772  with dealing time: 79.30245995521545
green_36.jpg: NIQE=64.16037961847294  with dealing time: 82.81628632545471
green_43.jpg: NIQE=67.29403139614696  with dealing time: 78.9219286441803
green_49.jpg: NIQE=53.71927990257301  with dealing time: 91.6336121559143
green_50.jpg: NIQE=54.47704825316619  with dealing time: 85.67328596115112
green_51.jpg: NIQE=49.41940504538392  with dealing time: 84.95669984817505
green_63.jpg: NIQE=54.54874357307658  with dealing time: 76.68811058998108
green_64.jpg: NIQE=59.272055416917176  with dealing time: 78.71838307380676
green_70.jpg: NIQE=47.40688378913272  with dealing time: 75.87007212638855
green_78.jpg: NIQE=53.93935551506424  with dealing time: 80.71894264221191
green_79.jpg: NIQE=65.13334426176799  with dealing time: 78.94091653823853
green_84.jpg: NIQE=58.288954653705204  with dealing time: 73.69050025939941
green_9.jpg: NIQE=57.16127150050974  with dealing time: 75.1613359451294
green_93.jpg: NIQE=58.96594501247985  with dealing time: 72.34876441955566
green_98.jpg: NIQE=55.829195400292036  with dealing time: 76.44563007354736
green_99.jpg: NIQE=48.016236295513366  with dealing time: 74.14887642860413

60 Image Average: NIQE=53.79847475179217, TimePerImage=83.6316528916359, SumTime = 5017.899173498154s

