A_00383.jpg: uiqm=1.0621927004499327, uciqe=0.5226409559198864
A_0404.jpg: uiqm=0.9192550623020734, uciqe=0.5598969028237188
A_0445.jpg: uiqm=1.3599443032522367, uciqe=0.4984488548193965
A_0459.jpg: uiqm=1.128029599413416, uciqe=0.5094318674989436
A_102.jpg: uiqm=1.2064824159663874, uciqe=0.6554693617845588
A_12.jpg: uiqm=1.3775345205864784, uciqe=0.5680605723835446
A_137.jpg: uiqm=1.4240435129161089, uciqe=0.5308772139311203
A_151.jpg: uiqm=1.3857897609838636, uciqe=0.5803150602255936
A_173.jpg: uiqm=1.2877242140251348, uciqe=0.5285088156182298
A_18.jpg: uiqm=1.6644347086187763, uciqe=0.47110957871549186
A_187.jpg: uiqm=1.7453210821733753, uciqe=0.5460031344629537
A_249.jpg: uiqm=1.3571175241870135, uciqe=0.5128198221915292
A_263.jpg: uiqm=1.3704379358983476, uciqe=0.5472452863449151
A_39.jpg: uiqm=1.5091362140924676, uciqe=0.5516648375683445
A_40.jpg: uiqm=1.321476288905981, uciqe=0.5590926828722502
A_494.jpg: uiqm=1.1215640723892788, uciqe=0.5545156488638118
A_502.jpg: uiqm=1.0088759267779432, uciqe=0.5361172113054835
A_551.jpg: uiqm=0.7836519517876243, uciqe=0.6123601886451198
A_557.jpg: uiqm=1.279900761345842, uciqe=0.5432231347728445
A_592.jpg: uiqm=0.8037446232748817, uciqe=0.5502824499392278
A_606.jpg: uiqm=1.6152941482599137, uciqe=0.4521174051384386
A_628.jpg: uiqm=0.9088607713398499, uciqe=0.5693121602567046
A_649.jpg: uiqm=1.3900499935962305, uciqe=0.5617645157249221
A_663.jpg: uiqm=1.6244288984053004, uciqe=0.546079213973315
A_67.jpg: uiqm=1.496832956196819, uciqe=0.5675323699555834
A_690.jpg: uiqm=0.9030901755516954, uciqe=0.5536908010594364
A_704.jpg: uiqm=1.5804725086224134, uciqe=0.598732624845391
A_726.jpg: uiqm=2.069979217921478, uciqe=0.5645559767057636
A_75.jpg: uiqm=1.2632539863487826, uciqe=0.5464217549282252
A_89.jpg: uiqm=1.1560051211219782, uciqe=0.555151608254679
B_026.jpg: uiqm=0.9709052409743612, uciqe=0.5570901376911649
B_053.jpg: uiqm=1.3948023306106263, uciqe=0.5077521056647708
B_067.jpg: uiqm=1.608091902029007, uciqe=0.5118161682994746
B_088.jpg: uiqm=1.1641406868890634, uciqe=0.5105455176960189
B_110.jpg: uiqm=1.0002960270527033, uciqe=0.5366648939506362
B_151.jpg: uiqm=0.840238741497411, uciqe=0.5060760514330847
B_159.jpg: uiqm=0.954239099468201, uciqe=0.5438071351775106
B_187.jpg: uiqm=1.4537509221794669, uciqe=0.5009567879072494
B_208.jpg: uiqm=1.6718827688099034, uciqe=0.525851893986051
B_249.jpg: uiqm=0.7963526377594223, uciqe=0.6007444577426594
B_263.jpg: uiqm=1.1495728603924356, uciqe=0.45523085385797574
B_285.jpg: uiqm=1.5728775917735267, uciqe=0.5424504331295098
B_306.jpg: uiqm=1.078525121842357, uciqe=0.4947627143992882
B_347.jpg: uiqm=1.6794658475724107, uciqe=0.48741878184518517
B_361.jpg: uiqm=1.2070292890415488, uciqe=0.4950096521659755
B_383.jpg: uiqm=1.2043257854754927, uciqe=0.5318981742757095
B_404.jpg: uiqm=1.1444620897431186, uciqe=0.5447771049592443
B_445.jpg: uiqm=1.3860067545438395, uciqe=0.4917334627339348
B_459.jpg: uiqm=1.200248221723482, uciqe=0.46783821806042425
B_494.jpg: uiqm=1.2459330059816072, uciqe=0.44196525389338104
B_502.jpg: uiqm=1.3824666144920372, uciqe=0.5311463176108955
B_551.jpg: uiqm=0.8952185832554693, uciqe=0.5711711209274473
B_557.jpg: uiqm=1.158184710880578, uciqe=0.5441905904717841
B_592.jpg: uiqm=1.0278896527695465, uciqe=0.5115794573570516
B_606.jpg: uiqm=1.162136236683361, uciqe=0.5729954590388462
B_628.jpg: uiqm=1.068346309056926, uciqe=0.5791130513839067
B_649.jpg: uiqm=1.075638379441908, uciqe=0.5207851125949491
B_663.jpg: uiqm=0.813161140035845, uciqe=0.537770996447868
B_690.jpg: uiqm=1.0364945814036708, uciqe=0.4648325586397739
B_704.jpg: uiqm=1.3575271843149004, uciqe=0.5620074578929743
C_012.jpg: uiqm=0.617423667636453, uciqe=0.4479057954545149
C_026.jpg: uiqm=0.6407822741094537, uciqe=0.5168929435866247
C_053.jpg: uiqm=1.101602281176107, uciqe=0.533241403813867
C_088.jpg: uiqm=0.9936333241976752, uciqe=0.5407582912001461
C_110.jpg: uiqm=1.068188425022273, uciqe=0.5895034365373788
C_151.jpg: uiqm=0.8804707850465985, uciqe=0.5288068940996336
C_159.jpg: uiqm=1.4556236830401963, uciqe=0.48259114160851346
C_187.jpg: uiqm=1.3778466607449984, uciqe=0.5162028152200644
C_208.jpg: uiqm=0.5393990092763503, uciqe=0.37609909897485816
C_249.jpg: uiqm=1.0710706897651159, uciqe=0.4773498980118387
C_263.jpg: uiqm=1.3484586662126605, uciqe=0.49306538438441233
C_285.jpg: uiqm=1.634898862984581, uciqe=0.5591209643547761
C_306.jpg: uiqm=1.2252042930981446, uciqe=0.5658143181064933
C_347.jpg: uiqm=1.1621106288509124, uciqe=0.46126558050464617
C_361.jpg: uiqm=1.1129680544786655, uciqe=0.47872198318867576
C_383.jpg: uiqm=1.277303462775678, uciqe=0.4842999104239115
C_404.jpg: uiqm=1.1163318159949644, uciqe=0.548697198333514
C_445.jpg: uiqm=1.1048597959590412, uciqe=0.5179772336847795
