104_img_: PSNR=15.233891531792839 SSIM=0.23982144933538635 UIQM=0.7119849169324379 UCIQE=0.4542507184026294
10_img_: PSNR=16.72481757309423 SSIM=0.7586533588863703 UIQM=0.6435744471519771 UCIQE=0.5006735674842862
111_img_: PSNR=15.531539851457499 SSIM=0.4066595126309046 UIQM=0.35385534847731914 UCIQE=0.4664800526475284
112_img_: PSNR=17.02950957932859 SSIM=0.6455814823333494 UIQM=1.144344407649435 UCIQE=0.4834670547257248
11_img_: PSNR=15.116978986862154 SSIM=0.4731613696860375 UIQM=1.15327333360534 UCIQE=0.6136483847431653
13_img_: PSNR=14.634250755683302 SSIM=0.41472849935583384 UIQM=1.1024661071337838 UCIQE=0.48801845882375794
14_img_: PSNR=18.512288540442505 SSIM=0.6310961247292539 UIQM=0.8828159726493017 UCIQE=0.5822505718382902
15003: PSNR=17.72876692619692 SSIM=-0.03625353327576851 UIQM=0.4173073461083131 UCIQE=0.4657718217911305
150_img_: PSNR=13.347829980070252 SSIM=0.36738208807546047 UIQM=1.028076342197477 UCIQE=0.4899258601166181
15544: PSNR=19.244456606821913 SSIM=0.6776306607208652 UIQM=0.5204591538527431 UCIQE=0.4769898017772739
15_img_: PSNR=16.768108369747278 SSIM=0.7197786733717595 UIQM=1.4339846398618055 UCIQE=0.6089899821456445
169_img_: PSNR=16.920251963815417 SSIM=0.7170915843430081 UIQM=2.2520409516919395 UCIQE=0.5489754136747758
16_img_: PSNR=14.640345281518938 SSIM=0.6013447621579849 UIQM=0.8969412247222659 UCIQE=0.49517619622181797
17_img_: PSNR=18.489380339214396 SSIM=0.8622778104955061 UIQM=1.6079738241906745 UCIQE=0.6097046348095086
18_img_: PSNR=14.533583245745746 SSIM=0.4883368019176462 UIQM=1.2724898496877866 UCIQE=0.428275852590026
19_img_: PSNR=15.139167127629499 SSIM=0.6301239996383304 UIQM=1.3498911002112024 UCIQE=0.5907930351973384
20: PSNR=16.286424565463943 SSIM=0.671070743138632 UIQM=1.5020441042485912 UCIQE=0.5829915894561474
22_img_: PSNR=16.254824948512983 SSIM=0.5470168279168901 UIQM=1.0603123534146117 UCIQE=0.5340885627877193
23_img_: PSNR=18.753943868995698 SSIM=0.5735602260112858 UIQM=1.1459696477134425 UCIQE=0.5565262672663647
24_img_: PSNR=15.990404148786464 SSIM=0.42451469514381407 UIQM=0.9023352707778012 UCIQE=0.49284355197115537
282_img_: PSNR=16.241410338581456 SSIM=0.44789332277284305 UIQM=1.4175248576515567 UCIQE=0.6036722437581016
284_img_: PSNR=16.931478583793737 SSIM=0.37641005667737387 UIQM=1.308673414925157 UCIQE=0.6037131731743751
288_img_: PSNR=18.56080990048642 SSIM=0.6273208803188232 UIQM=1.2467414471468456 UCIQE=0.5270983915581839
290_img_: PSNR=16.592104974035543 SSIM=0.8241910338692854 UIQM=0.8506757169647841 UCIQE=0.5377538075584826
292_img_: PSNR=18.485647116794098 SSIM=0.6465723630312041 UIQM=1.1378000206023127 UCIQE=0.6542154340616795
293_img_: PSNR=14.238384790494926 SSIM=0.5953300813451484 UIQM=0.9632327801955081 UCIQE=0.5648107291031199
294_img_: PSNR=13.958649245442633 SSIM=0.6106387612221935 UIQM=0.23715775809014628 UCIQE=0.36110090857799937
295_img_: PSNR=13.705207953564852 SSIM=0.5760473742699821 UIQM=1.5065280856711332 UCIQE=0.5883473408214454
299_img_: PSNR=11.940468898273377 SSIM=0.0076751874287282985 UIQM=0.805079387617711 UCIQE=0.5250195618592486
2_img_: PSNR=16.391303421719677 SSIM=0.7834564280331477 UIQM=1.0797651532462254 UCIQE=0.6372520102205965
300_img_: PSNR=17.09266281178217 SSIM=0.62821477902108 UIQM=0.8727212493331602 UCIQE=0.5810697736857502
301_img_: PSNR=15.11342635023343 SSIM=0.3688712443647553 UIQM=0.8113899517093454 UCIQE=0.4880257642955549
302_img_: PSNR=14.032466109903257 SSIM=0.37955901803495457 UIQM=0.5020829704859922 UCIQE=0.4741861679737719
303_img_: PSNR=15.11561232081675 SSIM=0.4058769087772559 UIQM=1.1421189380171608 UCIQE=0.5376685197553248
304_img_: PSNR=14.36855328867227 SSIM=0.6550995369122115 UIQM=1.5333112917562683 UCIQE=0.5191437945588783
305_img_: PSNR=15.240252951926557 SSIM=0.486628188601505 UIQM=1.149840677330051 UCIQE=0.5246694141824805
306_img_: PSNR=19.568615124339704 SSIM=0.6265708697786418 UIQM=0.6846744124470397 UCIQE=0.5377425756689195
307_img_: PSNR=18.759981486318864 SSIM=0.4336147804467331 UIQM=1.072825079855721 UCIQE=0.5577300255571578
30_img_: PSNR=15.443827238154261 SSIM=0.6202454500802429 UIQM=1.5412913040998193 UCIQE=0.5675051554101372
311_img_: PSNR=18.440378538428387 SSIM=0.6970286375490095 UIQM=1.4813052686058454 UCIQE=0.5703782627013445
312_img_: PSNR=13.82280751698758 SSIM=0.5326656061070889 UIQM=1.0701693102301721 UCIQE=0.5889917942864278
313_img_: PSNR=15.954165179930023 SSIM=0.33108938632705276 UIQM=1.1473531306155138 UCIQE=0.5098366736166897
314_img_: PSNR=16.535083328604298 SSIM=0.6146060251491513 UIQM=0.9995078794134074 UCIQE=0.5294468997293345
315_img_: PSNR=17.301197293668388 SSIM=0.4789052112148751 UIQM=1.4966415802649422 UCIQE=0.6257556332029399
316_img_: PSNR=13.399531358626431 SSIM=0.3517281543690546 UIQM=1.3758066911757543 UCIQE=0.580443044520386
317_img_: PSNR=14.49981776701108 SSIM=0.4252894723776049 UIQM=1.202296305719414 UCIQE=0.5810952350763541
318_img_: PSNR=15.809871315620981 SSIM=0.7054338725677243 UIQM=1.1411789182338792 UCIQE=0.6291671124914032
319_img_: PSNR=16.316448214141964 SSIM=0.6013701707369811 UIQM=0.9968287996961046 UCIQE=0.558131999128493
320_img_: PSNR=17.337498857433534 SSIM=0.844126416040112 UIQM=1.3571299580117546 UCIQE=0.6257020174436574
322_img_: PSNR=17.44518396000802 SSIM=0.6463396935001102 UIQM=1.504805677789225 UCIQE=0.6058629643765971
323_img_: PSNR=14.364211608186928 SSIM=0.1780810513254291 UIQM=1.104095113065929 UCIQE=0.5227745792258811
324_img_: PSNR=16.912287411797195 SSIM=0.6469437379542078 UIQM=1.1555265835266142 UCIQE=0.5782055653228415
325_img_: PSNR=18.428155785815953 SSIM=0.6352557644227954 UIQM=1.2982505729550649 UCIQE=0.6111648286188898
326_img_: PSNR=15.304557777800902 SSIM=0.5255327860896601 UIQM=1.161328589201431 UCIQE=0.589625189529712
327_img_: PSNR=17.17624860210186 SSIM=0.3070199969170373 UIQM=0.8528359344667207 UCIQE=0.6082578074544751
330_img_: PSNR=17.541342386745676 SSIM=0.24936169669629796 UIQM=0.17046046664199954 UCIQE=0.5122065824350599
332_img_: PSNR=10.084597735769265 SSIM=0.5181740850006655 UIQM=-0.20115621038132236 UCIQE=0.4804271947157521
334_img_: PSNR=16.68231025198888 SSIM=0.5525739461131182 UIQM=1.512770670108286 UCIQE=0.6171299368459122
336_img_: PSNR=21.105013156420984 SSIM=0.7091980639769742 UIQM=1.2923057195081726 UCIQE=0.6861545493992154
337_img_: PSNR=15.546424795819751 SSIM=0.36737733174440085 UIQM=0.9396547390271572 UCIQE=0.6126211206873625
338_img_: PSNR=10.480342455496817 SSIM=0.2986724564005351 UIQM=-0.2479618250518285 UCIQE=0.5916196356493626
340_img_: PSNR=17.302863428239373 SSIM=0.6218621896322192 UIQM=0.9423794088292744 UCIQE=0.5645810329289456
341_img_: PSNR=19.071687280183205 SSIM=0.5366438350883687 UIQM=0.8118967793856894 UCIQE=0.6043061031812704
342_img_: PSNR=19.62266942183765 SSIM=0.644196336550148 UIQM=1.1771733787180092 UCIQE=0.46613074085793604
343_img_: PSNR=15.928535162523902 SSIM=0.34857442391994714 UIQM=1.3799888680700294 UCIQE=0.5241386192923774
346_img_: PSNR=17.744730793231327 SSIM=0.817981284593729 UIQM=1.5724855368436796 UCIQE=0.6264721974000457
347_img_: PSNR=17.750328718029802 SSIM=0.7498768538874573 UIQM=1.133778988064135 UCIQE=0.575445351600109
348_img_: PSNR=18.89623414322746 SSIM=0.5362826584147881 UIQM=1.0608998332753252 UCIQE=0.5282103665115138
350_img_: PSNR=14.769179605487464 SSIM=0.5322476962046618 UIQM=1.159096824588849 UCIQE=0.533248522064603
351_img_: PSNR=16.307858140424628 SSIM=0.743164748014848 UIQM=1.2988829890554825 UCIQE=0.5735503036644347
353_img_: PSNR=14.202252612548989 SSIM=0.638072063214547 UIQM=1.5637085414398104 UCIQE=0.5532050396437491
