100001.png: NIQE=37.64834942369885  with dealing time: 87.99364137649536
10091.png: NIQE=36.92368718037397  with dealing time: 80.37454080581665
10103.png: NIQE=28.44783215317251  with dealing time: 81.28954887390137
10167.png: NIQE=26.570009216968206  with dealing time: 81.22192597389221
102.png: NIQE=25.959395452517594  with dealing time: 83.47642993927002
10226.png: NIQE=63.63332894786183  with dealing time: 82.74550867080688
10475.png: NIQE=65.4373398756672  with dealing time: 73.7490541934967
10488.png: NIQE=31.516901400752264  with dealing time: 77.66192674636841
12191.png: NIQE=63.22888939894932  with dealing time: 72.32105493545532
12203.png: NIQE=73.25175929562151  with dealing time: 71.40116572380066
12228.png: NIQE=106.73960213195363  with dealing time: 66.89613223075867
12565.png: NIQE=98.30612547333074  with dealing time: 71.50615358352661
12577.png: NIQE=53.93856714062299  with dealing time: 73.18416905403137
12625.png: NIQE=129.25191871422425  with dealing time: 69.96828508377075
12709.png: NIQE=74.10278753590394  with dealing time: 74.20234155654907
12753.png: NIQE=25.689432053441557  with dealing time: 70.78524947166443
12960.png: NIQE=37.82113283570753  with dealing time: 79.11313462257385
12972.png: NIQE=31.318389426236585  with dealing time: 80.82947826385498
13252.png: NIQE=28.9746181416484  with dealing time: 80.27044749259949
13259.png: NIQE=25.382876396465083  with dealing time: 73.7892050743103
15603.png: NIQE=29.31428291376033  with dealing time: 82.02750325202942
15735.png: NIQE=33.05398949789149  with dealing time: 74.74940323829651
15738.png: NIQE=52.83261965024605  with dealing time: 76.06038355827332
15740.png: NIQE=43.91975151770476  with dealing time: 76.72288036346436
15774.png: NIQE=30.157253970437573  with dealing time: 78.01842641830444
15775.png: NIQE=38.81768794070684  with dealing time: 74.47298622131348
2.png: NIQE=22.045479139407806  with dealing time: 77.90585255622864
2575.png: NIQE=23.415046285993267  with dealing time: 78.87162184715271
2583.png: NIQE=26.319181703211203  with dealing time: 77.88227558135986
2856.png: NIQE=22.62285172270402  with dealing time: 77.80107831954956
3027.png: NIQE=25.821019322983215  with dealing time: 76.2193763256073
3051.png: NIQE=26.542721479737327  with dealing time: 77.81682777404785
3087.png: NIQE=20.516058608563092  with dealing time: 76.11998510360718
3175.png: NIQE=36.42207667089847  with dealing time: 77.13650631904602
3201.png: NIQE=22.746456286892812  with dealing time: 79.16864728927612
3279.png: NIQE=23.38378986580445  with dealing time: 77.74956393241882
34.png: NIQE=23.61005550583883  with dealing time: 80.36370182037354
3494.png: NIQE=103.93032119635707  with dealing time: 78.00138282775879
3519.png: NIQE=28.444499908520328  with dealing time: 80.82053828239441
358_img_.png: NIQE=66.89661077738687  with dealing time: 70.66886377334595
432.png: NIQE=50.019261558666884  with dealing time: 76.78301405906677
5.png: NIQE=28.57871510645321  with dealing time: 78.931636095047
52.png: NIQE=25.93746315276153  with dealing time: 74.53435373306274
579.png: NIQE=39.021061039482575  with dealing time: 75.17044973373413
605.png: NIQE=29.711208627119554  with dealing time: 73.57914352416992
616.png: NIQE=27.555286456663865  with dealing time: 68.90997791290283
627.png: NIQE=24.567593610302175  with dealing time: 67.24375653266907
6333.png: NIQE=47.124264670731115  with dealing time: 69.96200203895569
6340.png: NIQE=36.03876741936581  with dealing time: 68.58101177215576
643_img_.png: NIQE=24.8143982856387  with dealing time: 68.80294227600098
6527.png: NIQE=37.25651649739082  with dealing time: 65.87137246131897
7277.png: NIQE=18.526906682870546  with dealing time: 64.34822368621826
7291.png: NIQE=20.288925288867617  with dealing time: 65.95238900184631
770.png: NIQE=24.509346658867422  with dealing time: 67.15456509590149
866.png: NIQE=26.10779151348668  with dealing time: 68.04453325271606
880.png: NIQE=25.429992534271918  with dealing time: 68.39283275604248
9553.png: NIQE=22.631858053170088  with dealing time: 68.90381813049316
9602.png: NIQE=23.39258097267416  with dealing time: 66.66515755653381
9607.png: NIQE=21.55202677132028  with dealing time: 61.808621644973755
9618.png: NIQE=44.61652758398844  with dealing time: 60.457672357559204

60 Image Average: NIQE=39.377253144070956, TimePerImage=74.35757786830267, SumTime = 4461.45467209816s

