100001.png: uiqm=0.8386042635478655, uciqe=0.5049838014838627
10091.png: uiqm=1.1704566235967717, uciqe=0.6189963783352966
10103.png: uiqm=1.175955759205519, uciqe=0.48322184097405835
10167.png: uiqm=0.5023321101334937, uciqe=0.5662689385745752
102.png: uiqm=0.5532883109180451, uciqe=0.4375249010894093
10226.png: uiqm=-0.12874318253841766, uciqe=0.6215263458061566
10475.png: uiqm=0.07457174975629638, uciqe=0.29079346678783596
10488.png: uiqm=0.3874110413918552, uciqe=0.45834255103079213
12191.png: uiqm=0.18772194246667478, uciqe=0.2677058285237147
12203.png: uiqm=0.05745794691961048, uciqe=0.40698836304251684
12228.png: uiqm=0.3895938923593233, uciqe=0.22207202824174138
12565.png: uiqm=0.22046396731200124, uciqe=0.3132315253648277
12577.png: uiqm=0.31195638849225976, uciqe=0.2855104669006273
12625.png: uiqm=0.16019889827981093, uciqe=0.6924733903050202
12709.png: uiqm=0.35128400698280543, uciqe=0.4809625992314821
12753.png: uiqm=0.3488705332547257, uciqe=0.466227503426733
12960.png: uiqm=0.55229302847101, uciqe=0.43187825915898326
12972.png: uiqm=0.594232441690232, uciqe=0.5226370549046135
13252.png: uiqm=0.49912460615059284, uciqe=0.5537496973929116
13259.png: uiqm=0.9152962277815977, uciqe=0.43632810847549724
15603.png: uiqm=0.4158700786406858, uciqe=0.446651227056902
15735.png: uiqm=0.39060598104368677, uciqe=0.3501471936400058
15738.png: uiqm=0.18199877519399787, uciqe=0.4929309360320572
15740.png: uiqm=0.3597196598768201, uciqe=0.3809856612443908
15774.png: uiqm=0.8032761589001335, uciqe=0.5216242716065957
15775.png: uiqm=0.3624597351571964, uciqe=0.3710281387091777
2.png: uiqm=1.3596297832114885, uciqe=0.45613527270880805
2575.png: uiqm=0.7331875973578977, uciqe=0.5214762802290371
2583.png: uiqm=0.515149234659555, uciqe=0.49149806112907696
2856.png: uiqm=0.7624932070642974, uciqe=0.5179348525872847
3027.png: uiqm=1.180517334144453, uciqe=0.606249185947006
3051.png: uiqm=0.937118082122099, uciqe=0.5947022867712211
3087.png: uiqm=1.4978561589434825, uciqe=0.5647455213966303
3175.png: uiqm=0.23904578859199543, uciqe=0.4482663163985574
3201.png: uiqm=0.9601261267211589, uciqe=0.6038291419666264
3279.png: uiqm=0.6309675072982849, uciqe=0.40941296235922586
34.png: uiqm=0.7141403824882794, uciqe=0.49213877872472284
3494.png: uiqm=-0.21991701435998456, uciqe=0.7092910986964469
3519.png: uiqm=0.4933202284568562, uciqe=0.46398949061665873
358_img_.png: uiqm=-0.36257582125701426, uciqe=0.5500955403154371
432.png: uiqm=0.6204153928407773, uciqe=0.4566693121799994
5.png: uiqm=0.8438347010037026, uciqe=0.5903095190917853
52.png: uiqm=0.8453605723934985, uciqe=0.5234691390917042
579.png: uiqm=0.15617020571931445, uciqe=0.5223372113802419
605.png: uiqm=0.7262913059126114, uciqe=0.6365518944365548
616.png: uiqm=0.521775466775164, uciqe=0.5105948275097026
627.png: uiqm=0.7304500822430247, uciqe=0.5822828943271312
6333.png: uiqm=0.48252852562815174, uciqe=0.5116910194686205
6340.png: uiqm=0.526518464087215, uciqe=0.517287432466654
643_img_.png: uiqm=1.2621714646576851, uciqe=0.5401834364471376
6527.png: uiqm=0.5216745332641263, uciqe=0.4774692218776622
7277.png: uiqm=1.3313493597797736, uciqe=0.5249200344510313
7291.png: uiqm=1.081809642008654, uciqe=0.508105775762796
770.png: uiqm=1.1344619000154548, uciqe=0.5890995911234087
866.png: uiqm=1.0746409409466566, uciqe=0.48852992266924267
880.png: uiqm=0.8972950281603964, uciqe=0.5248765285143991
9553.png: uiqm=1.0569789022778593, uciqe=0.5094897001983754
9602.png: uiqm=0.8736106357291762, uciqe=0.5775163677024
9607.png: uiqm=0.6979871175564392, uciqe=0.44801786809795013
9618.png: uiqm=0.17258991779258015, uciqe=0.38627733928107527

Average: uiqm=0.6112545616536617, uciqe=0.49133723838774007

