12433.png: NIQE=18.94348961051263  with dealing time: 82.9324963092804
149.png: NIQE=96.95303829452428  with dealing time: 75.13672947883606
161.png: NIQE=66.6683745317703  with dealing time: 75.1400728225708
264574_00031858.png: NIQE=53.66194692807881  with dealing time: 78.54292750358582
264734_00038535.png: NIQE=41.339036838809456  with dealing time: 74.11609935760498
265119_00013763.png: NIQE=53.35995999171618  with dealing time: 76.83879232406616
265130_00031309.png: NIQE=35.23153300455202  with dealing time: 79.23838257789612
265344_00029330.png: NIQE=41.95463119578593  with dealing time: 74.68590712547302
306_img_.png: NIQE=32.94705019412324  with dealing time: 75.93951034545898
332_img_.png: NIQE=61.17552844305085  with dealing time: 74.36046290397644
3330.png: NIQE=25.44876816278085  with dealing time: 81.28960466384888
36.png: NIQE=87.6190277347927  with dealing time: 68.56726503372192
387_img_.png: NIQE=28.981105148258784  with dealing time: 70.90397191047668
757_img_.png: NIQE=40.13694146640937  with dealing time: 80.3608124256134
819_img_.png: NIQE=35.328343672912595  with dealing time: 82.55737733840942
96.png: NIQE=43.35169972327464  with dealing time: 80.8230619430542
GI_1.png: NIQE=19.211656067484363  with dealing time: 77.33914875984192
GI_16.png: NIQE=82.66518057513885  with dealing time: 71.63479685783386
GI_2.png: NIQE=22.569885843143105  with dealing time: 75.37302350997925
GI_22.png: NIQE=108.2674384252726  with dealing time: 65.3665611743927
GI_29.png: NIQE=48.200590765305854  with dealing time: 76.63806962966919
GI_33.png: NIQE=36.335612689319994  with dealing time: 76.70769047737122
GI_35.png: NIQE=33.45347997117358  with dealing time: 81.37578296661377
GI_43.png: NIQE=26.936897935533867  with dealing time: 81.62771153450012
GI_7.png: NIQE=22.633150493114133  with dealing time: 77.07205319404602
GI_78.png: NIQE=37.07512384914438  with dealing time: 80.4080228805542
GI_8.png: NIQE=26.242280831240905  with dealing time: 74.35835385322571
GI_95.png: NIQE=19.623824304616534  with dealing time: 76.3151466846466
gmn_5017up.png: NIQE=32.50541500263105  with dealing time: 80.01614475250244
gmn_5029up.png: NIQE=37.22703307696388  with dealing time: 79.02851128578186
gmn_5148up.png: NIQE=45.33162541037072  with dealing time: 74.70219326019287
gmn_5183up.png: NIQE=18.65861974456784  with dealing time: 76.09386777877808
gmn_5185up.png: NIQE=33.27579643740662  with dealing time: 81.09290742874146
gmn_5228up.png: NIQE=36.80435034238397  with dealing time: 79.10415840148926
gmn_7856up.png: NIQE=29.95026806342451  with dealing time: 77.74600601196289
gmn_7919up.png: NIQE=43.66374604084375  with dealing time: 79.04594373703003
im_f1582_.png: NIQE=40.55770227767713  with dealing time: 80.87711524963379
im_f2253_.png: NIQE=61.83226450133055  with dealing time: 72.19925928115845
n01496331_1010.png: NIQE=49.830057789719525  with dealing time: 75.3806848526001
n01496331_2044.png: NIQE=64.40196075391364  with dealing time: 71.86629033088684
n01914609_1112.png: NIQE=65.39530643862219  with dealing time: 66.844158411026
