12433.png: uiqm=0.9168678484551311, uciqe=0.5249904438029278
149.png: uiqm=0.23723960907435135, uciqe=0.3256490408324858
161.png: uiqm=0.31312666413946977, uciqe=0.3732562317391356
264574_00031858.png: uiqm=1.7790010490184334, uciqe=0.6542914311519562
264734_00038535.png: uiqm=1.048341840886304, uciqe=0.6216973794005332
265119_00013763.png: uiqm=0.6180412074475853, uciqe=0.6240788520957112
265130_00031309.png: uiqm=0.9694140692461719, uciqe=0.5682993566532647
265344_00029330.png: uiqm=0.5325396573609167, uciqe=0.45132882551195064
306_img_.png: uiqm=0.6846744124470397, uciqe=0.5377425756689195
332_img_.png: uiqm=-0.20115621038132236, uciqe=0.4804271947157521
3330.png: uiqm=0.4132055347216471, uciqe=0.5419143227114468
36.png: uiqm=0.08672847000413375, uciqe=0.602143269787607
387_img_.png: uiqm=1.1392645231296892, uciqe=0.4570060948863935
757_img_.png: uiqm=1.220982154667528, uciqe=0.6358547744215817
819_img_.png: uiqm=0.7989091259591846, uciqe=0.5852864351498671
96.png: uiqm=0.1876094453479748, uciqe=0.3011989095616303
GI_1.png: uiqm=1.449776420852994, uciqe=0.43317275782834874
GI_16.png: uiqm=0.23134878389855054, uciqe=0.3159435364128208
GI_2.png: uiqm=1.6677277352755209, uciqe=0.4388805857561063
GI_22.png: uiqm=0.19765056467145656, uciqe=0.6723136684983104
GI_29.png: uiqm=0.5099890669446985, uciqe=0.37027319333591235
GI_33.png: uiqm=0.9754997793392768, uciqe=0.5697197417033987
GI_35.png: uiqm=0.35802696062389827, uciqe=0.5885873026612656
GI_43.png: uiqm=0.4052152355152302, uciqe=0.5066574580164112
GI_7.png: uiqm=1.2255876742825127, uciqe=0.45586772058223357
GI_78.png: uiqm=0.919319625661434, uciqe=0.6224580918477657
GI_8.png: uiqm=1.4554145554591447, uciqe=0.44965750228156076
GI_95.png: uiqm=0.696146886626641, uciqe=0.4828800629915683
gmn_5017up.png: uiqm=0.8959163065149106, uciqe=0.5575784496400288
gmn_5029up.png: uiqm=0.9462801203504704, uciqe=0.5957526013983208
gmn_5148up.png: uiqm=0.06182036511095956, uciqe=0.5210944771514922
gmn_5183up.png: uiqm=0.6109939783074049, uciqe=0.4435442426384996
gmn_5185up.png: uiqm=0.7943004548051357, uciqe=0.5689533909501276
gmn_5228up.png: uiqm=1.1178097033072358, uciqe=0.5673300259397334
gmn_7856up.png: uiqm=1.2257303514441509, uciqe=0.6609967256940126
gmn_7919up.png: uiqm=0.7614790479724884, uciqe=0.581945448425576
im_f1582_.png: uiqm=1.53836170285914, uciqe=0.6093656286768341
im_f2253_.png: uiqm=0.1226939345991982, uciqe=0.3472965915287893
n01496331_1010.png: uiqm=1.1466607597402905, uciqe=0.655614526580815
n01496331_2044.png: uiqm=1.362027411380752, uciqe=0.6706074608401554
n01914609_1112.png: uiqm=-0.23257143024902194, uciqe=0.5695503864138715
n01914609_11380.png: uiqm=1.0950632998412397, uciqe=0.6969775700073401
n01914609_13222.png: uiqm=1.3789246394735302, uciqe=0.5553041149780811
n01914609_13909.png: uiqm=1.5424460326059477, uciqe=0.5766181069282202
n01914609_1437.png: uiqm=0.5031679996082263, uciqe=0.5730068030116211
n01914609_1980.png: uiqm=1.319728316101149, uciqe=0.6607158418623159
n01914609_2054.png: uiqm=0.25841412025543986, uciqe=0.5440448651092826
n01914609_7919.png: uiqm=1.088936484195885, uciqe=0.626687228589207
n02607072_2382.png: uiqm=0.8437708974856792, uciqe=0.623933057875597
n02607072_5845.png: uiqm=0.4773070422174846, uciqe=0.3764605867990398
n02607072_931.png: uiqm=0.9991606368482575, uciqe=0.6133036270361438
NF_1.png: uiqm=0.21095882876173083, uciqe=0.39416948151127096
NF_10.png: uiqm=0.07525696004782478, uciqe=0.5039056737517528
NF_100.png: uiqm=0.24440026887559604, uciqe=0.281794702141532
NF_110.png: uiqm=0.22933079217493182, uciqe=0.27835646116523716
NF_116.png: uiqm=0.12976135555671486, uciqe=0.5680357309590449
NF_123.png: uiqm=-0.008129698688588982, uciqe=0.3144004204857036
NF_124.png: uiqm=0.6428149006726438, uciqe=0.5329279976281449
NF_13.png: uiqm=-0.05498693419862294, uciqe=0.4849008423843776
NF_14.png: uiqm=0.20200029074245546, uciqe=0.48577292876435907
NF_141.png: uiqm=0.21059919683522765, uciqe=0.2947916468746157
NF_147.png: uiqm=0.27330926457803617, uciqe=0.6407443067499484
NF_148.png: uiqm=0.44886435504161304, uciqe=0.5393633396972577
NF_166.png: uiqm=0.880410567175844, uciqe=0.5799174074122745
NF_171.png: uiqm=0.6649576467158373, uciqe=0.5152744426155293
NF_172.png: uiqm=-0.14510636336676364, uciqe=0.6197783796391217
NF_174.png: uiqm=0.29154662877441256, uciqe=0.31911760994823607
NF_177.png: uiqm=0.32248385672471697, uciqe=0.50345294449419
NF_194.png: uiqm=0.1528048491390947, uciqe=0.35635715400202994
NF_195.png: uiqm=0.12072550388249215, uciqe=0.48280871393011143
NF_2.png: uiqm=0.2547309881844855, uciqe=0.34972359640675527
NF_201.png: uiqm=0.08891871912835436, uciqe=0.2746378232583254
NF_209.png: uiqm=0.07546832271900134, uciqe=0.4531109883168273
NF_213.png: uiqm=0.34517304000944793, uciqe=0.3296142312660899
NF_215.png: uiqm=0.1342685476522652, uciqe=0.5712127470021138
NF_218.png: uiqm=0.03732586781091407, uciqe=0.34297964744337284
