1.jpg: NIQE=22.66373286737821  with dealing time: 86.07838845252991
10.jpg: NIQE=64.377519835633  with dealing time: 73.10226559638977
100.jpg: NIQE=54.13661348038503  with dealing time: 76.44222378730774
101.jpg: NIQE=83.01971525465657  with dealing time: 68.60160756111145
102.jpg: NIQE=50.86344534979387  with dealing time: 77.52097392082214
103.jpg: NIQE=89.67397662121678  with dealing time: 70.16186952590942
104.jpg: NIQE=91.44638194871096  with dealing time: 71.45453214645386
105.jpg: NIQE=51.324029841852024  with dealing time: 81.86371159553528
106.jpg: NIQE=74.0978488564959  with dealing time: 77.83530354499817
107.jpg: NIQE=77.52062695011244  with dealing time: 69.0293219089508
108.jpg: NIQE=88.15031649404783  with dealing time: 68.13631701469421
109.jpg: NIQE=81.97442337677184  with dealing time: 71.98598670959473
11.jpg: NIQE=58.364777130209376  with dealing time: 72.31229615211487
110.jpg: NIQE=102.87936842204486  with dealing time: 73.00953984260559
111.jpg: NIQE=97.55970840944572  with dealing time: 75.83948159217834
112.jpg: NIQE=39.76346061756563  with dealing time: 80.00445199012756
113.jpg: NIQE=81.45551664310136  with dealing time: 71.47788095474243
114.jpg: NIQE=105.6915752206013  with dealing time: 72.15851831436157
115.jpg: NIQE=126.73557829495476  with dealing time: 68.48552083969116
116.jpg: NIQE=22.904656949723122  with dealing time: 80.54499816894531
117.jpg: NIQE=22.77579941460173  with dealing time: 79.46142268180847
118.jpg: NIQE=61.800224880558744  with dealing time: 78.75315642356873
119.jpg: NIQE=68.73205396666692  with dealing time: 71.39158391952515
12.jpg: NIQE=63.78822148596682  with dealing time: 71.42132019996643
120.jpg: NIQE=51.29191691512627  with dealing time: 75.7915449142456
121.jpg: NIQE=89.20676332098685  with dealing time: 67.49318623542786
122.jpg: NIQE=78.47416728099213  with dealing time: 71.37161684036255
123.jpg: NIQE=71.08359356485705  with dealing time: 71.14417576789856
124.jpg: NIQE=41.626056270160205  with dealing time: 77.58743715286255
125.jpg: NIQE=62.522424429574706  with dealing time: 72.5062346458435
126.jpg: NIQE=72.46783446782042  with dealing time: 72.40821242332458
127.jpg: NIQE=25.296039739696557  with dealing time: 81.1180317401886
128.jpg: NIQE=57.43323571526321  with dealing time: 73.83273029327393
129.jpg: NIQE=76.60057102411822  with dealing time: 74.24150776863098
13.jpg: NIQE=64.96110925026156  with dealing time: 70.7013349533081
130.jpg: NIQE=65.0582930506784  with dealing time: 73.52247023582458
131.jpg: NIQE=82.31886566951925  with dealing time: 70.6309986114502
132.jpg: NIQE=76.71517103649505  with dealing time: 71.37139225006104
133.jpg: NIQE=62.79480802647428  with dealing time: 71.84966015815735
134.jpg: NIQE=70.3300940947256  with dealing time: 75.37110805511475
135.jpg: NIQE=57.86622735195548  with dealing time: 73.92502355575562
136.jpg: NIQE=86.95887782054082  with dealing time: 63.966838121414185
137.jpg: NIQE=48.94277816608503  with dealing time: 70.17308330535889
138.jpg: NIQE=71.25722619114484  with dealing time: 70.60547184944153
139.jpg: NIQE=45.84013226208186  with dealing time: 72.39338994026184
14.jpg: NIQE=64.91856006607911  with dealing time: 64.96732115745544
140.jpg: NIQE=71.84886201289342  with dealing time: 69.08684229850769
141.jpg: NIQE=70.31597583357885  with dealing time: 66.57261896133423
