1.png: NIQE=124.8606416485316  with dealing time: 80.79546642303467
10.png: NIQE=44.29693343885501  with dealing time: 77.55767917633057
11.png: NIQE=45.86549141474959  with dealing time: 82.65438151359558
12.png: NIQE=39.031881539814485  with dealing time: 77.4822940826416
13.png: NIQE=38.90423555120272  with dealing time: 79.99220204353333
14.png: NIQE=42.122769018178914  with dealing time: 87.11884021759033
15.png: NIQE=39.272455191981834  with dealing time: 76.0891580581665
16.png: NIQE=46.38927488718948  with dealing time: 76.62240171432495
17.png: NIQE=35.91889149800518  with dealing time: 83.14580512046814
18.png: NIQE=38.04159256077841  with dealing time: 84.99823355674744
19.png: NIQE=40.41087424471636  with dealing time: 87.59667372703552
2.png: NIQE=47.814522354705275  with dealing time: 80.42874002456665
20.png: NIQE=41.499267833364875  with dealing time: 81.0162262916565
21.png: NIQE=35.46109692545924  with dealing time: 80.71919178962708
22.png: NIQE=35.753695106554304  with dealing time: 84.3995885848999
23.png: NIQE=39.23232637683926  with dealing time: 81.50898861885071
24.png: NIQE=45.09728996400348  with dealing time: 80.77974367141724
25.png: NIQE=40.30585684799044  with dealing time: 80.81277012825012
26.png: NIQE=40.71982045609486  with dealing time: 79.62539196014404
27.png: NIQE=41.84840638659429  with dealing time: 82.8350522518158
28.png: NIQE=55.016178073979276  with dealing time: 75.97664427757263
29.png: NIQE=57.995027168145974  with dealing time: 74.8903980255127
3.png: NIQE=45.40340839618205  with dealing time: 76.37584662437439
30.png: NIQE=41.75956981174283  with dealing time: 79.00379490852356
31.png: NIQE=42.39884150178906  with dealing time: 77.37101745605469
32.png: NIQE=37.96830878940098  with dealing time: 76.16555666923523
33.png: NIQE=37.10708632088493  with dealing time: 75.49109101295471
34.png: NIQE=37.125535956475005  with dealing time: 77.64237380027771
35.png: NIQE=38.5257183637817  with dealing time: 76.2140121459961
36.png: NIQE=37.108527011009514  with dealing time: 76.45127367973328
37.png: NIQE=35.5398013072441  with dealing time: 77.685870885849
38.png: NIQE=35.356807016162925  with dealing time: 82.00320267677307
39.png: NIQE=38.383856693863486  with dealing time: 77.14315938949585
4.png: NIQE=51.1196445571676  with dealing time: 80.2773003578186
40.png: NIQE=35.77055325752712  with dealing time: 77.94473767280579
41.png: NIQE=35.99196862633669  with dealing time: 79.22587442398071
42.png: NIQE=36.54314287040665  with dealing time: 78.0410692691803
43.png: NIQE=35.42262482229985  with dealing time: 75.03341102600098
44.png: NIQE=34.144499147372656  with dealing time: 71.90727353096008
45.png: NIQE=36.2276587528362  with dealing time: 73.34765768051147
5.png: NIQE=42.88696680817941  with dealing time: 73.00895118713379
6.png: NIQE=45.77074283115688  with dealing time: 71.85058259963989
7.png: NIQE=47.88728061644286  with dealing time: 74.05281114578247
8.png: NIQE=46.50745391521651  with dealing time: 77.10459589958191
9.png: NIQE=43.33168361817968  with dealing time: 71.50839853286743

45 Image Average: NIQE=42.98089354398653, TimePerImage=78.4865718629625, SumTime = 3531.895733833313s

