bg_00.jpg: uiqm=1.0169014743535352, uciqe=0.597820612559547
bg_07.jpg: uiqm=1.1502660116348642, uciqe=0.570543724429385
bg_17.jpg: uiqm=1.0785144965067257, uciqe=0.5374924691873216
bg_23.jpg: uiqm=1.1727074911166475, uciqe=0.524887542896531
bg_34.jpg: uiqm=1.2956383959668267, uciqe=0.49897250530444887
bg_58.jpg: uiqm=1.0348138975697658, uciqe=0.5665325357306649
bg_60.jpg: uiqm=1.1988947276581148, uciqe=0.590518714409381
bg_63.jpg: uiqm=0.9071924459912043, uciqe=0.5043996236192031
bg_66.jpg: uiqm=0.5230005033201104, uciqe=0.5584629780962185
bg_72.jpg: uiqm=1.1107232214851444, uciqe=0.528382941148934
bg_74.jpg: uiqm=1.155198913402272, uciqe=0.5685608027633018
bg_77.jpg: uiqm=1.0840646584872977, uciqe=0.5409067427646059
bg_81.jpg: uiqm=1.1341768314109772, uciqe=0.4986817973323955
bg_84.jpg: uiqm=0.7155942567858746, uciqe=0.5433891036291791
bg_86.jpg: uiqm=0.9183389144562679, uciqe=0.5583295831225241
bg_88.jpg: uiqm=1.0203753000940337, uciqe=0.5524765053938868
bg_90.jpg: uiqm=1.030912222584985, uciqe=0.4866041537813619
bg_92.jpg: uiqm=0.5667076935623137, uciqe=0.5140362970397564
bg_93.jpg: uiqm=0.9085173967959878, uciqe=0.5860722318560969
bg_99.jpg: uiqm=0.8783338295112297, uciqe=0.5618121064068733
blue_07.jpg: uiqm=1.0133673565510417, uciqe=0.46089643023163707
blue_35.jpg: uiqm=1.303571506755934, uciqe=0.5407849516377249
blue_36.jpg: uiqm=1.4585224687035736, uciqe=0.5398028418288088
blue_40.jpg: uiqm=1.4296371771722098, uciqe=0.5282668504421666
blue_49.jpg: uiqm=1.3642543726013034, uciqe=0.5200898540898026
blue_50.jpg: uiqm=1.4215630306656528, uciqe=0.49192788018556277
blue_51.jpg: uiqm=1.4374187141468115, uciqe=0.47082683571495304
blue_56.jpg: uiqm=1.2666013580764672, uciqe=0.4952621706276479
blue_63.jpg: uiqm=1.3185720250457593, uciqe=0.47421171531070194
blue_72.jpg: uiqm=-0.04129862670503909, uciqe=0.5029128591814418
blue_77.jpg: uiqm=1.1081069116569144, uciqe=0.4775826572388351
blue_84.jpg: uiqm=1.2145507557745958, uciqe=0.5286869483319377
blue_85.jpg: uiqm=1.248597593609923, uciqe=0.49536814010312546
blue_86.jpg: uiqm=1.2276769374198264, uciqe=0.5196800062159933
blue_9.jpg: uiqm=1.0373941836327674, uciqe=0.4593574459018317
blue_91.jpg: uiqm=1.2714754114049858, uciqe=0.5151511706596533
blue_92.jpg: uiqm=1.3898523344135487, uciqe=0.5087408019647859
blue_93.jpg: uiqm=1.2724402732085152, uciqe=0.5478415247028293
blue_98.jpg: uiqm=0.7583280648525565, uciqe=0.454147317244372
blue_99.jpg: uiqm=0.7048413527941891, uciqe=0.4611290086371631
green_00.jpg: uiqm=1.1023911222833114, uciqe=0.450249673148164
green_21.jpg: uiqm=0.8614230966648668, uciqe=0.522400655527951
green_28.jpg: uiqm=0.8643241410550725, uciqe=0.5631768367612378
green_30.jpg: uiqm=1.0199281710526744, uciqe=0.5661876658957519
green_35.jpg: uiqm=0.8012414574166393, uciqe=0.49343249916615506
green_36.jpg: uiqm=1.081392898139267, uciqe=0.4823038123226341
green_43.jpg: uiqm=0.6842900695352826, uciqe=0.5493289070926135
green_49.jpg: uiqm=1.0190146605550052, uciqe=0.4733840470067449
green_50.jpg: uiqm=1.1222847606975364, uciqe=0.49133033945438787
green_51.jpg: uiqm=1.2465213718000205, uciqe=0.4763163062198503
green_63.jpg: uiqm=0.9440359548238976, uciqe=0.5187820859209344
green_64.jpg: uiqm=0.8634330398552293, uciqe=0.5562701132236507
green_70.jpg: uiqm=0.9308906011276534, uciqe=0.5306296362704657
green_78.jpg: uiqm=1.1922361832652864, uciqe=0.5370281850290743
green_79.jpg: uiqm=1.0825882431618314, uciqe=0.5510824533355184
green_84.jpg: uiqm=0.92160292830662, uciqe=0.5347362828410023
green_9.jpg: uiqm=0.9984954613782961, uciqe=0.4915510662979602
green_93.jpg: uiqm=1.0471284080026093, uciqe=0.5217898351927512
green_98.jpg: uiqm=0.9579589577043284, uciqe=0.46956518350003684
green_99.jpg: uiqm=0.8680646239612003, uciqe=0.40397593902722495

Average: uiqm=1.0452598672543725, uciqe=0.517751198415945

